"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L4344","R","com.nostra13.universalimageloader.R","L106","L103","library\test-gen\com\nostra13\universalimageloader\R.java","3","1","24","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","7","0","0","0","0","0","0","0","0","0","0","0","0","0","18","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"L2345","DefaultConfigurationFactory","com.nostra13.universalimageloader.core.DefaultConfigurationFactory","L924","L103","library\src\com\nostra13\universalimageloader\core\DefaultConfigurationFactory.java","53","1","145","2","0","0","0","0","0","0","0","0","8","2","1","15","18","10","10","10","19","1","0.287879","19","18","9","0","0.22093","19","0","0","0","0","0","47","69","0","0","0","0","9","0","8","0","9","23","0","8","0","67","93","5","0","5","0","11","0","9","0","11","32","0","9","0","0","1","16","0","6","0","1","2","0","0","0","1","0","0","0","1","0","3","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"L2694","DisplayBitmapTask","com.nostra13.universalimageloader.core.DisplayBitmapTask","L924","L103","library\src\com\nostra13\universalimageloader\core\DisplayBitmapTask.java","33","1","86","2","0","0","0","0","0","0","0","0","1","3","2","9","8","2","2","9","13","0.333333","0.163636","9","9","1","2","0.163636","9","0","0","0","0","0","46","54","12","0","12","0","4","0","2","1","4","24","0","2","1","46","54","12","0","12","0","4","0","2","1","4","24","0","2","1","0","0","13","0","7","0","0","6","0","0","0","0","0","0","1","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"L2277","DisplayImageOptions","com.nostra13.universalimageloader.core.DisplayImageOptions","L924","L103","library\src\com\nostra13\universalimageloader\core\DisplayImageOptions.java","66","1","510","2","0","0","0","0","0","0","0","0","2","3","3","33","4","15","14","2","26","0.0869565","0.282353","48","48","2","21","0.362998","155","0","0","0","0","0","122","166","19","11","19","11","24","0","22","0","24","48","0","22","0","272","445","38","11","38","11","51","0","48","0","51","125","0","48","0","0","0","84","0","38","0","0","6","0","0","0","2","0","0","2","0","0","1","66","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","16","0","16","0","0","0","0","0","0"
"L1846","ImageLoader","com.nostra13.universalimageloader.core.ImageLoader","L924","L103","library\src\com\nostra13\universalimageloader\core\ImageLoader.java","47","1","696","2","0","0","0","0","0","0","0","0","1","3","3","62","22","10","10","46","84","1","0.622112","377","377","37","0","0.622112","377","0","0","0","0","0","229","650","12","5","12","5","38","1","36","0","38","107","1","36","0","229","650","12","5","12","5","38","1","36","0","38","107","1","36","0","0","1","20","0","17","0","0","6","0","0","0","0","0","1","3","3","0","9","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0"
"L3346","ImageLoaderConfiguration","com.nostra13.universalimageloader.core.ImageLoaderConfiguration","L924","L103","library\src\com\nostra13\universalimageloader\core\ImageLoaderConfiguration.java","54","1","587","2","0","0","0","0","0","0","0","0","1","1","1","5","13","8","3","7","10","1","0.326733","33","33","2","0","0.410309","199","0","0","0","0","0","68","108","24","1","24","1","3","0","1","0","3","34","0","1","0","286","534","57","1","57","1","25","3","22","0","25","140","3","22","0","0","0","30","0","65","0","0","6","0","0","0","1","0","0","25","2","0","1","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","21","0","16","0","0","0","0","0","0"
"L2706","ImageLoaderEngine","com.nostra13.universalimageloader.core.ImageLoaderEngine","L924","L103","library\src\com\nostra13\universalimageloader\core\ImageLoaderEngine.java","40","1","206","2","0","0","0","0","0","0","0","0","4","1","1","25","5","5","17","2","20","1","0.306569","42","42","1","0","0.285714","42","0","0","0","0","0","95","157","10","4","10","4","18","0","0","0","18","36","0","0","0","105","167","10","4","10","4","19","0","1","0","19","41","0","1","0","0","0","32","0","17","0","0","0","0","0","0","1","0","0","16","0","0","1","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"L2714","ImageLoadingInfo","com.nostra13.universalimageloader.core.ImageLoadingInfo","L924","L103","library\src\com\nostra13\universalimageloader\core\ImageLoadingInfo.java","36","1","59","2","0","0","0","0","0","0","0","0","0","0","0","1","5","4","1","0","1","0.5","0.3125","10","10","1","1","0.3125","10","0","0","0","0","0","22","24","8","0","8","0","1","0","1","0","1","8","0","1","0","22","24","8","0","8","0","1","0","1","0","1","8","0","1","0","0","0","5","0","8","0","0","0","0","0","0","0","0","0","8","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"L3441","LoadAndDisplayImageTask","com.nostra13.universalimageloader.core.LoadAndDisplayImageTask","L924","L103","library\src\com\nostra13\universalimageloader\core\LoadAndDisplayImageTask.java","55","1","507","2","0","0","0","0","0","0","0","0","1","4","4","94","25","6","2","39","65","0.25","0.0943878","37","31","1","3","0.105769","44","1","1","0","0","1","355","436","38","3","38","3","26","0","3","0","26","206","0","3","0","372","453","38","3","38","3","29","0","6","0","29","211","0","6","0","0","0","76","2","29","0","0","16","0","0","0","0","0","4","6","3","0","7","64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","0","0","1","0","0"
"L3427","ProcessAndDisplayImageTask","com.nostra13.universalimageloader.core.ProcessAndDisplayImageTask","L924","L103","library\src\com\nostra13\universalimageloader\core\ProcessAndDisplayImageTask.java","32","1","62","2","0","0","0","0","0","0","0","0","1","1","1","4","8","2","1","7","9","0.333333","0.205882","7","7","1","2","0.205882","7","0","0","0","0","0","27","31","5","0","5","0","2","0","2","0","2","13","0","2","0","27","31","5","0","5","0","2","0","2","0","2","13","0","2","0","0","0","7","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4187","ImageSizeUtils","com.nostra13.universalimageloader.utils.ImageSizeUtils","L4181","L103","library\src\com\nostra13\universalimageloader\utils\ImageSizeUtils.java","32","1","204","2","0.203791","1","8","2","0.127168","0.247191","22","22","4","3","3","26","3","3","7","5","10","1","0.453988","74","69","5","0","0.453988","74","0","0","0","0","0","89","173","2","0","2","0","5","0","4","0","5","56","0","4","0","89","173","2","0","2","0","5","0","4","0","5","56","0","4","0","0","0","15","1","7","0","0","4","0","11","0","1","0","1","0","0","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"L4157","IoUtils","com.nostra13.universalimageloader.utils.IoUtils","L4181","L103","library\src\com\nostra13\universalimageloader\utils\IoUtils.java","29","1","109","2","0","0","0","0","0","0","0","0","2","3","3","12","1","2","4","1","6","0.75","0.444444","32","29","3","1","0.469136","38","0","0","0","0","0","40","73","2","0","2","0","5","2","3","0","5","21","2","3","0","43","81","2","0","2","0","6","2","4","0","6","21","2","4","0","0","0","12","1","8","0","1","4","0","0","0","1","0","0","0","0","0","3","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","0","0","0"
"L4257","L","com.nostra13.universalimageloader.utils.L","L4181","L103","library\src\com\nostra13\universalimageloader\utils\L.java","27","1","85","2","0","0","0","0","0","0","0","0","1","1","1","14","1","12","36","0","10","0.333333","0.150943","8","8","3","6","0.150943","8","0","0","0","0","0","45","59","2","0","2","0","10","0","8","0","10","19","0","8","0","45","59","2","0","2","0","10","0","8","0","10","19","0","8","0","0","0","19","0","15","0","0","2","0","0","0","0","0","0","0","0","0","4","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","1","0","0","0","0","0","0","0","0"
"L4303","StorageUtils","com.nostra13.universalimageloader.utils.StorageUtils","L4181","L103","library\src\com\nostra13\universalimageloader\utils\StorageUtils.java","33","1","142","2","0","0","0","0","0","0","0","0","1","2","2","22","1","2","2","2","9","1","0.398148","43","43","5","0","0.398148","43","0","0","0","0","0","65","110","2","5","2","5","7","0","4","0","7","35","0","4","0","65","110","2","5","2","5","7","0","4","0","7","35","0","4","0","0","0","6","0","2","0","1","0","0","0","0","0","0","0","0","0","0","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4346","R$attr","com.nostra13.universalimageloader.R$attr","L4344","L103","library\test-gen\com\nostra13\universalimageloader\R.java","5","5","7","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"L4348","R$drawable","com.nostra13.universalimageloader.R$drawable","L4344","L103","library\test-gen\com\nostra13\universalimageloader\R.java","9","5","11","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4350","R$id","com.nostra13.universalimageloader.R$id","L4344","L103","library\test-gen\com\nostra13\universalimageloader\R.java","13","5","15","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"L4352","R$layout","com.nostra13.universalimageloader.R$layout","L4344","L103","library\test-gen\com\nostra13\universalimageloader\R.java","17","5","19","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4354","R$string","com.nostra13.universalimageloader.R$string","L4344","L103","library\test-gen\com\nostra13\universalimageloader\R.java","21","5","23","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4373","AbsListViewBaseActivity","com.nostra13.example.universalimageloader.AbsListViewBaseActivity","L4357","L103","sample\src\com\nostra13\example\universalimageloader\AbsListViewBaseActivity.java","30","1","91","2","0","0","0","0","0","0","0","0","1","1","1","8","2","2","0","2","8","0.166667","0.0877193","5","5","1","5","0.0877193","5","1","1","2","2","1","52","62","6","0","5","0","6","0","5","0","8","24","0","7","0","52","62","6","0","5","0","6","0","5","0","8","24","0","7","0","0","1","15","2","3","3","0","0","0","0","0","0","0","0","1","0","0","1","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"L4375","BaseActivity","com.nostra13.example.universalimageloader.BaseActivity","L4357","L103","sample\src\com\nostra13\example\universalimageloader\BaseActivity.java","27","1","50","2","0","0","0","0","0","0","0","0","2","1","1","4","1","8","1","3","5","0.333333","0.125","3","3","1","2","0.125","3","0","0","4","6","0","21","24","1","0","1","0","2","0","2","0","2","8","0","2","0","21","24","1","0","1","0","2","0","2","0","2","8","0","2","0","0","0","8","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4445","Constants","com.nostra13.example.universalimageloader.Constants","L4357","L103","sample\src\com\nostra13\example\universalimageloader\Constants.java","21","1","176","2","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","1","1","0.106918","17","3","1","0","0.10241","17","0","0","0","0","0","142","149","1","0","1","0","1","1","0","0","1","0","1","0","0","149","156","4","0","4","0","1","4","0","0","1","0","4","0","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0"
