"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L4991","R","com.nostra13.universalimageloader.R","L106","L103","library\test-gen\com\nostra13\universalimageloader\R.java","3","1","24","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","7","0","0","0","0","0","0","0","0","0","0","0","0","0","18","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"L2789","DefaultConfigurationFactory","com.nostra13.universalimageloader.core.DefaultConfigurationFactory","L1584","L103","library\src\com\nostra13\universalimageloader\core\DefaultConfigurationFactory.java","54","1","160","2","0","0","0","0","0","0","0","0","7","2","2","17","18","5","7","10","20","1","0.278481","22","21","9","0","0.22449","22","0","0","0","0","0","57","84","0","0","0","0","10","0","8","0","10","25","0","8","0","76","107","5","0","5","0","12","0","9","0","12","33","0","9","0","0","1","16","0","5","0","1","2","0","0","0","1","0","0","0","1","0","2","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"L3145","DisplayBitmapTask","com.nostra13.universalimageloader.core.DisplayBitmapTask","L1584","L103","library\src\com\nostra13\universalimageloader\core\DisplayBitmapTask.java","33","1","81","2","0","0","0","0","0","0","0","0","1","2","1","5","8","2","2","9","12","0.333333","0.173077","9","9","1","2","0.173077","9","0","0","0","0","0","43","49","11","0","11","0","3","0","2","0","3","20","0","2","0","43","49","11","0","11","0","3","0","2","0","3","20","0","2","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"L2716","DisplayImageOptions","com.nostra13.universalimageloader.core.DisplayImageOptions","L1584","L103","library\src\com\nostra13\universalimageloader\core\DisplayImageOptions.java","65","1","509","2","0","0","0","0","0","0","0","0","2","0","0","30","4","15","13","2","26","0.0869565","0.301887","48","48","2","21","0.375587","160","0","0","0","0","0","111","155","19","11","19","11","24","0","22","0","24","42","0","22","0","266","445","38","11","38","11","52","0","49","0","52","119","0","49","0","0","0","84","0","37","0","0","6","0","0","0","2","0","0","2","0","0","0","66","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","16","0","16","0","0","0","0","0","0"
"L3796","ImageLoader","com.nostra13.universalimageloader.core.ImageLoader","L1584","L103","library\src\com\nostra13\universalimageloader\core\ImageLoader.java","48","1","763","2","0","0","0","0","0","0","0","0","1","3","3","65","24","11","11","47","88","1","0.618827","401","401","39","0","0.612952","407","0","0","0","0","0","247","703","12","6","12","6","41","1","38","0","41","114","1","38","0","257","716","13","7","13","7","43","1","40","0","47","116","1","44","0","0","1","26","0","13","0","0","2","0","0","0","0","0","1","3","3","0","9","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0"
"L3811","ImageLoaderConfiguration","com.nostra13.universalimageloader.core.ImageLoaderConfiguration","L1584","L103","library\src\com\nostra13\universalimageloader\core\ImageLoaderConfiguration.java","50","1","655","2","0.085031","1","9","3","0.049505","0.0738462","30","24","1","1","1","5","12","7","3","6","9","1","0.354839","33","33","2","0","0.402574","219","0","0","0","0","0","60","116","20","1","20","1","3","0","1","0","3","30","0","1","0","325","606","53","3","53","3","34","3","31","0","34","147","3","31","0","0","0","70","0","60","0","0","6","0","19","0","1","0","0","21","2","0","2","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","19","0","19","0","0","0","0","0","0"
"L3160","ImageLoaderEngine","com.nostra13.universalimageloader.core.ImageLoaderEngine","L1584","L103","library\src\com\nostra13\universalimageloader\core\ImageLoaderEngine.java","40","1","217","2","0","0","0","0","0","0","0","0","4","1","1","26","5","5","18","3","22","1","0.328767","48","48","1","0","0.305732","48","0","0","0","0","0","98","167","10","4","10","4","19","0","0","0","19","37","0","0","0","109","178","10","4","10","4","20","0","1","0","20","43","0","1","0","0","0","32","0","18","0","0","0","0","0","0","1","0","0","17","0","0","1","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"L3167","ImageLoadingInfo","com.nostra13.universalimageloader.core.ImageLoadingInfo","L1584","L103","library\src\com\nostra13\universalimageloader\core\ImageLoadingInfo.java","35","1","58","2","0","0","0","0","0","0","0","0","0","0","0","1","5","4","1","0","1","0.5","0.3125","10","10","1","1","0.3125","10","0","0","0","0","0","22","24","8","0","8","0","1","0","1","0","1","8","0","1","0","22","24","8","0","8","0","1","0","1","0","1","8","0","1","0","0","0","5","0","8","0","0","0","0","0","0","0","0","0","8","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"L3911","LoadAndDisplayImageTask","com.nostra13.universalimageloader.core.LoadAndDisplayImageTask","L1584","L103","library\src\com\nostra13\universalimageloader\core\LoadAndDisplayImageTask.java","51","1","472","2","0","0","0","0","0","0","0","0","1","4","4","89","25","7","3","37","61","0.25","0.0986301","36","31","1","3","0.11054","43","1","1","0","0","1","329","405","37","2","37","2","24","0","3","0","24","190","0","3","0","346","422","37","2","37","2","27","0","6","0","27","195","0","6","0","0","0","73","1","26","0","0","12","0","0","0","0","0","5","7","3","0","7","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","0","0","0","0","1"
"L3896","ProcessAndDisplayImageTask","com.nostra13.universalimageloader.core.ProcessAndDisplayImageTask","L1584","L103","library\src\com\nostra13\universalimageloader\core\ProcessAndDisplayImageTask.java","32","1","59","2","0","0","0","0","0","0","0","0","1","0","0","2","8","2","1","6","8","0.333333","0.233333","7","7","1","2","0.233333","7","0","0","0","0","0","23","28","5","0","5","0","2","0","2","0","2","9","0","2","0","23","28","5","0","5","0","2","0","2","0","2","9","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
