"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L5046","R","com.nostra13.universalimageloader.R","L106","L103","library\test-gen\com\nostra13\universalimageloader\R.java","3","1","24","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","7","0","0","0","0","0","0","0","0","0","0","0","0","0","18","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"L2766","DefaultConfigurationFactory","com.nostra13.universalimageloader.core.DefaultConfigurationFactory","L1559","L103","library\src\com\nostra13\universalimageloader\core\DefaultConfigurationFactory.java","58","1","183","2","0","0","0","0","0","0","0","0","7","2","2","22","18","5","7","10","23","1","0.231579","22","21","9","0","0.192982","22","0","0","0","0","0","73","103","0","1","0","1","13","0","8","0","13","32","0","8","0","92","126","5","1","5","1","15","0","9","0","15","40","0","9","0","0","1","23","0","5","0","1","2","0","0","0","1","0","0","0","1","0","2","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"L3146","DisplayBitmapTask","com.nostra13.universalimageloader.core.DisplayBitmapTask","L1559","L103","library\src\com\nostra13\universalimageloader\core\DisplayBitmapTask.java","33","1","81","2","0","0","0","0","0","0","0","0","1","2","1","5","8","2","2","9","12","0.333333","0.173077","9","9","1","2","0.173077","9","0","0","0","0","0","43","49","11","0","11","0","3","0","2","0","3","20","0","2","0","43","49","11","0","11","0","3","0","2","0","3","20","0","2","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"L2693","DisplayImageOptions","com.nostra13.universalimageloader.core.DisplayImageOptions","L1559","L103","library\src\com\nostra13\universalimageloader\core\DisplayImageOptions.java","65","1","509","2","0","0","0","0","0","0","0","0","2","0","0","30","4","15","13","2","26","0.0869565","0.301887","48","48","2","21","0.375587","160","0","0","0","0","0","111","155","19","11","19","11","24","0","22","0","24","42","0","22","0","266","445","38","11","38","11","52","0","49","0","52","119","0","49","0","0","0","84","0","37","0","0","6","0","0","0","2","0","0","2","0","0","0","66","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","16","0","16","0","0","0","0","0","0"
"L3830","ImageLoader","com.nostra13.universalimageloader.core.ImageLoader","L1559","L103","library\src\com\nostra13\universalimageloader\core\ImageLoader.java","48","1","768","2","0","0","0","0","0","0","0","0","1","3","3","67","23","11","11","47","89","1","0.616564","402","402","40","0","0.610778","408","0","0","0","0","0","250","708","12","6","12","6","42","1","39","1","42","115","1","39","1","260","721","13","7","13","7","44","1","41","1","48","117","1","45","1","0","1","26","0","13","0","0","2","0","0","0","0","0","1","3","3","0","9","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0"
"L3845","ImageLoaderConfiguration","com.nostra13.universalimageloader.core.ImageLoaderConfiguration","L1559","L103","library\src\com\nostra13\universalimageloader\core\ImageLoaderConfiguration.java","50","1","655","2","0.0849558","1","9","3","0.049505","0.0738462","30","24","1","1","1","5","12","7","3","6","9","1","0.354839","33","33","2","0","0.402574","219","0","0","0","0","0","60","116","20","1","20","1","3","0","1","0","3","30","0","1","0","325","606","53","3","53","3","34","3","31","0","34","147","3","31","0","0","0","70","0","60","0","0","6","0","19","0","1","0","0","21","2","0","2","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","19","0","19","0","0","0","0","0","0"
"L3161","ImageLoaderEngine","com.nostra13.universalimageloader.core.ImageLoaderEngine","L1559","L103","library\src\com\nostra13\universalimageloader\core\ImageLoaderEngine.java","40","1","217","2","0","0","0","0","0","0","0","0","4","1","1","26","5","5","18","3","22","1","0.328767","48","48","1","0","0.305732","48","0","0","0","0","0","98","167","10","4","10","4","19","0","0","0","19","37","0","0","0","109","178","10","4","10","4","20","0","1","0","20","43","0","1","0","0","0","32","0","18","0","0","0","0","0","0","1","0","0","17","0","0","1","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"L3168","ImageLoadingInfo","com.nostra13.universalimageloader.core.ImageLoadingInfo","L1559","L103","library\src\com\nostra13\universalimageloader\core\ImageLoadingInfo.java","35","1","58","2","0","0","0","0","0","0","0","0","0","0","0","1","5","4","1","0","1","0.5","0.3125","10","10","1","1","0.3125","10","0","0","0","0","0","22","24","8","0","8","0","1","0","1","0","1","8","0","1","0","22","24","8","0","8","0","1","0","1","0","1","8","0","1","0","0","0","5","0","8","0","0","0","0","0","0","0","0","0","8","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"L3945","LoadAndDisplayImageTask","com.nostra13.universalimageloader.core.LoadAndDisplayImageTask","L1559","L103","library\src\com\nostra13\universalimageloader\core\LoadAndDisplayImageTask.java","51","1","482","2","0","0","0","0","0","0","0","0","1","4","4","91","25","7","3","38","62","0.25","0.096","36","31","1","3","0.107769","43","1","1","0","0","1","339","415","38","2","38","2","24","0","3","0","24","195","0","3","0","356","432","38","2","38","2","27","0","6","0","27","200","0","6","0","0","0","73","1","27","0","0","12","0","0","0","0","0","5","7","3","0","8","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","0","0","0","0","0"
"L3930","ProcessAndDisplayImageTask","com.nostra13.universalimageloader.core.ProcessAndDisplayImageTask","L1559","L103","library\src\com\nostra13\universalimageloader\core\ProcessAndDisplayImageTask.java","32","1","59","2","0","0","0","0","0","0","0","0","1","0","0","2","8","2","1","6","8","0.333333","0.233333","7","7","1","2","0.233333","7","0","0","0","0","0","23","28","5","0","5","0","2","0","2","0","2","9","0","2","0","23","28","5","0","5","0","2","0","2","0","2","9","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4813","DiskCacheUtils","com.nostra13.universalimageloader.utils.DiskCacheUtils","L4805","L103","library\src\com\nostra13\universalimageloader\utils\DiskCacheUtils.java","29","1","49","2","0","0","0","0","0","0","0","0","2","0","0","7","1","0","0","1","4","1","0.52","13","13","3","0","0.52","13","0","0","0","0","0","12","21","0","0","0","0","3","0","2","0","3","4","0","2","0","12","21","0","0","0","0","3","0","2","0","3","4","0","2","0","0","0","5","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4824","ImageSizeUtils","com.nostra13.universalimageloader.utils.ImageSizeUtils","L4805","L103","library\src\com\nostra13\universalimageloader\utils\ImageSizeUtils.java","32","1","215","2","0.211618","1","8","2","0.119565","0.22","22","22","3","3","3","30","3","3","9","5","11","1","0.425287","74","69","5","0","0.425287","74","0","0","0","0","0","100","184","2","0","2","0","6","0","4","0","6","62","0","4","0","100","184","2","0","2","0","6","0","4","0","6","62","0","4","0","0","0","17","1","10","0","0","4","0","11","0","1","0","1","0","0","0","7","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L152","IoUtils","com.nostra13.universalimageloader.utils.IoUtils","L4805","L103","library\src\com\nostra13\universalimageloader\utils\IoUtils.java","29","1","131","2","0","0","0","0","0","0","0","0","1","3","3","17","1","7","8","1","7","0.8","0.404255","38","35","4","1","0.427184","44","0","0","0","0","0","56","95","3","0","3","0","6","3","4","0","6","30","3","4","0","59","103","3","0","3","0","7","3","5","0","7","30","3","5","0","0","2","11","1","8","0","3","4","0","0","0","0","0","0","0","0","0","3","7","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","0","0","0"
"L4896","L","com.nostra13.universalimageloader.utils.L","L4805","L103","library\src\com\nostra13\universalimageloader\utils\L.java","27","1","113","2","0","0","0","0","0","0","0","0","1","1","1","17","1","16","47","0","12","0.454545","0.291139","23","23","5","6","0.291139","23","0","0","0","0","0","56","87","3","0","3","0","12","0","10","0","12","22","0","10","0","56","87","3","0","3","0","12","0","10","0","12","22","0","10","0","0","0","17","0","16","0","0","2","0","0","0","0","0","0","0","0","0","5","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","1","0","0","0","0","0","0","0","0"
