"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L9135","Calendar","java.util.Calendar","L58028","L103","BroadleafCommerce\admin\BroadleafCommerceOpenAdminPlatform\src\main\resources\org\broadleafcommerce\openadmin\override\java\util\Calendar.java","26","1","621","2","0.189394","2","16","4","0.0805369","0.188235","48","48","6","1","1","54","1","16","24","0","37","0.0263158","0.510557","266","265","1","37","0.510557","266","0","0","1","1","0","255","596","43","12","43","12","37","41","37","6","37","88","41","37","6","255","596","43","12","43","12","37","41","37","6","37","88","41","37","6","0","0","110","27","43","0","0","0","1","18","0","1","0","0","0","0","0","42","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","16","23","2","1","0","0","0"
"L4626","Currency","java.util.Currency","L58028","L103","BroadleafCommerce\admin\BroadleafCommerceOpenAdminPlatform\src\main\resources\org\broadleafcommerce\openadmin\override\java\util\Currency.java","26","1","42","2","0","0","0","0","0","0","0","0","0","0","0","2","0","6","14","0","2","0.333333","0.333333","6","6","1","2","0.333333","6","0","0","0","0","0","12","17","2","2","2","2","2","0","2","0","2","4","0","2","0","12","17","2","2","2","2","2","0","2","0","2","4","0","2","0","0","0","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L58228","Currency_CustomFieldSerializer","java.util.Currency_CustomFieldSerializer","L58028","L103","BroadleafCommerce\admin\BroadleafCommerceOpenAdminPlatform\src\main\resources\org\broadleafcommerce\openadmin\override\java\util\Currency_CustomFieldSerializer.java","26","1","42","2","0","0","0","0","0","0","0","0","3","0","0","3","1","0","0","2","5","0.25","0.277778","5","4","1","3","0.277778","5","0","0","0","0","0","13","17","0","0","0","0","3","0","3","0","3","2","0","3","0","13","17","0","0","0","0","3","0","3","0","3","2","0","3","0","0","0","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L33333","GregorianCalendar","java.util.GregorianCalendar","L58028","L103","BroadleafCommerce\admin\BroadleafCommerceOpenAdminPlatform\src\main\resources\org\broadleafcommerce\openadmin\override\java\util\GregorianCalendar.java","24","1","59","2","0","0","0","0","0","0","0","0","0","0","0","4","1","2","4","3","7","0.2","0.485714","17","6","1","4","0.485714","17","1","1","0","0","1","18","36","44","12","1","0","4","0","4","0","41","7","41","41","6","18","36","44","12","1","0","4","0","4","0","41","7","41","41","6","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
"L58261","GregorianCalendar_CustomFieldSerializer","java.util.GregorianCalendar_CustomFieldSerializer","L58028","L103","BroadleafCommerce\admin\BroadleafCommerceOpenAdminPlatform\src\main\resources\org\broadleafcommerce\openadmin\override\java\util\GregorianCalendar_CustomFieldSerializer.java","32","1","53","2","0","0","0","0","0","0","0","0","3","0","0","3","2","0","0","2","5","0.25","0.37931","11","10","1","3","0.37931","11","0","0","0","0","0","18","22","0","0","0","0","3","0","3","0","3","7","0","3","0","18","22","0","0","0","0","3","0","3","0","3","7","0","3","0","0","0","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4798","Locale","java.util.Locale","L58028","L103","BroadleafCommerce\admin\BroadleafCommerceOpenAdminPlatform\src\main\resources\org\broadleafcommerce\openadmin\override\java\util\Locale.java","26","1","30","2","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","1","0.666667","6","6","1","0","0.666667","6","0","0","0","0","0","3","5","1","0","1","0","0","0","0","0","0","0","0","0","0","3","5","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L33288","TimeZone","java.util.TimeZone","L58028","L103","BroadleafCommerce\admin\BroadleafCommerceOpenAdminPlatform\src\main\resources\org\broadleafcommerce\openadmin\override\java\util\TimeZone.java","26","1","30","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0.666667","6","6","1","0","0.666667","6","0","0","0","0","0","3","5","1","0","1","0","0","0","0","0","0","0","0","0","0","3","5","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L76849","CommitmentV3Type$Factory","noNamespace.CommitmentV3Type$Factory","L56781","L103","BroadleafCommerce\module\BroadleafCommerceUSPSSchemas\src\main\java\noNamespace\CommitmentV3Type.java","106","5","175","6","0","0","0","0","0","0","0","0","20","0","0","21","1","0","0","0","21","0.333333","0.2","11","10","7","14","0.2","11","0","0","0","0","0","44","70","0","0","0","0","21","0","20","0","21","20","0","20","0","44","70","0","0","0","0","21","0","20","0","21","20","0","20","0","0","0","34","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"L76919","ErrorDocument$Factory","noNamespace.ErrorDocument$Factory","L56487","L103","BroadleafCommerce\module\BroadleafCommerceUSPSSchemas\src\main\java\noNamespace\ErrorDocument.java","52","5","121","6","0","0","0","0","0","0","0","0","20","0","0","21","1","2","2","0","21","0.333333","0.2","11","10","7","14","0.2","11","0","0","0","0","0","44","70","0","0","0","0","21","0","20","0","21","20","0","20","0","44","70","0","0","0","0","21","0","20","0","21","20","0","20","0","0","0","34","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"L77026","ErrorV2Type$Factory","noNamespace.ErrorV2Type$Factory","L56492","L103","BroadleafCommerce\module\BroadleafCommerceUSPSSchemas\src\main\java\noNamespace\ErrorV2Type.java","146","5","215","6","0","0","0","0","0","0","0","0","20","0","0","21","1","0","0","0","21","0.333333","0.2","11","10","7","14","0.2","11","0","0","0","0","0","44","70","0","0","0","0","21","0","20","0","21","20","0","20","0","44","70","0","0","0","0","21","0","20","0","21","20","0","20","0","0","0","34","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
