"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L10191","Calendar","java.util.Calendar","L47868","L103","admin\broadleaf-open-admin-platform\src\main\resources\org\broadleafcommerce\openadmin\override\java\util\Calendar.java","27","1","653","2","0.156087","2","16","4","0.076555","0.167247","48","48","6","3","2","59","1","20","32","0","37","0.0263158","0.480072","265","265","1","37","0.480072","265","0","0","1","1","0","287","627","43","12","43","12","37","41","37","6","37","112","41","37","6","287","627","43","12","43","12","37","41","37","6","37","112","41","37","6","0","0","110","25","43","0","0","0","1","18","0","1","0","0","0","0","0","42","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","16","21","2","1","0","0","0"
"L13627","Currency","java.util.Currency","L47868","L103","admin\broadleaf-open-admin-platform\src\main\resources\org\broadleafcommerce\openadmin\override\java\util\Currency.java","27","1","43","2","0","0","0","0","0","0","0","0","0","0","0","2","0","4","11","0","2","0.333333","0.333333","6","6","1","2","0.333333","6","0","0","0","0","0","12","17","2","2","2","2","2","0","2","0","2","4","0","2","0","12","17","2","2","2","2","2","0","2","0","2","4","0","2","0","0","0","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L48059","Currency_CustomFieldSerializer","java.util.Currency_CustomFieldSerializer","L47868","L103","admin\broadleaf-open-admin-platform\src\main\resources\org\broadleafcommerce\openadmin\override\java\util\Currency_CustomFieldSerializer.java","26","1","42","2","0","0","0","0","0","0","0","0","3","0","0","3","1","0","0","2","5","0.25","0.277778","5","4","1","3","0.277778","5","0","0","0","0","0","13","17","0","0","0","0","3","0","3","0","3","2","0","3","0","13","17","0","0","0","0","3","0","3","0","3","2","0","3","0","0","0","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L15105","GregorianCalendar","java.util.GregorianCalendar","L47868","L103","admin\broadleaf-open-admin-platform\src\main\resources\org\broadleafcommerce\openadmin\override\java\util\GregorianCalendar.java","25","1","60","2","0","0","0","0","0","0","0","0","0","0","0","4","1","2","4","3","7","0.2","0.485714","17","6","1","4","0.485714","17","1","1","0","0","1","18","36","44","12","1","0","4","0","4","0","41","7","41","41","6","18","36","44","12","1","0","4","0","4","0","41","7","41","41","6","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
"L48092","GregorianCalendar_CustomFieldSerializer","java.util.GregorianCalendar_CustomFieldSerializer","L47868","L103","admin\broadleaf-open-admin-platform\src\main\resources\org\broadleafcommerce\openadmin\override\java\util\GregorianCalendar_CustomFieldSerializer.java","32","1","53","2","0","0","0","0","0","0","0","0","3","0","0","3","2","0","0","2","5","0.25","0.37931","11","10","1","3","0.37931","11","0","0","0","0","0","18","22","0","0","0","0","3","0","3","0","3","7","0","3","0","18","22","0","0","0","0","3","0","3","0","3","7","0","3","0","0","0","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13816","Locale","java.util.Locale","L47868","L103","admin\broadleaf-open-admin-platform\src\main\resources\org\broadleafcommerce\openadmin\override\java\util\Locale.java","27","1","31","2","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","1","0.666667","6","6","1","0","0.666667","6","0","0","0","0","0","3","5","1","0","1","0","0","0","0","0","0","0","0","0","0","3","5","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L15064","TimeZone","java.util.TimeZone","L47868","L103","admin\broadleaf-open-admin-platform\src\main\resources\org\broadleafcommerce\openadmin\override\java\util\TimeZone.java","27","1","31","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0.666667","6","6","1","0","0.666667","6","0","0","0","0","0","3","5","1","0","1","0","0","0","0","0","0","0","0","0","0","3","5","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6732","RequestDTOImpl","org.broadleafcommerce.common.RequestDTOImpl","L10661","L103","admin\broadleaf-open-admin-platform\src\main\java\org\broadleafcommerce\common\RequestDTOImpl.java","27","1","71","2","0","0","0","0","0","0","0","0","1","0","0","6","1","2","1","0","5","0.666667","0.342105","13","12","4","2","0.342105","13","1","1","0","0","1","25","45","4","2","4","2","5","0","5","0","5","6","0","5","0","25","45","4","2","4","2","5","0","5","0","5","6","0","5","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7208","TimeDTO","org.broadleafcommerce.common.TimeDTO","L10661","L103","admin\broadleaf-open-admin-platform\src\main\java\org\broadleafcommerce\common\TimeDTO.java","29","1","143","2","0","0","0","0","0","0","0","0","0","1","1","21","2","2","1","3","18","0.3125","0.168421","16","16","5","11","0.168421","16","0","0","0","0","0","79","115","7","6","7","6","15","0","15","7","15","27","0","15","7","79","115","7","6","7","6","15","0","15","7","15","27","0","15","7","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"L44695","BroadleafInstrumentationSavingAgent","org.broadleafcommerce.instrument.BroadleafInstrumentationSavingAgent","L44686","L103","core\broadleaf-instrument\src\main\java\org\broadleafcommerce\instrument\BroadleafInstrumentationSavingAgent.java","27","1","56","2","0","0","0","0","0","0","0","0","1","0","0","2","0","1","1","0","2","1","0.677419","21","21","3","0","0.677419","21","0","0","0","0","0","10","30","1","1","1","1","2","0","2","0","2","3","0","2","0","10","30","1","1","1","1","2","0","2","0","2","3","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
