"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L12392","Calendar","java.util.Calendar","L61319","L103","admin\broadleaf-open-admin-platform\src\main\resources\org\broadleafcommerce\openadmin\override\java\util\Calendar.java","27","1","653","2","0.156087","2","16","4","0.076555","0.167247","48","48","6","3","2","59","1","27","40","0","37","0.0263158","0.480072","265","265","1","37","0.480072","265","0","0","1","1","0","287","627","43","12","43","12","37","41","37","6","37","112","41","37","6","287","627","43","12","43","12","37","41","37","6","37","112","41","37","6","0","0","110","25","43","0","0","0","1","18","0","1","0","0","0","0","0","42","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","16","21","2","1","0","0","0"
"L29875","Currency","java.util.Currency","L61319","L103","admin\broadleaf-open-admin-platform\src\main\resources\org\broadleafcommerce\openadmin\override\java\util\Currency.java","28","1","45","2","0","0","0","0","0","0","0","0","0","0","0","2","0","6","14","0","2","0.333333","0.315789","6","6","1","2","0.315789","6","0","0","0","0","0","13","18","2","2","2","2","2","0","2","0","2","4","0","2","0","13","18","2","2","2","2","2","0","2","0","2","4","0","2","0","0","0","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L61515","Currency_CustomFieldSerializer","java.util.Currency_CustomFieldSerializer","L61319","L103","admin\broadleaf-open-admin-platform\src\main\resources\org\broadleafcommerce\openadmin\override\java\util\Currency_CustomFieldSerializer.java","26","1","42","2","0","0","0","0","0","0","0","0","3","0","0","3","1","0","0","2","5","0.25","0.277778","5","4","1","3","0.277778","5","0","0","0","0","0","13","17","0","0","0","0","3","0","3","0","3","2","0","3","0","13","17","0","0","0","0","3","0","3","0","3","2","0","3","0","0","0","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L31900","GregorianCalendar","java.util.GregorianCalendar","L61319","L103","admin\broadleaf-open-admin-platform\src\main\resources\org\broadleafcommerce\openadmin\override\java\util\GregorianCalendar.java","25","1","60","2","0","0","0","0","0","0","0","0","0","0","0","4","1","2","4","3","7","0.2","0.485714","17","6","1","4","0.485714","17","1","1","0","0","1","18","36","44","12","1","0","4","0","4","0","41","7","41","41","6","18","36","44","12","1","0","4","0","4","0","41","7","41","41","6","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
"L61548","GregorianCalendar_CustomFieldSerializer","java.util.GregorianCalendar_CustomFieldSerializer","L61319","L103","admin\broadleaf-open-admin-platform\src\main\resources\org\broadleafcommerce\openadmin\override\java\util\GregorianCalendar_CustomFieldSerializer.java","32","1","53","2","0","0","0","0","0","0","0","0","3","0","0","3","2","0","0","2","5","0.25","0.37931","11","10","1","3","0.37931","11","0","0","0","0","0","18","22","0","0","0","0","3","0","3","0","3","7","0","3","0","18","22","0","0","0","0","3","0","3","0","3","7","0","3","0","0","0","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L26351","Locale","java.util.Locale","L61319","L103","admin\broadleaf-open-admin-platform\src\main\resources\org\broadleafcommerce\openadmin\override\java\util\Locale.java","27","1","31","2","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","1","0.666667","6","6","1","0","0.666667","6","0","0","0","0","0","3","5","1","0","1","0","0","0","0","0","0","0","0","0","0","3","5","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L31859","TimeZone","java.util.TimeZone","L61319","L103","admin\broadleaf-open-admin-platform\src\main\resources\org\broadleafcommerce\openadmin\override\java\util\TimeZone.java","27","1","31","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0.666667","6","6","1","0","0.666667","6","0","0","0","0","0","3","5","1","0","1","0","0","0","0","0","0","0","0","0","0","3","5","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8347","RequestDTOImpl","org.broadleafcommerce.common.RequestDTOImpl","L26563","L103","common\src\main\java\org\broadleafcommerce\common\RequestDTOImpl.java","27","1","71","2","0","0","0","0","0","0","0","0","1","0","0","6","1","3","2","0","5","0.666667","0.342105","13","12","4","2","0.342105","13","1","1","0","0","1","25","45","4","2","4","2","5","0","5","0","5","6","0","5","0","25","45","4","2","4","2","5","0","5","0","5","6","0","5","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8848","TimeDTO","org.broadleafcommerce.common.TimeDTO","L26563","L103","common\src\main\java\org\broadleafcommerce\common\TimeDTO.java","29","1","143","2","0","0","0","0","0","0","0","0","0","1","1","21","2","5","4","3","18","0.3125","0.168421","16","16","5","11","0.168421","16","0","0","0","0","0","79","115","7","6","7","6","15","0","15","7","15","27","0","15","7","79","115","7","6","7","6","15","0","15","7","15","27","0","15","7","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"L58055","BroadleafInstrumentationSavingAgent","org.broadleafcommerce.instrument.BroadleafInstrumentationSavingAgent","L58046","L103","core\broadleaf-instrument\src\main\java\org\broadleafcommerce\instrument\BroadleafInstrumentationSavingAgent.java","27","1","56","2","0","0","0","0","0","0","0","0","1","0","0","2","0","1","1","0","2","1","0.677419","21","21","3","0","0.677419","21","0","0","0","0","0","10","30","1","1","1","1","2","0","2","0","2","3","0","2","0","10","30","1","1","1","1","2","0","2","0","2","3","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L28203","BaseTest","org.broadleafcommerce.test.BaseTest","L60718","L103","integration\src\test\java\org\broadleafcommerce\test\BaseTest.java","31","1","58","2","0","0","0","0","0","0","0","0","0","2","2","4","2","30","2","2","3","0","0","0","0","0","2","0","0","0","0","27","41","0","21","28","2","1","2","1","1","0","1","0","1","7","0","1","0","21","28","2","1","2","1","1","0","1","0","1","7","0","1","0","0","1","6","2","5","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0"
"L48295","CommonSetupBaseTest","org.broadleafcommerce.test.CommonSetupBaseTest","L60718","L103","integration\src\test\java\org\broadleafcommerce\test\CommonSetupBaseTest.java","58","1","272","2","0.567532","5","6","5","0.413953","0.519737","89","79","3","1","1","12","35","8","29","63","74","0.333333","0.141243","25","16","4","8","0.141243","25","1","1","6","8","1","152","215","10","1","8","0","11","0","11","0","12","111","0","12","0","152","215","10","1","8","0","11","0","11","0","12","111","0","12","0","0","0","59","0","1","0","0","0","0","32","0","1","0","0","0","6","0","1","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"L60784","MergeDependencyInjectionTestExecutionListener","org.broadleafcommerce.test.MergeDependencyInjectionTestExecutionListener","L60718","L103","integration\src\test\java\org\broadleafcommerce\test\MergeDependencyInjectionTestExecutionListener.java","24","1","37","2","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","1","2","0","0","0","0","0","1","0","0","0","0","0","0","0","12","14","0","0","0","0","1","0","0","0","1","6","0","0","0","12","14","0","0","0","0","1","0","0","0","1","6","0","0","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"L60789","MergeTransactionalTestExecutionListener","org.broadleafcommerce.test.MergeTransactionalTestExecutionListener","L60718","L103","integration\src\test\java\org\broadleafcommerce\test\MergeTransactionalTestExecutionListener.java","99","1","519","2","0","0","0","0","0","0","0","0","1","3","3","55","4","0","0","14","28","1","0.433168","175","174","3","0","0.413953","178","0","0","0","0","0","229","392","5","3","5","3","14","0","2","0","14","121","0","2","0","252","421","8","4","8","4","18","0","6","0","18","128","0","6","0","0","0","17","11","11","0","0","0","0","0","0","0","0","0","0","0","0","3","17","0","0","0","0","0","0","4","2","0","0","0","0","0","0","1","1","0","0","1","1","9","0","0","0"
"L190","CustomerCareModule","org.broadleafcommerce.admin.client.CustomerCareModule","L107","L103","admin\broadleaf-admin-module\src\main\java\org\broadleafcommerce\admin\client\CustomerCareModule.java","37","1","82","2","0.972678","11","12","12","0.891304","0.9","41","36","1","0","0","1","9","0","0","8","9","0.5","0.111111","5","5","1","1","0.111111","5","2","2","0","0","1","40","46","4","4","0","0","1","0","1","0","15","22","0","15","5","40","46","4","4","0","0","1","0","1","0","15","22","0","15","5","0","0","17","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1741","MerchandisingModule","org.broadleafcommerce.admin.client.MerchandisingModule","L107","L103","admin\broadleaf-admin-module\src\main\java\org\broadleafcommerce\admin\client\MerchandisingModule.java","36","1","110","2","0.982079","13","19","19","0.92","0.939394","69","62","1","0","0","1","9","0","0","8","9","0.5","0.0833333","6","5","1","1","0.0833333","6","2","2","0","0","1","66","75","4","4","0","0","1","0","1","0","15","34","0","15","5","66","75","4","4","0","0","1","0","1","0","15","34","0","15","5","0","0","17","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8861","AbstractContentService","org.broadleafcommerce.cms.common.AbstractContentService","L8858","L103","admin\broadleaf-contentmanagement-module\src\main\java\org\broadleafcommerce\cms\common\AbstractContentService.java","39","1","111","2","0","0","0","0","0","0","0","0","1","1","1","10","5","3","6","5","8","0.333333","0.263889","19","6","1","2","0.263889","19","0","0","3","3","0","53","73","1","0","1","0","3","0","2","0","3","36","0","2","0","53","73","1","0","1","0","3","0","2","0","3","36","0","2","0","0","0","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"L12193","BroadleafCmsSimpleUrlHandlerMapping","org.broadleafcommerce.cms.web.BroadleafCmsSimpleUrlHandlerMapping","L12180","L103","admin\broadleaf-contentmanagement-module\src\main\java\org\broadleafcommerce\cms\web\BroadleafCmsSimpleUrlHandlerMapping.java","32","1","46","2","0","0","0","0","0","0","0","0","0","1","1","2","1","0","0","1","2","0.5","0.35","7","7","1","1","0.35","7","0","0","0","0","0","13","15","1","0","1","0","1","0","1","1","1","5","0","1","1","13","15","1","0","1","0","1","0","1","1","1","5","0","1","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12216","BroadleafProcessURLFilter","org.broadleafcommerce.cms.web.BroadleafProcessURLFilter","L12180","L103","admin\broadleaf-contentmanagement-module\src\main\java\org\broadleafcommerce\cms\web\BroadleafProcessURLFilter.java","79","1","572","2","0.47284","7","44","7","0.356275","0.443478","176","153","1","4","4","86","17","3","2","35","57","0.166667","0.21709","94","81","2","10","0.214123","94","0","0","0","0","0","339","488","29","6","29","6","22","4","11","6","22","186","4","11","6","345","494","29","6","29","6","23","4","12","6","23","189","4","12","6","0","6","114","3","51","0","1","0","0","54","0","0","0","5","0","3","0","34","41","0","0","0","0","0","0","3","0","0","0","0","0","0","0","21","0","0","11","0","0","1","0","0","0"
