"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L2459","RequestDTOImpl","org.broadleafcommerce.common.RequestDTOImpl","L22175","L103","common\src\main\java\org\broadleafcommerce\common\RequestDTOImpl.java","29","1","95","2","0","0","0","0","0","0","0","0","1","0","0","11","1","4","3","0","10","0.363636","0.240741","13","12","4","7","0.240741","13","1","1","0","0","1","41","67","4","4","4","4","10","0","10","3","10","12","0","10","3","41","67","4","4","4","4","10","0","10","3","10","12","0","10","3","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2644","TimeDTO","org.broadleafcommerce.common.TimeDTO","L22175","L103","common\src\main\java\org\broadleafcommerce\common\TimeDTO.java","34","1","150","2","0","0","0","0","0","0","0","0","0","1","1","21","6","6","5","11","26","0.3125","0.164948","16","16","5","11","0.164948","16","0","0","0","0","0","81","117","7","6","7","6","15","0","15","7","15","29","0","15","7","81","117","7","6","7","6","15","0","15","7","15","29","0","15","7","0","0","28","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","25","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"L23394","BaseTest","org.broadleafcommerce.test.BaseTest","L64612","L103","integration\src\test\java\org\broadleafcommerce\test\BaseTest.java","37","1","84","2","0","0","0","0","0","0","0","0","0","3","3","5","2","32","5","2","4","0","0.166667","6","0","0","2","0.166667","6","0","0","29","43","0","30","48","3","2","3","2","2","0","1","0","2","14","0","1","0","30","48","3","2","3","2","2","0","1","0","2","14","0","1","0","0","1","8","2","7","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0"
"L48873","CommonSetupBaseTest","org.broadleafcommerce.test.CommonSetupBaseTest","L64612","L103","integration\src\test\java\org\broadleafcommerce\test\CommonSetupBaseTest.java","57","1","271","2","0.567532","5","6","5","0.413953","0.519737","89","79","3","1","1","12","34","8","28","60","71","0.333333","0.141243","25","16","4","8","0.141243","25","1","1","6","8","1","152","215","11","2","8","0","11","0","11","0","13","111","0","12","0","152","215","11","2","8","0","11","0","11","0","13","111","0","12","0","0","0","59","0","1","0","0","0","0","32","0","1","0","0","0","6","0","1","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"L64679","MergeDependencyInjectionTestExecutionListener","org.broadleafcommerce.test.MergeDependencyInjectionTestExecutionListener","L64612","L103","integration\src\test\java\org\broadleafcommerce\test\MergeDependencyInjectionTestExecutionListener.java","24","1","37","2","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","1","2","0","0","0","0","0","1","0","0","0","0","0","0","0","12","14","0","0","0","0","1","0","0","0","1","6","0","0","0","12","14","0","0","0","0","1","0","0","0","1","6","0","0","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"L64683","MergeTransactionalTestExecutionListener","org.broadleafcommerce.test.MergeTransactionalTestExecutionListener","L64612","L103","integration\src\test\java\org\broadleafcommerce\test\MergeTransactionalTestExecutionListener.java","99","1","519","2","0","0","0","0","0","0","0","0","1","3","3","55","2","0","0","4","18","1","0.433168","175","174","3","0","0.413953","178","0","0","0","0","0","229","392","5","3","5","3","14","0","2","0","14","121","0","2","0","252","421","8","4","8","4","18","0","6","0","18","128","0","6","0","0","0","17","11","11","0","0","0","0","0","0","0","0","0","0","0","0","3","17","0","0","0","0","0","0","4","2","0","0","0","0","0","0","1","1","0","0","1","1","9","0","0","0"
"L2960","AbstractContentService","org.broadleafcommerce.cms.common.AbstractContentService","L2956","L103","admin\broadleaf-contentmanagement-module\src\main\java\org\broadleafcommerce\cms\common\AbstractContentService.java","39","1","111","2","0","0","0","0","0","0","0","0","1","1","1","10","3","3","6","4","7","0.333333","0.263889","19","6","1","2","0.263889","19","0","0","3","3","0","53","73","1","0","1","0","3","0","2","0","3","36","0","2","0","53","73","1","0","1","0","3","0","2","0","3","36","0","2","0","0","0","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"L3011","AssetNotFoundException","org.broadleafcommerce.cms.common.AssetNotFoundException","L2956","L103","admin\broadleaf-contentmanagement-module\src\main\java\org\broadleafcommerce\cms\common\AssetNotFoundException.java","27","1","46","2","0","0","0","0","0","0","0","0","0","0","0","4","0","2","1","0","4","0.2","0.3","6","5","1","4","0.3","6","0","0","0","0","0","14","20","1","0","1","0","4","0","4","0","4","3","0","4","0","14","20","1","0","1","0","4","0","4","0","4","3","0","4","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6863","BroadleafCmsSimpleUrlHandlerMapping","org.broadleafcommerce.cms.web.BroadleafCmsSimpleUrlHandlerMapping","L6850","L103","admin\broadleaf-contentmanagement-module\src\main\java\org\broadleafcommerce\cms\web\BroadleafCmsSimpleUrlHandlerMapping.java","32","1","46","2","0","0","0","0","0","0","0","0","0","1","1","2","1","0","0","1","2","0.5","0.35","7","7","1","1","0.35","7","0","0","0","0","0","13","15","1","0","1","0","1","0","1","1","1","5","0","1","1","13","15","1","0","1","0","1","0","1","1","1","5","0","1","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6886","BroadleafProcessURLFilter","org.broadleafcommerce.cms.web.BroadleafProcessURLFilter","L6850","L103","admin\broadleaf-contentmanagement-module\src\main\java\org\broadleafcommerce\cms\web\BroadleafProcessURLFilter.java","78","1","571","2","0.153086","3","14","3","0.109312","0.136232","54","47","1","4","4","86","13","3","2","22","44","0.166667","0.21709","94","81","2","10","0.214123","94","0","0","0","0","0","339","488","29","6","29","6","22","4","11","6","22","186","4","11","6","345","494","29","6","29","6","23","4","12","6","23","189","4","12","6","0","6","82","3","51","0","1","0","0","23","0","0","0","5","0","2","0","34","41","0","0","0","0","0","0","3","0","0","0","0","0","0","0","21","0","0","11","0","0","1","0","0","0"
