"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L3049","RequestDTOImpl","org.broadleafcommerce.common.RequestDTOImpl","L25887","L103","common\src\main\java\org\broadleafcommerce\common\RequestDTOImpl.java","33","1","105","2","0","0","0","0","0","0","0","0","1","1","1","12","1","4","3","0","10","0.363636","0.216667","13","12","4","7","0.216667","13","1","1","0","0","1","47","73","4","4","4","4","10","0","10","3","10","14","0","10","3","47","73","4","4","4","4","10","0","10","3","10","14","0","10","3","0","0","15","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"L3179","TimeDTO","org.broadleafcommerce.common.TimeDTO","L25887","L103","common\src\main\java\org\broadleafcommerce\common\TimeDTO.java","37","1","153","2","0","0","0","0","0","0","0","0","0","1","1","21","6","8","7","11","26","0.3125","0.164948","16","16","5","11","0.164948","16","0","0","0","0","0","81","117","7","6","7","6","15","0","15","7","15","29","0","15","7","81","117","7","6","7","6","15","0","15","7","15","29","0","15","7","0","0","28","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","25","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"L27665","BaseTest","org.broadleafcommerce.test.BaseTest","L82588","L103","integration\src\test\java\org\broadleafcommerce\test\BaseTest.java","41","1","93","2","0","0","0","0","0","0","0","0","0","3","3","5","2","31","5","2","4","0","0.175","7","0","0","2","0.175","7","0","0","28","42","0","33","53","3","2","3","2","2","0","1","0","2","17","0","1","0","33","53","3","2","3","2","2","0","1","0","2","17","0","1","0","0","1","8","2","7","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0"
"L82602","BroadleafGenericGroovyXmlWebContextLoader","org.broadleafcommerce.test.BroadleafGenericGroovyXmlWebContextLoader","L82588","L103","integration\src\test\java\org\broadleafcommerce\test\BroadleafGenericGroovyXmlWebContextLoader.java","59","1","278","2","0","0","0","0","0","0","0","0","2","3","3","15","2","0","0","3","9","1","0.665138","145","140","3","0","0.665138","145","0","0","0","0","0","73","220","0","2","0","2","6","0","2","0","6","39","0","2","0","73","220","0","2","0","2","6","0","2","0","6","39","0","2","0","0","0","1","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"L65279","CommonSetupBaseTest","org.broadleafcommerce.test.CommonSetupBaseTest","L82588","L103","integration\src\test\java\org\broadleafcommerce\test\CommonSetupBaseTest.java","63","1","290","2","0.669915","7","8","7","0.491228","0.614907","112","99","3","1","1","12","37","8","28","66","77","0.333333","0.134409","25","16","4","8","0.134409","25","1","1","6","8","1","161","228","12","2","9","0","11","0","11","0","13","118","0","12","0","161","228","12","2","9","0","11","0","11","0","13","118","0","12","0","0","0","73","0","1","0","0","0","0","45","0","1","0","0","0","6","0","1","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"L82676","MergeDependencyInjectionTestExecutionListener","org.broadleafcommerce.test.MergeDependencyInjectionTestExecutionListener","L82588","L103","integration\src\test\java\org\broadleafcommerce\test\MergeDependencyInjectionTestExecutionListener.java","27","1","40","2","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","1","2","0","0","0","0","0","1","0","0","0","0","0","0","0","12","14","0","0","0","0","1","0","0","0","1","6","0","0","0","12","14","0","0","0","0","1","0","0","0","1","6","0","0","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"L82680","MergeTransactionalTestExecutionListener","org.broadleafcommerce.test.MergeTransactionalTestExecutionListener","L82588","L103","integration\src\test\java\org\broadleafcommerce\test\MergeTransactionalTestExecutionListener.java","101","1","521","2","0","0","0","0","0","0","0","0","1","3","3","55","2","0","0","4","18","1","0.433168","175","174","3","0","0.413953","178","0","0","0","0","0","229","392","5","3","5","3","14","0","2","0","14","121","0","2","0","252","421","8","4","8","4","18","0","6","0","18","128","0","6","0","0","0","17","11","11","0","0","0","0","0","0","0","0","0","0","0","0","3","17","0","0","0","0","0","0","4","2","0","0","0","0","0","0","1","1","0","0","1","1","9","0","0","0"
"L42987","CacheAwareGeneralTemplateWriter","org.thymeleaf.templatewriter.CacheAwareGeneralTemplateWriter","L82801","L103","common\src\main\java\org\thymeleaf\templatewriter\CacheAwareGeneralTemplateWriter.java","43","1","120","2","0","0","0","0","0","0","0","0","2","4","4","13","0","1","1","0","6","0.2","0.0895522","6","6","1","4","0.0895522","6","0","0","0","0","0","61","78","3","1","3","1","6","0","4","1","6","32","0","4","1","61","78","3","1","3","1","6","0","4","1","6","32","0","4","1","0","0","18","0","1","0","0","0","0","0","0","1","0","2","0","0","0","0","15","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3550","AssetNotFoundException","org.broadleafcommerce.cms.common.AssetNotFoundException","L3547","L103","admin\broadleaf-contentmanagement-module\src\main\java\org\broadleafcommerce\cms\common\AssetNotFoundException.java","30","1","49","2","0","0","0","0","0","0","0","0","0","0","0","4","0","2","1","0","4","0.2","0.3","6","5","1","4","0.3","6","0","0","0","0","0","14","20","1","0","1","0","4","0","4","0","4","3","0","4","0","14","20","1","0","1","0","4","0","4","0","4","3","0","4","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3209","StaticAssetMultiTenantExtensionManager","org.broadleafcommerce.cms.file.StaticAssetMultiTenantExtensionManager","L4021","L103","admin\broadleaf-contentmanagement-module\src\main\java\org\broadleafcommerce\cms\file\StaticAssetMultiTenantExtensionManager.java","31","1","38","2","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0","1","2","0.5","0.454545","5","5","1","1","0.454545","5","1","1","0","0","1","6","8","4","3","0","0","1","0","1","0","10","1","0","10","1","6","8","4","3","0","0","1","0","1","0","10","1","0","10","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7799","BroadleafCmsSimpleUrlHandlerMapping","org.broadleafcommerce.cms.web.BroadleafCmsSimpleUrlHandlerMapping","L7786","L103","admin\broadleaf-contentmanagement-module\src\main\java\org\broadleafcommerce\cms\web\BroadleafCmsSimpleUrlHandlerMapping.java","35","1","49","2","0","0","0","0","0","0","0","0","0","1","1","2","1","0","0","1","2","0.5","0.35","7","7","1","1","0.35","7","0","0","0","0","0","13","15","1","0","1","0","1","0","1","1","1","5","0","1","1","13","15","1","0","1","0","1","0","1","1","1","5","0","1","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7822","BroadleafProcessURLFilter","org.broadleafcommerce.cms.web.BroadleafProcessURLFilter","L7786","L103","admin\broadleaf-contentmanagement-module\src\main\java\org\broadleafcommerce\cms\web\BroadleafProcessURLFilter.java","83","1","579","2","0.14481","3","13","3","0.100604","0.124638","50","43","1","4","4","84","13","3","2","21","43","0.166667","0.222989","97","81","2","10","0.219457","97","0","0","0","0","0","338","490","29","6","29","6","22","4","11","6","22","184","4","11","6","345","497","29","6","29","6","23","4","12","6","23","187","4","12","6","0","6","80","3","51","0","1","0","0","21","0","0","0","5","0","2","0","34","41","0","0","0","0","0","0","3","0","0","0","0","0","0","0","21","0","0","11","0","0","1","0","0","0"
"L7925","NullURLProcessor","org.broadleafcommerce.cms.web.NullURLProcessor","L7786","L103","admin\broadleaf-contentmanagement-module\src\main\java\org\broadleafcommerce\cms\web\NullURLProcessor.java","32","1","64","2","0","0","0","0","0","0","0","0","2","0","0","3","1","1","1","0","3","0.75","0.666667","26","26","3","1","0.666667","26","1","1","0","0","1","13","33","1","1","1","1","3","0","3","0","3","3","0","3","0","13","33","1","1","1","1","3","0","3","0","3","3","0","3","0","0","0","4","0","2","0","0","0","0","0","0","1","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"L8422","PageHandlerMapping","org.broadleafcommerce.cms.web.PageHandlerMapping","L7786","L103","admin\broadleaf-contentmanagement-module\src\main\java\org\broadleafcommerce\cms\web\PageHandlerMapping.java","53","1","108","2","0.45641","2","6","2","0.303571","0.378378","17","14","1","2","2","8","8","1","0","8","10","1","0.362069","21","21","1","0","0.362069","21","1","1","0","0","1","37","56","7","3","6","1","2","4","0","0","5","18","4","3","1","37","56","7","3","6","1","2","4","0","0","5","18","4","3","1","0","0","19","1","2","0","0","0","0","12","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","1","0","0","0"
"L8452","PageURLProcessor","org.broadleafcommerce.cms.web.PageURLProcessor","L7786","L103","admin\broadleaf-contentmanagement-module\src\main\java\org\broadleafcommerce\cms\web\PageURLProcessor.java","53","1","150","2","0.310105","2","6","2","0.173469","0.28","17","14","1","2","2","8","8","0","0","9","12","1","0.468085","44","44","3","0","0.468085","44","1","1","0","0","1","50","98","6","0","6","0","3","2","2","0","3","27","2","2","0","50","98","6","0","6","0","3","2","2","0","3","27","2","2","0","0","0","17","1","1","0","0","0","0","12","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","1","0","0"
