"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L13396","_HelloWorld","examples._HelloWorld","L13374","L103","src\test\java\examples\_HelloWorld.java","14","1","43","2","0","0","0","0","0","0","0","0","1","0","0","1","3","1","1","9","10","0.5","0.407407","11","3","1","1","0.407407","11","0","0","0","0","0","16","30","0","0","0","0","1","0","1","0","1","9","0","1","0","16","30","0","0","0","0","1","0","1","0","1","9","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13400","_TempMap","examples._TempMap","L13374","L103","src\test\java\examples\_TempMap.java","13","1","32","2","0","0","0","0","0","0","0","0","1","0","0","1","2","1","1","2","3","0.5","0.619048","13","5","1","1","0.619048","13","0","0","0","0","0","8","20","0","0","0","0","1","0","1","0","1","4","0","1","0","8","20","0","0","0","0","1","0","1","0","1","4","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13405","Bidi_Map","examples.Bidi_Map","L13374","L103","src\test\java\examples\Bidi_Map.java","14","1","39","2","0","0","0","0","0","0","0","0","1","1","1","2","5","1","1","4","5","0.5","0.363636","8","3","1","1","0.363636","8","0","0","0","0","0","14","26","0","0","0","0","1","0","1","0","1","9","0","1","0","14","26","0","0","0","0","1","0","1","0","1","9","0","1","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13422","Cache","examples.Cache","L13374","L103","src\test\java\examples\Cache.java","14","1","39","2","0","0","0","0","0","0","0","0","1","1","1","2","5","1","1","11","12","0.5","0.307692","8","3","1","1","0.307692","8","0","0","0","0","0","18","26","0","0","0","0","1","0","1","0","1","6","0","1","0","18","26","0","0","0","0","1","0","1","0","1","6","0","1","0","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13428","Compression","examples.Compression","L13374","L103","src\test\java\examples\Compression.java","14","1","52","2","0","0","0","0","0","0","0","0","1","0","0","1","2","1","1","5","6","0.5","0.780488","32","6","1","1","0.780488","32","0","0","0","0","0","9","39","0","0","0","0","1","0","1","0","1","3","0","1","0","9","39","0","0","0","0","1","0","1","0","1","3","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13432","Custom_Value","examples.Custom_Value","L13374","L103","src\test\java\examples\Custom_Value.java","14","1","123","2","0.270463","1","7","1","0.109091","0.160714","12","9","1","0","0","1","7","1","1","11","12","0.5","0.25","7","3","1","1","0.317073","26","0","0","0","0","0","21","65","0","0","0","0","1","0","1","0","1","16","0","1","0","56","110","10","2","2","2","7","0","7","0","7","34","8","7","0","0","0","36","2","14","0","0","8","0","14","0","1","0","0","4","1","0","2","17","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"L13474","DBMakerExtend","examples.DBMakerExtend","L13374","L103","src\test\java\examples\DBMakerExtend.java","14","1","55","2","0","0","0","0","0","0","0","0","1","0","0","1","4","0","0","6","7","0.5","0.478261","11","7","1","1","0.418605","18","0","0","0","0","0","12","20","0","0","0","0","1","0","1","0","1","3","0","1","0","25","42","28","1","1","0","3","0","1","0","63","8","0","41","0","0","0","7","1","5","0","0","2","0","0","0","0","0","0","1","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","1","0","0"
"L13502","Histogram","examples.Histogram","L13374","L103","src\test\java\examples\Histogram.java","17","1","44","2","0","0","0","0","0","0","0","0","1","1","1","2","5","1","1","3","4","0.5","0.478261","11","6","1","1","0.366667","11","0","0","0","0","0","12","21","0","0","0","0","1","0","1","0","1","8","0","1","0","19","28","0","0","0","0","2","0","2","0","2","15","0","2","0","0","0","7","0","7","0","0","3","0","0","0","0","0","0","0","0","0","3","7","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13525","Huge_Insert","examples.Huge_Insert","L13374","L103","src\test\java\examples\Huge_Insert.java","16","1","102","2","0","0","0","0","0","0","0","0","1","0","0","1","8","1","1","11","12","0.5","0.55","33","6","1","1","0.452055","33","0","0","0","0","0","27","70","0","0","0","0","1","0","1","0","1","11","0","1","0","40","87","1","0","1","0","5","0","5","0","5","15","0","5","0","0","0","17","0","5","0","0","0","0","0","0","1","0","0","0","1","0","3","15","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"L13545","Lazily_Loaded_Records","examples.Lazily_Loaded_Records","L13374","L103","src\test\java\examples\Lazily_Loaded_Records.java","18","1","67","2","0","0","0","0","0","0","0","0","1","0","0","1","7","1","1","14","15","0.5","0.636364","28","8","1","1","0.636364","28","0","0","0","0","0","16","50","0","0","0","0","1","0","1","0","1","11","0","1","0","16","50","0","0","0","0","1","0","1","0","1","11","0","1","0","0","0","2","1","2","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
