"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L240","Tool","org.antlr.v4.Tool","L466","L103","tool\src\org\antlr\v4\Tool.java","89","1","844","2","0","0","0","0","0","0","0","0","2","6","6","140","32","43","35","47","83","0.212121","0.166407","107","55","7","26","0.161527","110","0","0","1","1","0","536","716","32","5","32","5","36","27","32","0","36","323","27","32","0","571","756","39","5","39","5","40","30","36","0","40","336","30","36","0","0","2","108","3","172","0","0","37","0","0","0","1","0","8","7","3","0","92","79","0","0","0","0","1","0","0","3","0","0","0","0","0","0","17","17","1","17","2","0","0","0","0","1"
"L118","Antlr4ErrorLog","org.antlr.mojo.antlr4.Antlr4ErrorLog","L107","L103","antlr4-maven-plugin\src\main\java\org\antlr\mojo\antlr4\Antlr4ErrorLog.java","42","1","90","2","0","0","0","0","0","0","0","0","1","0","0","4","3","1","1","1","5","1","0.64","32","32","5","0","0.64","32","1","1","0","0","1","18","49","1","0","1","0","4","0","4","0","4","4","0","4","0","18","49","1","0","1","0","4","0","4","0","4","4","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"L162","Antlr4Mojo","org.antlr.mojo.antlr4.Antlr4Mojo","L107","L103","antlr4-maven-plugin\src\main\java\org\antlr\mojo\antlr4\Antlr4Mojo.java","74","1","493","2","0","0","0","0","0","0","0","0","1","2","2","45","5","1","0","5","15","0.333333","0.365931","116","95","2","4","0.341808","121","0","0","0","0","0","201","378","15","6","15","6","10","0","5","0","10","106","0","5","0","233","420","47","12","15","7","13","0","8","0","49","123","27","40","0","0","0","35","3","15","0","0","0","0","0","0","0","0","2","1","0","0","9","24","0","0","0","0","0","0","4","2","0","0","0","0","0","0","0","0","0","9","1","1","0","0","0","1"
"L605","ANTLRFileStream","org.antlr.v4.runtime.ANTLRFileStream","L473","L103","runtime\Java\src\org\antlr\v4\runtime\ANTLRFileStream.java","42","1","86","2","0","0","0","0","0","0","0","0","1","2","2","7","1","1","2","1","5","0.2","0.0888889","4","4","1","4","0.0888889","4","3","3","1","1","1","41","45","9","3","1","1","4","0","4","0","26","19","5","26","0","41","45","9","3","1","1","4","0","4","0","26","19","5","26","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"L607","ANTLRInputStream","org.antlr.v4.runtime.ANTLRInputStream","L473","L103","runtime\Java\src\org\antlr\v4\runtime\ANTLRInputStream.java","47","1","245","2","0","0","0","0","0","0","0","0","3","3","3","38","3","9","16","0","22","0.304348","0.26087","48","25","7","16","0.26087","48","2","2","1","2","1","136","199","8","2","6","2","22","3","22","0","22","61","5","22","0","136","199","8","2","6","2","22","3","22","0","22","61","5","22","0","0","0","41","1","17","0","0","4","0","0","0","1","0","0","0","0","0","9","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1","7","0","0","0","0","0","0"
"L3011","BailErrorStrategy","org.antlr.v4.runtime.BailErrorStrategy","L473","L103","runtime\Java\src\org\antlr\v4\runtime\BailErrorStrategy.java","39","1","72","2","0","0","0","0","0","0","0","0","3","1","1","5","7","2","0","4","7","1","0.382353","13","13","4","0","0.382353","13","2","2","0","0","1","21","34","3","6","0","0","3","0","3","0","27","11","0","10","0","21","34","3","6","0","0","3","0","3","0","27","11","0","10","0","0","0","3","0","2","0","0","0","0","0","0","1","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3045","BaseErrorListener","org.antlr.v4.runtime.BaseErrorListener","L473","L103","runtime\Java\src\org\antlr\v4\runtime\BaseErrorListener.java","40","1","81","2","0","0","0","0","0","0","0","0","4","0","0","4","6","3","0","0","4","0.2","0.0714286","3","3","1","4","0.0714286","3","1","1","3","4","1","39","42","0","0","0","0","4","0","4","0","4","0","0","4","0","39","42","0","0","0","0","4","0","4","0","4","0","0","4","0","0","0","16","0","4","0","0","0","0","0","0","1","0","0","0","0","0","4","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"L3079","BufferedTokenStream","org.antlr.v4.runtime.BufferedTokenStream","L473","L103","runtime\Java\src\org\antlr\v4\runtime\BufferedTokenStream.java","54","1","450","2","0","0","0","0","0","0","0","0","3","3","3","91","9","9","55","9","46","0.344828","0.266667","96","87","10","19","0.266667","96","2","2","1","2","1","264","397","6","14","4","14","37","0","28","1","37","170","2","28","1","264","397","6","14","4","14","37","0","28","1","37","170","2","28","1","0","1","66","2","54","0","0","33","0","0","0","1","0","0","0","0","0","17","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","8","1","0","1","0","0","0"
"L3253","CommonToken","org.antlr.v4.runtime.CommonToken","L473","L103","runtime\Java\src\org\antlr\v4\runtime\CommonToken.java","38","1","227","2","0","0","0","0","0","0","0","0","1","1","1","31","8","18","10","16","39","0.0416667","0.0869565","14","13","1","23","0.0869565","14","2","2","11","11","1","147","190","16","10","10","10","23","0","23","8","23","60","6","23","8","147","190","16","10","10","10","23","0","23","8","23","60","6","23","8","0","0","59","1","3","0","0","2","0","0","0","0","0","0","0","1","0","1","47","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0"
"L3350","CommonTokenFactory","org.antlr.v4.runtime.CommonTokenFactory","L473","L103","runtime\Java\src\org\antlr\v4\runtime\CommonTokenFactory.java","36","1","74","2","0","0","0","0","0","0","0","0","2","2","1","7","6","1","1","7","11","0.2","0.212121","7","7","1","4","0.212121","7","1","1","0","0","1","26","39","2","0","2","0","4","1","4","0","4","11","1","4","0","26","39","2","0","2","0","4","1","4","0","4","11","1","4","0","0","0","15","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
"L2484","CommonTokenStream","org.antlr.v4.runtime.CommonTokenStream","L473","L103","runtime\Java\src\org\antlr\v4\runtime\CommonTokenStream.java","50","1","115","2","0","0","0","0","0","0","0","0","1","2","2","17","3","8","50","8","14","0.4","0.337662","26","19","2","3","0.337662","26","3","3","1","1","1","51","66","7","15","1","1","6","0","4","0","43","37","2","32","1","51","66","7","15","1","1","6","0","4","0","43","37","2","32","1","0","0","13","0","17","0","0","12","0","0","0","0","0","0","0","0","0","2","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","2","0","0","0","0","0","0"
