"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L127","Tool","org.antlr.v4.Tool","L493","L103","tool\src\org\antlr\v4\Tool.java","91","1","883","2","0","0","0","0","0","0","0","0","2","6","6","145","33","50","36","49","86","0.235294","0.169162","113","61","8","26","0.162011","116","0","0","1","1","0","555","743","32","5","32","5","37","27","33","0","37","337","27","33","0","600","793","39","6","39","6","42","30","38","0","42","355","30","38","0","0","2","111","3","175","0","0","37","0","0","0","1","0","9","7","3","0","95","81","0","0","0","0","1","0","0","3","0","0","0","0","0","0","17","17","1","17","2","0","0","0","0","0"
"L118","Antlr4ErrorLog","org.antlr.mojo.antlr4.Antlr4ErrorLog","L107","L103","antlr4-maven-plugin\src\main\java\org\antlr\mojo\antlr4\Antlr4ErrorLog.java","47","1","124","2","0.751092","1","6","2","0.384615","0.604651","30","26","1","1","1","9","5","1","1","4","8","1","0.426667","32","32","5","0","0.426667","32","1","1","0","0","1","43","78","3","0","3","0","4","0","4","0","4","22","0","4","0","43","78","3","0","3","0","4","0","4","0","4","22","0","4","0","0","0","17","0","14","0","0","0","0","17","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L192","Antlr4Mojo","org.antlr.mojo.antlr4.Antlr4Mojo","L107","L103","antlr4-maven-plugin\src\main\java\org\antlr\mojo\antlr4\Antlr4Mojo.java","77","1","505","2","0","0","0","0","0","0","0","0","1","2","2","46","5","1","0","5","15","0.333333","0.359133","116","95","2","4","0.336111","121","0","0","0","0","0","207","387","16","6","16","6","10","0","5","0","10","109","0","5","0","239","429","48","12","16","7","13","0","8","0","50","126","27","41","0","0","0","38","3","15","0","0","0","0","0","0","0","0","2","1","0","0","9","26","0","0","0","0","0","0","4","2","0","0","0","0","0","0","0","0","0","10","1","1","0","0","0","0"
"L637","ANTLRFileStream","org.antlr.v4.runtime.ANTLRFileStream","L500","L103","runtime\Java\src\org\antlr\v4\runtime\ANTLRFileStream.java","40","1","63","2","0","0","0","0","0","0","0","0","1","0","0","4","2","1","2","2","6","0.2","0.166667","4","4","1","4","0.166667","4","3","3","1","1","1","20","24","9","3","1","1","4","0","4","0","26","6","5","26","0","20","24","9","3","1","1","4","0","4","0","26","6","5","26","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"L639","ANTLRInputStream","org.antlr.v4.runtime.ANTLRInputStream","L500","L103","runtime\Java\src\org\antlr\v4\runtime\ANTLRInputStream.java","47","1","246","2","0","0","0","0","0","0","0","0","3","3","3","37","3","13","60","0","22","0.304348","0.259459","48","25","7","16","0.259459","48","2","2","1","2","1","137","200","8","2","6","2","22","3","22","0","22","62","5","22","0","137","200","8","2","6","2","22","3","22","0","22","62","5","22","0","0","0","41","1","18","0","0","4","0","0","0","1","0","0","0","0","0","10","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1","7","0","0","0","0","0","1"
"L4092","BailErrorStrategy","org.antlr.v4.runtime.BailErrorStrategy","L500","L103","runtime\Java\src\org\antlr\v4\runtime\BailErrorStrategy.java","63","1","96","2","0","0","0","0","0","0","0","0","3","1","1","5","7","3","0","4","7","1","0.637931","37","37","4","0","0.637931","37","2","2","0","0","1","21","34","3","6","0","0","3","0","3","0","27","11","0","10","0","21","34","3","6","0","0","3","0","3","0","27","11","0","10","0","0","0","3","0","2","0","0","0","0","0","0","1","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4126","BaseErrorListener","org.antlr.v4.runtime.BaseErrorListener","L500","L103","runtime\Java\src\org\antlr\v4\runtime\BaseErrorListener.java","46","1","87","2","0","0","0","0","0","0","0","0","4","0","0","4","8","4","0","0","4","0.2","0.152174","7","7","1","4","0.152174","7","1","1","4","5","1","39","42","0","0","0","0","4","0","4","0","4","0","0","4","0","39","42","0","0","0","0","4","0","4","0","4","0","0","4","0","0","0","16","0","4","0","0","0","0","0","0","1","0","0","0","0","0","4","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"L4160","BufferedTokenStream","org.antlr.v4.runtime.BufferedTokenStream","L500","L103","runtime\Java\src\org\antlr\v4\runtime\BufferedTokenStream.java","53","1","511","2","0","0","0","0","0","0","0","0","3","3","3","97","9","11","57","9","46","0.344828","0.292978","121","106","10","19","0.292978","121","2","2","1","2","1","292","459","6","14","4","14","37","0","28","1","37","184","2","28","1","292","459","6","14","4","14","37","0","28","1","37","184","2","28","1","0","1","66","2","51","0","0","29","0","0","0","1","0","0","0","0","0","18","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","8","1","0","1","0","0","0"
"L4335","CommonToken","org.antlr.v4.runtime.CommonToken","L500","L103","runtime\Java\src\org\antlr\v4\runtime\CommonToken.java","38","1","297","2","0.104587","1","3","1","0.05","0.0866667","13","13","1","1","1","31","8","19","11","16","39","0.166667","0.350649","81","80","4","20","0.350649","81","2","2","12","12","1","150","260","16","10","10","10","23","0","23","8","23","62","6","23","8","150","260","16","10","10","10","23","0","23","8","23","62","6","23","8","0","0","59","1","3","0","0","2","0","8","0","0","0","0","0","1","0","1","39","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0"
"L4440","CommonTokenFactory","org.antlr.v4.runtime.CommonTokenFactory","L500","L103","runtime\Java\src\org\antlr\v4\runtime\CommonTokenFactory.java","40","1","111","2","0","0","0","0","0","0","0","0","2","2","1","7","6","1","1","7","11","0.6","0.628571","44","44","3","2","0.628571","44","1","1","0","0","1","26","72","2","0","2","0","4","1","4","0","4","11","1","4","0","26","72","2","0","2","0","4","1","4","0","4","11","1","4","0","0","0","11","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
