"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L127","Tool","org.antlr.v4.Tool","L490","L103","tool\src\org\antlr\v4\Tool.java","91","1","892","2","0","0","0","0","0","0","0","0","2","6","6","146","32","52","41","49","86","0.235294","0.167656","113","61","8","26","0.160665","116","0","0","1","1","0","561","752","33","5","33","5","37","27","33","0","37","341","27","33","0","606","802","40","6","40","6","42","30","38","0","42","359","30","38","0","0","2","111","3","176","0","0","37","0","0","0","1","0","9","7","3","0","96","81","0","0","0","0","1","0","0","3","0","0","0","0","0","0","17","17","1","17","2","0","0","0","0","0"
"L118","Antlr4ErrorLog","org.antlr.mojo.antlr4.Antlr4ErrorLog","L107","L103","antlr4-maven-plugin\src\main\java\org\antlr\mojo\antlr4\Antlr4ErrorLog.java","47","1","124","2","0.751092","1","6","2","0.384615","0.604651","30","26","1","1","1","9","4","1","1","4","8","1","0.426667","32","32","5","0","0.426667","32","1","1","0","0","1","43","78","3","0","3","0","4","0","4","0","4","22","0","4","0","43","78","3","0","3","0","4","0","4","0","4","22","0","4","0","0","0","17","0","14","0","0","0","0","17","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L189","Antlr4Mojo","org.antlr.mojo.antlr4.Antlr4Mojo","L107","L103","antlr4-maven-plugin\src\main\java\org\antlr\mojo\antlr4\Antlr4Mojo.java","77","1","506","2","0","0","0","0","0","0","0","0","1","2","2","46","4","1","0","5","15","0.333333","0.362229","117","96","2","4","0.338889","122","0","0","0","0","0","206","388","16","6","16","6","10","0","5","0","10","109","0","5","0","238","430","49","12","16","7","13","0","8","0","50","126","27","41","0","0","0","38","3","15","0","0","0","0","0","0","0","0","2","1","0","0","9","26","0","0","0","0","0","0","4","2","0","0","0","0","0","0","0","0","0","10","1","1","0","0","0","0"
"L633","ANTLRFileStream","org.antlr.v4.runtime.ANTLRFileStream","L497","L103","runtime\Java\src\org\antlr\v4\runtime\ANTLRFileStream.java","40","1","63","2","0","0","0","0","0","0","0","0","1","0","0","4","2","1","2","2","6","0.2","0.166667","4","4","1","4","0.166667","4","3","3","1","1","1","20","24","9","3","1","1","4","0","4","0","26","6","5","26","0","20","24","9","3","1","1","4","0","4","0","26","6","5","26","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"L635","ANTLRInputStream","org.antlr.v4.runtime.ANTLRInputStream","L497","L103","runtime\Java\src\org\antlr\v4\runtime\ANTLRInputStream.java","47","1","250","2","0","0","0","0","0","0","0","0","3","3","3","39","3","14","63","0","22","0.304348","0.255319","48","25","7","16","0.255319","48","2","2","1","2","1","140","204","8","2","6","2","22","3","22","0","22","64","5","22","0","140","204","8","2","6","2","22","3","22","0","22","64","5","22","0","0","0","41","1","19","0","0","4","0","0","0","1","0","0","0","0","0","11","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1","7","0","0","0","0","0","0"
"L4115","BailErrorStrategy","org.antlr.v4.runtime.BailErrorStrategy","L497","L103","runtime\Java\src\org\antlr\v4\runtime\BailErrorStrategy.java","63","1","96","2","0","0","0","0","0","0","0","0","3","1","1","5","7","3","0","4","7","1","0.637931","37","37","4","0","0.637931","37","2","2","0","0","1","21","34","3","6","0","0","3","0","3","0","27","11","0","10","0","21","34","3","6","0","0","3","0","3","0","27","11","0","10","0","0","0","3","0","2","0","0","0","0","0","0","1","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4149","BaseErrorListener","org.antlr.v4.runtime.BaseErrorListener","L497","L103","runtime\Java\src\org\antlr\v4\runtime\BaseErrorListener.java","44","1","85","2","0","0","0","0","0","0","0","0","4","0","0","4","6","4","0","0","4","0.2","0.152174","7","7","1","4","0.152174","7","1","1","4","5","1","39","42","0","0","0","0","4","0","4","0","4","0","0","4","0","39","42","0","0","0","0","4","0","4","0","4","0","0","4","0","0","0","16","0","4","0","0","0","0","0","0","1","0","0","0","0","0","4","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"L4183","BufferedTokenStream","org.antlr.v4.runtime.BufferedTokenStream","L497","L103","runtime\Java\src\org\antlr\v4\runtime\BufferedTokenStream.java","53","1","510","2","0","0","0","0","0","0","0","0","3","3","3","97","8","11","58","9","46","0.344828","0.297297","121","106","10","19","0.297297","121","2","2","1","3","1","286","458","6","14","4","14","37","0","28","1","37","184","2","28","1","286","458","6","14","4","14","37","0","28","1","37","184","2","28","1","0","1","66","2","51","0","0","29","0","0","0","1","0","0","0","0","0","18","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","8","1","0","1","0","0","0"
"L4359","CommonToken","org.antlr.v4.runtime.CommonToken","L497","L103","runtime\Java\src\org\antlr\v4\runtime\CommonToken.java","38","1","301","2","0.104972","1","3","1","0.0492424","0.0872483","13","13","1","1","1","31","7","20","13","16","39","0.166667","0.352174","81","80","4","20","0.352174","81","2","2","12","12","1","149","264","17","10","10","10","23","0","23","8","23","62","7","23","8","149","264","17","10","10","10","23","0","23","8","23","62","7","23","8","0","0","59","1","3","0","0","2","0","8","0","0","0","0","0","1","0","1","39","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0"
"L4464","CommonTokenFactory","org.antlr.v4.runtime.CommonTokenFactory","L497","L103","runtime\Java\src\org\antlr\v4\runtime\CommonTokenFactory.java","40","1","111","2","0","0","0","0","0","0","0","0","2","2","1","7","6","1","1","7","11","0.6","0.628571","44","44","3","2","0.628571","44","1","1","0","0","1","26","72","2","0","2","0","4","1","4","0","4","11","1","4","0","26","72","2","0","2","0","4","1","4","0","4","11","1","4","0","0","0","11","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
"L4502","CommonTokenStream","org.antlr.v4.runtime.CommonTokenStream","L497","L103","runtime\Java\src\org\antlr\v4\runtime\CommonTokenStream.java","57","1","144","2","0","0","0","0","0","0","0","0","1","2","2","17","3","15","60","8","14","0.8","0.518868","55","48","4","1","0.518868","55","3","3","2","2","1","51","88","7","15","1","1","6","0","4","0","43","37","2","32","1","51","88","7","15","1","1","6","0","4","0","43","37","2","32","1","0","0","9","0","17","0","0","12","0","0","0","0","0","0","0","0","0","2","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","2","0","0","0","0","0","0"
"L4527","ConsoleErrorListener","org.antlr.v4.runtime.ConsoleErrorListener","L497","L103","runtime\Java\src\org\antlr\v4\runtime\ConsoleErrorListener.java","36","1","65","2","0","0","0","0","0","0","0","0","1","0","0","1","3","0","0","0","1","1","0.59375","19","19","2","0","0.59375","19","2","2","0","0","1","13","30","1","0","1","0","1","1","1","0","5","1","1","5","0","13","30","1","0","1","0","1","1","1","0","5","1","1","5","0","0","0","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
"L4117","DefaultErrorStrategy","org.antlr.v4.runtime.DefaultErrorStrategy","L497","L103","runtime\Java\src\org\antlr\v4\runtime\DefaultErrorStrategy.java","45","1","759","2","0","0","0","0","0","0","0","0","1","3","2","61","22","2","0","42","66","1","0.632893","431","383","8","0","0.632893","431","1","1","1","1","1","250","715","3","6","3","6","24","0","7","0","24","139","0","7","0","250","715","3","6","3","6","24","0","7","0","24","139","0","7","0","0","0","14","0","21","0","0","8","0","0","0","0","0","1","0","3","0","11","8","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0"
"L4802","DiagnosticErrorListener","org.antlr.v4.runtime.DiagnosticErrorListener","L497","L103","runtime\Java\src\org\antlr\v4\runtime\DiagnosticErrorListener.java","62","1","178","2","0","0","0","0","0","0","0","0","1","1","1","15","9","2","4","5","12","0.5","0.368","46","46","3","3","0.368","46","2","2","1","1","1","79","117","1","2","1","2","7","0","5","0","11","35","0","9","0","79","117","1","2","1","2","7","0","5","0","11","35","0","9","0","0","0","12","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
