"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L17362","CeylonPerspectiveFactory","com.redhat.ceylon.eclipse.ui.CeylonPerspectiveFactory","L17355","L103","plugins\com.redhat.ceylon.eclipse.ui\src\com\redhat\ceylon\eclipse\ui\CeylonPerspectiveFactory.java","6","1","11","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","4","6","0","0","0","0","1","0","1","0","1","0","0","1","0","4","6","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17366","CeylonPlugin","com.redhat.ceylon.eclipse.ui.CeylonPlugin","L17355","L103","plugins\com.redhat.ceylon.eclipse.ui\src\com\redhat\ceylon\eclipse\ui\CeylonPlugin.java","34","1","275","2","0","0","0","0","0","0","0","0","3","2","2","25","1","73","58","0","16","0.230769","0.15625","30","28","3","10","0.149533","32","1","1","0","0","1","162","219","65","7","9","7","16","3","12","0","16","103","59","12","0","182","242","65","7","9","7","17","3","12","0","17","114","59","12","0","0","1","42","5","12","0","0","2","0","0","0","1","0","0","1","0","0","9","32","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","9","1","0","2","0","0","0"
"L17425","CeylonStartup","com.redhat.ceylon.eclipse.ui.CeylonStartup","L17355","L103","plugins\com.redhat.ceylon.eclipse.ui\src\com\redhat\ceylon\eclipse\ui\CeylonStartup.java","15","1","68","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","7","10","0","0","0","0","1","0","1","0","1","1","0","1","0","48","54","1","0","1","0","9","0","9","0","9","13","0","9","0","0","0","32","0","6","0","0","0","0","0","0","2","0","0","1","0","0","4","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"L17459","WelcomeAction","com.redhat.ceylon.eclipse.ui.WelcomeAction","L17355","L103","plugins\com.redhat.ceylon.eclipse.ui\src\com\redhat\ceylon\eclipse\ui\WelcomeAction.java","14","1","32","2","0","0","0","0","0","0","0","0","1","1","1","3","1","0","0","1","2","0","0","0","0","0","2","0","0","0","0","0","0","0","17","19","0","0","0","0","1","0","1","0","1","8","0","1","0","17","19","0","0","0","0","1","0","1","0","1","8","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17516","AnnotationUtils","com.redhat.ceylon.eclipse.util.AnnotationUtils","L17499","L103","plugins\com.redhat.ceylon.eclipse.ui\src\com\redhat\ceylon\eclipse\util\AnnotationUtils.java","41","1","338","2","0","0","0","0","0","0","0","0","2","4","4","53","7","3","3","8","23","0.714286","0.224335","59","43","10","4","0.219331","59","0","0","0","0","0","204","292","2","7","2","7","15","0","13","0","15","110","0","13","0","210","298","2","7","2","7","17","0","15","0","17","112","0","15","0","0","2","34","0","22","0","1","10","0","0","0","1","0","3","0","0","0","13","29","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"L5957","EclipseLogger","com.redhat.ceylon.eclipse.util.EclipseLogger","L17499","L103","plugins\com.redhat.ceylon.eclipse.ui\src\com\redhat\ceylon\eclipse\util\EclipseLogger.java","5","1","34","2","0","0","0","0","0","0","0","0","4","0","0","5","0","3","0","0","5","0","0.0434783","1","0","0","6","0.0434783","1","0","0","0","0","0","22","30","1","1","1","1","5","0","5","0","5","5","0","5","0","22","30","1","1","1","1","5","0","5","0","5","5","0","5","0","0","0","12","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","11","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6660","ErrorCollectionVisitor","com.redhat.ceylon.eclipse.util.ErrorCollectionVisitor","L17499","L103","plugins\com.redhat.ceylon.eclipse.ui\src\com\redhat\ceylon\eclipse\util\ErrorCollectionVisitor.java","12","1","92","2","0.719457","1","9","3","0.62963","0.708333","51","51","1","2","1","13","0","1","1","0","6","0","0","0","0","0","7","0","0","0","0","0","0","0","72","81","4","1","4","1","6","0","6","0","6","36","0","6","0","72","81","4","1","4","1","6","0","6","0","6","36","0","6","0","0","0","41","0","1","0","0","0","0","26","0","0","0","0","0","0","0","1","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L276","ErrorVisitor","com.redhat.ceylon.eclipse.util.ErrorVisitor","L17499","L103","plugins\com.redhat.ceylon.eclipse.ui\src\com\redhat\ceylon\eclipse\util\ErrorVisitor.java","23","1","113","2","0","0","0","0","0","0","0","0","3","4","4","21","1","2","2","1","7","0","0","0","0","0","3","0","0","0","0","2","2","0","80","91","1","1","1","1","6","0","2","0","6","49","0","2","0","80","91","1","1","1","1","6","0","2","0","6","49","0","2","0","0","0","19","0","3","0","0","2","0","0","0","1","0","3","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"L12996","FindAssignmentsVisitor","com.redhat.ceylon.eclipse.util.FindAssignmentsVisitor","L17499","L103","plugins\com.redhat.ceylon.eclipse.ui\src\com\redhat\ceylon\eclipse\util\FindAssignmentsVisitor.java","23","1","149","2","0","0","0","0","0","0","0","0","2","2","2","35","0","1","1","0","14","0.0769231","0.00892857","1","1","1","12","0.00892857","1","0","0","0","0","0","111","127","2","2","2","2","14","0","12","0","14","48","0","12","0","111","127","2","2","2","2","14","0","12","0","14","48","0","12","0","0","0","32","0","4","0","1","0","0","0","0","1","0","0","0","0","0","3","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9833","FindContainerVisitor","com.redhat.ceylon.eclipse.util.FindContainerVisitor","L17499","L103","plugins\com.redhat.ceylon.eclipse.ui\src\com\redhat\ceylon\eclipse\util\FindContainerVisitor.java","7","1","60","2","0","0","0","0","0","0","0","0","1","1","1","10","0","4","5","0","8","0","0","0","0","0","9","0","0","0","0","0","0","0","54","54","3","1","3","1","8","0","8","0","8","26","0","8","0","54","54","3","1","3","1","8","0","8","0","8","26","0","8","0","0","0","19","0","3","0","0","0","0","0","0","0","0","0","3","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
