"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L38245","JavaCeylonTopLevelClass_Main_Ceylon_Project","mainModule.JavaCeylonTopLevelClass_Main_Ceylon_Project","L38231","L103","tests\com.redhat.ceylon.eclipse.ui.test\resources\model-and-phased-units\main-ceylon-project\javaSrc\mainModule\JavaCeylonTopLevelClass_Main_Ceylon_Project.java","7","1","11","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","5","5","0","0","0","0","1","0","1","0","1","0","0","1","0","5","5","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","5","0","2","0","0","0","0","0","0","0","0","0","1","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L38247","javaCeylonTopLevelMethod_Main_Ceylon_Project_","mainModule.javaCeylonTopLevelMethod_Main_Ceylon_Project_","L38231","L103","tests\com.redhat.ceylon.eclipse.ui.test\resources\model-and-phased-units\main-ceylon-project\javaSrc\mainModule\javaCeylonTopLevelMethod_Main_Ceylon_Project_.java","11","1","21","2","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","7","11","0","0","0","0","2","0","1","0","2","0","0","1","0","7","11","0","0","0","0","2","0","1","0","2","0","0","1","0","0","0","7","0","4","0","0","0","0","0","0","0","0","0","0","0","0","2","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"L38250","javaCeylonTopLevelObject_Main_Ceylon_Project_","mainModule.javaCeylonTopLevelObject_Main_Ceylon_Project_","L38231","L103","tests\com.redhat.ceylon.eclipse.ui.test\resources\model-and-phased-units\main-ceylon-project\javaSrc\mainModule\javaCeylonTopLevelObject_Main_Ceylon_Project_.java","7","1","15","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","8","9","1","1","1","1","1","0","1","0","1","1","0","1","0","8","9","1","1","1","1","1","0","1","0","1","1","0","1","0","0","0","5","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"L38257","JavaClassInCeylonModule_Main_Ceylon_Project","mainModule.JavaClassInCeylonModule_Main_Ceylon_Project","L38231","L103","tests\com.redhat.ceylon.eclipse.ui.test\resources\model-and-phased-units\main-ceylon-project\javaSrc\mainModule\JavaClassInCeylonModule_Main_Ceylon_Project.java","4","1","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L38259","JavaSecondaryClassInCeylonModule_Main_Ceylon_Project","mainModule.JavaSecondaryClassInCeylonModule_Main_Ceylon_Project","L38231","L103","tests\com.redhat.ceylon.eclipse.ui.test\resources\model-and-phased-units\main-ceylon-project\javaSrc\mainModule\JavaClassInCeylonModule_Main_Ceylon_Project.java","8","1","10","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L38261","UsedDeclaration","mainModule.UsedDeclaration","L38231","L103","tests\com.redhat.ceylon.eclipse.ui.test\resources\model-and-phased-units\test-source-files\bug821\mainModule\UsedDeclaration.java","3","1","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L38271","JavaCeylonTopLevelClass_Referenced_Ceylon_Project","referencedCeylonProject.JavaCeylonTopLevelClass_Referenced_Ceylon_Project","L38263","L103","tests\com.redhat.ceylon.eclipse.ui.test\resources\model-and-phased-units\referenced-ceylon-project\javaSrc\referencedCeylonProject\JavaCeylonTopLevelClass_Referenced_Ceylon_Project.java","6","1","10","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L38273","javaCeylonTopLevelMethod_Referenced_Ceylon_Project_","referencedCeylonProject.javaCeylonTopLevelMethod_Referenced_Ceylon_Project_","L38263","L103","tests\com.redhat.ceylon.eclipse.ui.test\resources\model-and-phased-units\referenced-ceylon-project\javaSrc\referencedCeylonProject\javaCeylonTopLevelMethod_Referenced_Ceylon_Project_.java","10","1","20","2","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","7","11","0","0","0","0","2","0","1","0","2","0","0","1","0","7","11","0","0","0","0","2","0","1","0","2","0","0","1","0","0","0","7","0","4","0","0","0","0","0","0","0","0","0","0","0","0","2","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"L38276","javaCeylonTopLevelObject_Referenced_Ceylon_Project_","referencedCeylonProject.javaCeylonTopLevelObject_Referenced_Ceylon_Project_","L38263","L103","tests\com.redhat.ceylon.eclipse.ui.test\resources\model-and-phased-units\referenced-ceylon-project\javaSrc\referencedCeylonProject\javaCeylonTopLevelObject_Referenced_Ceylon_Project_.java","6","1","14","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","8","9","1","1","1","1","1","0","1","0","1","1","0","1","0","8","9","1","1","1","1","1","0","1","0","1","1","0","1","0","0","0","5","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"L38283","JavaClassInCeylonModule_Referenced_Ceylon_Project","referencedCeylonProject.JavaClassInCeylonModule_Referenced_Ceylon_Project","L38263","L103","tests\com.redhat.ceylon.eclipse.ui.test\resources\model-and-phased-units\referenced-ceylon-project\javaSrc\referencedCeylonProject\JavaClassInCeylonModule_Referenced_Ceylon_Project.java","3","1","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
