"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L938","ElasticSearchException","org.elasticsearch.ElasticSearchException","L105","L103","modules\elasticsearch\src\main\java\org\elasticsearch\ElasticSearchException.java","25","1","133","2","0","0","0","0","0","0","0","0","2","3","3","19","1","111","58","1","8","0.875","0.403846","42","42","7","1","0.403846","42","0","0","30","97","0","62","109","0","3","0","3","7","0","7","0","7","34","0","7","0","62","109","0","3","0","3","7","0","7","0","7","34","0","7","0","0","0","8","0","2","0","0","0","0","0","0","1","0","0","0","0","0","2","5","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3853","ElasticSearchIllegalArgumentException","org.elasticsearch.ElasticSearchIllegalArgumentException","L105","L103","modules\elasticsearch\src\main\java\org\elasticsearch\ElasticSearchIllegalArgumentException.java","25","1","38","2","0","0","0","0","0","0","0","0","0","0","0","3","1","15","18","2","5","0.25","0.214286","3","3","1","3","0.214286","3","1","1","0","0","1","11","14","0","3","0","0","3","0","3","0","10","3","0","10","0","11","14","0","3","0","0","3","0","3","0","10","3","0","10","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3727","ElasticSearchIllegalStateException","org.elasticsearch.ElasticSearchIllegalStateException","L105","L103","modules\elasticsearch\src\main\java\org\elasticsearch\ElasticSearchIllegalStateException.java","25","1","38","2","0","0","0","0","0","0","0","0","0","0","0","3","1","16","20","2","5","0.25","0.214286","3","3","1","3","0.214286","3","1","1","0","0","1","11","14","0","3","0","0","3","0","3","0","10","3","0","10","0","11","14","0","3","0","0","3","0","3","0","10","3","0","10","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5851","ElasticSearchInterruptedException","org.elasticsearch.ElasticSearchInterruptedException","L105","L103","modules\elasticsearch\src\main\java\org\elasticsearch\ElasticSearchInterruptedException.java","25","1","34","2","0","0","0","0","0","0","0","0","0","0","0","2","1","3","5","2","4","0.333333","0.272727","3","3","1","2","0.272727","3","1","1","0","0","1","8","10","0","3","0","0","2","0","2","0","9","2","0","9","0","8","10","0","3","0","0","2","0","2","0","9","2","0","9","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10768","ElasticSearchNullPointerException","org.elasticsearch.ElasticSearchNullPointerException","L105","L103","modules\elasticsearch\src\main\java\org\elasticsearch\ElasticSearchNullPointerException.java","25","1","38","2","0","0","0","0","0","0","0","0","0","0","0","3","1","1","6","2","5","0.25","0.214286","3","3","1","3","0.214286","3","1","1","0","0","1","11","14","0","3","0","0","3","0","3","0","10","3","0","10","0","11","14","0","3","0","0","3","0","3","0","10","3","0","10","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10775","ElasticSearchParseException","org.elasticsearch.ElasticSearchParseException","L105","L103","modules\elasticsearch\src\main\java\org\elasticsearch\ElasticSearchParseException.java","25","1","34","2","0","0","0","0","0","0","0","0","0","0","0","2","1","2","2","2","4","0.333333","0.272727","3","3","1","2","0.272727","3","1","1","0","0","1","8","10","0","3","0","0","2","0","2","0","9","2","0","9","0","8","10","0","3","0","0","2","0","2","0","9","2","0","9","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10836","ExceptionsHelper","org.elasticsearch.ExceptionsHelper","L105","L103","modules\elasticsearch\src\main\java\org\elasticsearch\ExceptionsHelper.java","25","1","64","2","0","0","0","0","0","0","0","0","2","5","5","10","1","9","9","0","2","0.333333","0.0731707","3","3","1","2","0.0731707","3","0","0","0","0","0","38","40","0","0","0","0","2","0","2","0","2","24","0","2","0","38","40","0","0","0","0","2","0","2","0","2","24","0","2","0","0","0","10","0","2","0","0","0","0","0","0","1","0","2","0","0","0","2","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L51809","Version","org.elasticsearch.Version","L105","L103","modules\elasticsearch\src\main\java\org\elasticsearch\Version.java","31","1","76","2","0","0","0","0","0","0","0","0","1","1","1","5","0","3","6","0","4","0.2","0.075","3","3","1","4","0.075","3","0","0","0","0","0","37","46","3","0","3","0","4","0","4","0","4","9","0","4","0","37","46","3","0","3","0","4","0","4","0","4","9","0","4","0","0","0","11","1","7","0","0","0","0","0","0","0","0","0","0","0","0","1","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","1","0","0","0","0","0"
"L51852","VersionTests","org.elasticsearch.VersionTests","L105","L103","modules\elasticsearch\src\test\java\org\elasticsearch\VersionTests.java","22","1","24","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1002","ActionRequestValidationException","org.elasticsearch.action.ActionRequestValidationException","L910","L103","modules\elasticsearch\src\main\java\org\elasticsearch\action\ActionRequestValidationException.java","30","1","55","2","0","0","0","0","0","0","0","0","1","1","1","5","1","20","1","1","5","0.2","0.125","3","3","1","4","0.125","3","1","1","0","0","1","21","26","1","4","1","1","4","0","4","0","11","9","0","11","0","21","26","1","4","1","1","4","0","4","0","11","9","0","11","0","0","0","11","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
