"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L1052","ElasticSearchException","org.elasticsearch.ElasticSearchException","L105","L103","modules\elasticsearch\src\main\java\org\elasticsearch\ElasticSearchException.java","27","1","139","2","0","0","0","0","0","0","0","0","2","3","3","19","1","223","94","1","8","1","0.418182","46","46","8","0","0.418182","46","0","0","39","116","0","64","113","0","3","0","3","7","0","7","0","7","35","0","7","0","64","113","0","3","0","3","7","0","7","0","7","35","0","7","0","0","0","7","0","2","0","0","0","0","0","0","1","0","0","0","0","0","2","4","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3590","ElasticSearchGenerationException","org.elasticsearch.ElasticSearchGenerationException","L105","L103","modules\elasticsearch\src\main\java\org\elasticsearch\ElasticSearchGenerationException.java","27","1","36","2","0","0","0","0","0","0","0","0","0","0","0","2","1","8","16","2","4","0.333333","0.384615","5","5","1","2","0.384615","5","1","1","0","0","1","8","10","0","3","0","0","2","0","2","0","9","2","0","9","0","8","10","0","3","0","0","2","0","2","0","9","2","0","9","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1429","ElasticSearchIllegalArgumentException","org.elasticsearch.ElasticSearchIllegalArgumentException","L105","L103","modules\elasticsearch\src\main\java\org\elasticsearch\ElasticSearchIllegalArgumentException.java","25","1","38","2","0","0","0","0","0","0","0","0","0","0","0","3","1","49","57","2","5","0.25","0.214286","3","3","1","3","0.214286","3","1","1","0","0","1","11","14","0","3","0","0","3","0","3","0","10","3","0","10","0","11","14","0","3","0","0","3","0","3","0","10","3","0","10","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2127","ElasticSearchIllegalStateException","org.elasticsearch.ElasticSearchIllegalStateException","L105","L103","modules\elasticsearch\src\main\java\org\elasticsearch\ElasticSearchIllegalStateException.java","25","1","38","2","0","0","0","0","0","0","0","0","0","0","0","3","1","28","40","2","5","0.25","0.214286","3","3","1","3","0.214286","3","1","1","0","0","1","11","14","0","3","0","0","3","0","3","0","10","3","0","10","0","11","14","0","3","0","0","3","0","3","0","10","3","0","10","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8648","ElasticSearchInterruptedException","org.elasticsearch.ElasticSearchInterruptedException","L105","L103","modules\elasticsearch\src\main\java\org\elasticsearch\ElasticSearchInterruptedException.java","27","1","36","2","0","0","0","0","0","0","0","0","0","0","0","2","1","3","5","2","4","0.333333","0.384615","5","5","1","2","0.384615","5","1","1","0","0","1","8","10","0","3","0","0","2","0","2","0","9","2","0","9","0","8","10","0","3","0","0","2","0","2","0","9","2","0","9","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L25199","ElasticSearchNullPointerException","org.elasticsearch.ElasticSearchNullPointerException","L105","L103","modules\elasticsearch\src\main\java\org\elasticsearch\ElasticSearchNullPointerException.java","25","1","38","2","0","0","0","0","0","0","0","0","0","0","0","3","1","1","6","2","5","0.25","0.214286","3","3","1","3","0.214286","3","1","1","0","0","1","11","14","0","3","0","0","3","0","3","0","10","3","0","10","0","11","14","0","3","0","0","3","0","3","0","10","3","0","10","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6188","ElasticSearchParseException","org.elasticsearch.ElasticSearchParseException","L105","L103","modules\elasticsearch\src\main\java\org\elasticsearch\ElasticSearchParseException.java","25","1","34","2","0","0","0","0","0","0","0","0","0","0","0","2","1","9","11","2","4","0.333333","0.272727","3","3","1","2","0.272727","3","1","1","0","0","1","8","10","0","3","0","0","2","0","2","0","9","2","0","9","0","8","10","0","3","0","0","2","0","2","0","9","2","0","9","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8679","ElasticSearchTimeoutException","org.elasticsearch.ElasticSearchTimeoutException","L105","L103","modules\elasticsearch\src\main\java\org\elasticsearch\ElasticSearchTimeoutException.java","27","1","36","2","0","0","0","0","0","0","0","0","0","0","0","2","1","2","2","2","4","0.333333","0.384615","5","5","1","2","0.384615","5","1","1","0","0","1","8","10","0","3","0","0","2","0","2","0","9","2","0","9","0","8","10","0","3","0","0","2","0","2","0","9","2","0","9","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L31570","ExceptionsHelper","org.elasticsearch.ExceptionsHelper","L105","L103","modules\elasticsearch\src\main\java\org\elasticsearch\ExceptionsHelper.java","28","1","90","2","0","0","0","0","0","0","0","0","2","5","5","15","3","16","19","2","5","0.25","0.0645161","4","3","1","3","0.0645161","4","0","0","0","0","0","58","63","1","0","1","0","3","0","3","0","3","37","0","3","0","58","63","1","0","1","0","3","0","3","0","3","37","0","3","0","0","0","12","0","5","0","0","0","0","0","0","1","0","2","0","0","0","4","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"L58309","Version","org.elasticsearch.Version","L105","L103","modules\elasticsearch\src\main\java\org\elasticsearch\Version.java","33","1","81","2","0","0","0","0","0","0","0","0","1","1","1","6","1","4","7","2","7","0.166667","0.0714286","3","3","1","5","0.0714286","3","0","0","0","0","0","39","49","3","0","3","0","5","0","5","0","5","9","0","5","0","39","49","3","0","3","0","5","0","5","0","5","9","0","5","0","0","0","13","1","9","0","0","0","0","0","0","0","0","0","0","0","0","2","13","0","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0","0","0","1","0","0","0","0","0"
