"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L1750","ElasticSearchException","org.elasticsearch.ElasticSearchException","L105","L103","modules\elasticsearch\src\main\java\org\elasticsearch\ElasticSearchException.java","29","1","163","2","0","0","0","0","0","0","0","0","3","3","3","24","3","276","116","1","9","1","0.374046","49","49","9","0","0.374046","49","0","0","45","128","0","82","135","0","3","0","3","8","0","8","0","8","45","0","8","0","82","135","0","3","0","3","8","0","8","0","8","45","0","8","0","0","0","9","0","3","0","0","0","0","0","0","1","0","0","0","0","0","3","6","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4604","ElasticSearchGenerationException","org.elasticsearch.ElasticSearchGenerationException","L105","L103","modules\elasticsearch\src\main\java\org\elasticsearch\ElasticSearchGenerationException.java","27","1","36","2","0","0","0","0","0","0","0","0","0","0","0","2","1","10","24","2","4","0.333333","0.384615","5","5","1","2","0.384615","5","1","1","0","0","1","8","10","0","3","0","0","2","0","2","0","10","2","0","10","0","8","10","0","3","0","0","2","0","2","0","10","2","0","10","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2113","ElasticSearchIllegalArgumentException","org.elasticsearch.ElasticSearchIllegalArgumentException","L105","L103","modules\elasticsearch\src\main\java\org\elasticsearch\ElasticSearchIllegalArgumentException.java","25","1","38","2","0","0","0","0","0","0","0","0","0","0","0","3","1","69","80","2","5","0.25","0.214286","3","3","1","3","0.214286","3","1","1","0","0","1","11","14","0","3","0","0","3","0","3","0","11","3","0","11","0","11","14","0","3","0","0","3","0","3","0","11","3","0","11","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"L2775","ElasticSearchIllegalStateException","org.elasticsearch.ElasticSearchIllegalStateException","L105","L103","modules\elasticsearch\src\main\java\org\elasticsearch\ElasticSearchIllegalStateException.java","25","1","38","2","0","0","0","0","0","0","0","0","0","0","0","3","1","38","49","2","5","0.25","0.214286","3","3","1","3","0.214286","3","1","1","0","0","1","11","14","0","3","0","0","3","0","3","0","11","3","0","11","0","11","14","0","3","0","0","3","0","3","0","11","3","0","11","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L11378","ElasticSearchInterruptedException","org.elasticsearch.ElasticSearchInterruptedException","L105","L103","modules\elasticsearch\src\main\java\org\elasticsearch\ElasticSearchInterruptedException.java","27","1","36","2","0","0","0","0","0","0","0","0","0","0","0","2","1","4","6","2","4","0.333333","0.384615","5","5","1","2","0.384615","5","1","1","0","0","1","8","10","0","3","0","0","2","0","2","0","10","2","0","10","0","8","10","0","3","0","0","2","0","2","0","10","2","0","10","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L30542","ElasticSearchNullPointerException","org.elasticsearch.ElasticSearchNullPointerException","L105","L103","modules\elasticsearch\src\main\java\org\elasticsearch\ElasticSearchNullPointerException.java","25","1","38","2","0","0","0","0","0","0","0","0","0","0","0","3","1","1","6","2","5","0.25","0.214286","3","3","1","3","0.214286","3","1","1","0","0","1","11","14","0","3","0","0","3","0","3","0","11","3","0","11","0","11","14","0","3","0","0","3","0","3","0","11","3","0","11","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8740","ElasticSearchParseException","org.elasticsearch.ElasticSearchParseException","L105","L103","modules\elasticsearch\src\main\java\org\elasticsearch\ElasticSearchParseException.java","25","1","34","2","0","0","0","0","0","0","0","0","0","0","0","2","1","11","13","2","4","0.333333","0.272727","3","3","1","2","0.272727","3","1","1","0","0","1","8","10","0","3","0","0","2","0","2","0","10","2","0","10","0","8","10","0","3","0","0","2","0","2","0","10","2","0","10","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L11409","ElasticSearchTimeoutException","org.elasticsearch.ElasticSearchTimeoutException","L105","L103","modules\elasticsearch\src\main\java\org\elasticsearch\ElasticSearchTimeoutException.java","27","1","36","2","0","0","0","0","0","0","0","0","0","0","0","2","1","2","2","2","4","0.333333","0.384615","5","5","1","2","0.384615","5","1","1","0","0","1","8","10","0","3","0","0","2","0","2","0","10","2","0","10","0","8","10","0","3","0","0","2","0","2","0","10","2","0","10","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L36997","ExceptionsHelper","org.elasticsearch.ExceptionsHelper","L105","L103","modules\elasticsearch\src\main\java\org\elasticsearch\ExceptionsHelper.java","28","1","90","2","0","0","0","0","0","0","0","0","2","5","5","15","3","21","24","2","5","0.25","0.0645161","4","3","1","3","0.0645161","4","0","0","0","0","0","58","63","1","0","1","0","3","0","3","0","3","37","0","3","0","58","63","1","0","1","0","3","0","3","0","3","37","0","3","0","0","0","12","0","5","0","0","0","0","0","0","1","0","2","0","0","0","4","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"L74531","Version","org.elasticsearch.Version","L105","L103","modules\elasticsearch\src\main\java\org\elasticsearch\Version.java","33","1","81","2","0","0","0","0","0","0","0","0","1","1","1","6","1","5","8","2","7","0.166667","0.0714286","3","3","1","5","0.0714286","3","0","0","0","0","0","39","49","3","0","3","0","5","0","5","0","5","9","0","5","0","39","49","3","0","3","0","5","0","5","0","5","9","0","5","0","0","0","13","1","9","0","0","0","0","0","0","0","0","0","0","0","0","2","13","0","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0","0","0","1","0","0","0","0","0"
