ID,Name,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,Vulnerability Rules,Number of bugs
L2545,ElasticSearchException,29,1,163,2,0,0,0,0,0,0,0,0,3,3,3,24,3,224,129,1,9,1,0.374046,49,49,9,0,0.374046,49,0,0,46,135,0,82,135,0,3,0,3,8,0,8,0,8,45,0,8,0,82,135,0,3,0,3,8,0,8,0,8,45,0,8,0,0,0,9,0,3,0,0,0,0,0,0,1,0,0,0,0,0,3,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L5147,ElasticSearchGenerationException,27,1,36,2,0,0,0,0,0,0,0,0,0,0,0,2,1,16,42,2,4,0.333333,0.384615,5,5,1,2,0.384615,5,1,1,0,0,1,8,10,0,3,0,0,2,0,2,0,10,2,0,10,0,8,10,0,3,0,0,2,0,2,0,10,2,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L3311,ElasticSearchIllegalArgumentException,27,1,45,2,0,0,0,0,0,0,0,0,1,0,0,4,2,105,120,2,6,0.2,0.166667,3,3,1,4,0.166667,3,1,1,0,0,1,15,19,0,3,0,0,4,0,4,0,12,4,0,12,0,15,19,0,3,0,0,4,0,4,0,12,4,0,12,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1852,ElasticSearchIllegalStateException,25,1,38,2,0,0,0,0,0,0,0,0,0,0,0,3,1,47,60,2,5,0.25,0.214286,3,3,1,3,0.214286,3,1,1,1,1,1,11,14,0,3,0,0,3,0,3,0,11,3,0,11,0,11,14,0,3,0,0,3,0,3,0,11,3,0,11,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L17677,ElasticSearchInterruptedException,27,1,36,2,0,0,0,0,0,0,0,0,0,0,0,2,1,4,6,2,4,0.333333,0.384615,5,5,1,2,0.384615,5,1,1,0,0,1,8,10,0,3,0,0,2,0,2,0,10,2,0,10,0,8,10,0,3,0,0,2,0,2,0,10,2,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L44535,ElasticSearchNullPointerException,25,1,38,2,0,0,0,0,0,0,0,0,0,0,0,3,1,1,6,2,5,0.25,0.214286,3,3,1,3,0.214286,3,1,1,0,0,1,11,14,0,3,0,0,3,0,3,0,11,3,0,11,0,11,14,0,3,0,0,3,0,3,0,11,3,0,11,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L13460,ElasticSearchParseException,27,1,41,2,0,0,0,0,0,0,0,0,1,0,0,3,2,15,17,2,5,0.25,0.2,3,3,1,3,0.2,3,1,1,0,0,1,12,15,0,3,0,0,3,0,3,0,11,3,0,11,0,12,15,0,3,0,0,3,0,3,0,11,3,0,11,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L17705,ElasticSearchTimeoutException,27,1,36,2,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,2,4,0.333333,0.384615,5,5,1,2,0.384615,5,1,1,0,0,1,8,10,0,3,0,0,2,0,2,0,10,2,0,10,0,8,10,0,3,0,0,2,0,2,0,10,2,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L50338,ExceptionsHelper,28,1,90,2,0,0,0,0,0,0,0,0,2,5,5,15,3,31,35,2,5,0.25,0.0645161,4,3,1,3,0.0645161,4,0,0,0,0,0,58,63,1,0,1,0,3,0,3,0,3,37,0,3,0,58,63,1,0,1,0,3,0,3,0,3,37,0,3,0,0,0,12,0,5,0,0,0,0,0,0,1,0,2,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
L25292,Version,32,1,168,2,0.109091,2,26,4,0.182482,0.214286,25,24,2,2,1,27,4,12,8,4,14,0.2,0.157895,21,8,2,8,0.157895,21,0,0,0,0,0,112,137,33,0,33,0,10,33,9,0,10,39,33,9,0,112,137,33,0,33,0,10,33,9,0,10,39,33,9,0,0,0,44,1,12,0,0,0,0,11,0,1,0,1,2,0,0,8,23,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0
