"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L125","CompletableFuture<T extends Object>","jsr166e.CompletableFuture","L104","L103","src\main\java\jsr166e\CompletableFuture.java","87","1","3314","2","0.310324","25","321","71","0.206629","0.294925","667","645","1","8","5","439","36","23","23","35","107","1","0.422768","895","883","54","0","0.306174","977","0","0","0","0","0","1222","2236","10","3","10","3","72","0","53","0","72","783","0","53","0","2214","3228","138","67","124","4","132","0","87","1","602","1322","0","349","32","0","33","607","40","566","0","3","282","0","262","0","0","0","71","126","2","0","159","231","2","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","39","66","1","1","0","0","0"
"L254","CompletionException","jsr166e.CompletionException","L104","L103","src\main\java\jsr166e\CompletionException.java","16","1","61","2","0","0","0","0","0","0","0","0","0","0","0","4","0","1","3","0","4","1","0.734694","36","36","3","0","0.734694","36","0","0","0","0","0","13","46","1","0","1","0","4","0","2","0","4","3","0","2","0","13","46","1","0","1","0","4","0","2","0","4","3","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1470","ConcurrentHashMapV8<K extends Object, V extends Object>","jsr166e.ConcurrentHashMapV8","L104","L103","src\main\java\jsr166e\ConcurrentHashMapV8.java","222","1","6308","2","0.277096","26","309","79","0.180877","0.261513","1101","1096","8","11","8","567","60","19","39","54","146","0.971429","0.476055","1501","1453","68","2","0.302545","1831","0","0","0","0","0","1652","3261","40","2","40","2","92","0","69","1","92","1075","0","69","1","4221","6087","255","426","236","31","308","0","212","3","3004","2680","0","1812","167","0","72","1419","27","1228","0","18","507","0","514","0","8","0","100","296","6","0","408","573","1","0","4","4","0","0","0","0","0","0","0","0","0","0","12","0","6","214","61","4","1","27","0","0"
"L3466","CountedCompleter<T extends Object>","jsr166e.CountedCompleter","L104","L103","src\main\java\jsr166e\CountedCompleter.java","382","1","750","2","0.405159","3","15","3","0.132791","0.312102","49","49","2","3","3","49","1","35","32","2","26","1","0.790368","558","558","18","0","0.78042","558","1","1","1","32","1","148","360","19","12","5","5","24","0","17","2","80","76","0","49","5","157","369","19","12","5","5","25","0","18","2","81","83","0","50","5","0","1","46","8","39","0","1","13","0","34","0","1","0","0","8","0","0","22","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3","0","1","0","0","0"
"L4487","DoubleAdder","jsr166e.DoubleAdder","L104","L103","src\main\java\jsr166e\DoubleAdder.java","29","1","198","2","0","0","0","0","0","0","0","0","3","3","3","25","3","0","0","5","18","1","0.508571","89","89","11","0","0.508571","89","1","1","0","0","1","86","170","9","1","1","0","13","0","10","0","19","49","0","10","0","86","170","9","1","1","0","13","0","10","0","19","49","0","10","0","0","0","7","2","11","0","0","4","0","0","0","1","0","0","3","0","0","3","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0"
"L4564","DoubleMaxUpdater","jsr166e.DoubleMaxUpdater","L104","L103","src\main\java\jsr166e\DoubleMaxUpdater.java","29","1","193","2","0","0","0","0","0","0","0","0","2","4","4","30","3","0","0","5","18","1","0.494118","84","84","11","0","0.494118","84","1","1","0","0","1","86","165","10","1","2","0","13","0","10","0","19","53","0","10","0","86","165","10","1","2","0","13","0","10","0","19","53","0","10","0","0","0","7","2","12","0","0","6","0","0","0","1","0","2","2","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0"
"L308","ForkJoinPool","jsr166e.ForkJoinPool","L104","L103","src\main\java\jsr166e\ForkJoinPool.java","133","1","3344","2","0.346593","33","184","35","0.178705","0.334524","574","562","3","10","10","500","12","8","31","30","102","1","0.498873","1328","1222","35","0","0.487257","1606","0","0","0","0","0","1334","2717","80","13","80","13","72","1","34","0","72","899","1","34","0","1690","3212","139","21","125","14","101","1","42","1","157","1133","1","72","4","0","10","374","15","602","0","4","242","0","217","0","1","0","59","109","2","0","245","68","4","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","27","17","0","2","1","0","0"
"L347","ForkJoinTask<V extends Object>","jsr166e.ForkJoinTask","L104","L103","src\main\java\jsr166e\ForkJoinTask.java","183","1","1554","2","0.453454","16","91","16","0.226676","0.439655","311","306","10","9","8","209","8","45","87","21","80","0.941176","0.540923","727","715","32","2","0.51743","757","0","0","9","48","0","617","1283","14","8","14","8","59","0","33","4","59","382","0","33","4","706","1372","28","40","28","12","81","0","49","8","305","429","0","169","20","0","7","240","16","202","0","3","116","0","122","0","5","0","16","27","1","0","57","73","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","23","16","0","1","2","0","0"
"L5483","ForkJoinWorkerThread","jsr166e.ForkJoinWorkerThread","L104","L103","src\main\java\jsr166e\ForkJoinWorkerThread.java","24","1","123","2","0.514563","1","4","1","0.18","0.486486","18","18","1","3","3","9","2","5","1","3","9","1","0.663636","73","69","4","0","0.663636","73","0","0","0","0","0","37","100","2","2","2","2","6","0","3","0","6","15","0","3","0","37","100","2","2","2","2","6","0","3","0","6","15","0","3","0","0","0","14","2","4","0","0","2","0","12","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L6647","LongAdder","jsr166e.LongAdder","L104","L103","src\main\java\jsr166e\LongAdder.java","38","1","199","2","0","0","0","0","0","0","0","0","3","3","3","27","3","6","23","5","20","1","0.526012","91","91","13","0","0.526012","91","1","1","0","0","1","82","162","9","1","1","0","15","0","12","0","21","50","0","12","0","82","162","9","1","1","0","15","0","12","0","21","50","0","12","0","0","0","5","2","11","0","0","4","0","0","0","1","0","0","3","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0"
"L6685","LongAdderTable<K extends Object>","jsr166e.LongAdderTable","L104","L103","src\main\java\jsr166e\LongAdderTable.java","26","1","189","2","0","0","0","0","0","0","0","0","1","1","1","21","3","0","0","12","27","1","0.655844","101","101","16","0","0.639241","101","0","0","0","0","0","53","160","3","0","3","0","15","0","15","0","15","26","0","15","0","57","164","3","0","3","0","16","0","16","0","16","27","0","16","0","0","0","5","0","7","0","0","5","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"L6764","LongMaxUpdater","jsr166e.LongMaxUpdater","L104","L103","src\main\java\jsr166e\LongMaxUpdater.java","29","1","183","2","0","0","0","0","0","0","0","0","3","4","4","30","3","0","0","5","18","1","0.49375","79","79","11","0","0.49375","79","1","1","0","0","1","81","155","9","1","1","0","13","0","10","0","19","52","0","10","0","81","155","9","1","1","0","13","0","10","0","19","52","0","10","0","0","0","7","2","12","0","0","6","0","0","0","1","0","2","2","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0"
"L6795","RecursiveAction","jsr166e.RecursiveAction","L104","L103","src\main\java\jsr166e\RecursiveAction.java","136","1","164","2","0","0","0","0","0","0","0","0","1","0","0","4","1","0","0","0","4","1","0.933775","141","141","2","0","0.933775","141","1","1","0","0","1","10","29","15","8","1","1","4","0","1","1","60","3","0","33","4","10","29","15","8","1","1","4","0","1","1","60","3","0","33","4","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6808","RecursiveTask<V extends Object>","jsr166e.RecursiveTask","L104","L103","src\main\java\jsr166e\RecursiveTask.java","39","1","69","2","0","0","0","0","0","0","0","0","1","0","0","4","1","0","0","0","4","0.5","0.727273","40","40","1","1","0.727273","40","1","1","0","0","1","15","31","16","8","2","1","4","0","1","1","60","4","0","33","4","15","31","16","8","2","1","4","0","1","1","60","4","0","33","4","0","0","6","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"L4808","StampedLock","jsr166e.StampedLock","L104","L103","src\main\java\jsr166e\StampedLock.java","163","1","1419","2","0.0332536","1","5","1","0.017502","0.0275344","22","22","4","9","7","340","5","7","82","2","39","1","0.428897","564","529","27","0","0.415149","570","0","0","0","0","0","751","1205","34","3","34","3","37","0","26","0","37","534","0","26","0","803","1257","40","3","40","3","53","0","41","0","53","557","0","41","0","0","1","123","6","365","0","1","191","0","20","0","4","0","26","37","0","0","138","57","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","3","0","1","1","0","0"
"L4489","Striped64","jsr166e.Striped64","L104","L103","src\main\java\jsr166e\Striped64.java","15","1","341","2","0.390789","4","14","4","0.207951","0.395349","68","68","1","11","7","38","3","4","12","2","9","1","0.36715","76","62","1","0","0.474006","155","0","0","4","4","0","131","282","8","1","8","1","7","0","0","0","7","79","0","0","0","172","327","27","1","27","1","12","0","2","0","12","91","0","2","0","0","2","59","7","57","0","1","15","0","30","0","0","0","5","17","0","0","19","17","1","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","7","5","0","1","0","0","0"
"L7172","ConcurrentLinkedDeque<E extends Object>","jsr166y.ConcurrentLinkedDeque","L7158","L103","src\main\java\jsr166y\ConcurrentLinkedDeque.java","64","1","1468","2","0.512725","10","103","19","0.274733","0.472674","386","320","3","7","6","220","3","4","6","6","64","0.714286","0.52443","644","531","25","10","0.493736","670","0","0","0","0","0","584","1260","9","3","9","3","58","0","34","0","58","384","0","34","0","687","1405","19","3","19","3","77","0","38","0","87","427","0","44","0","0","5","255","11","170","0","5","84","0","139","0","3","0","20","36","0","0","42","83","1","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","10","6","0","3","5","0","0"
"L7488","CountedCompleter<T extends Object>","jsr166y.CountedCompleter","L7158","L103","src\main\java\jsr166y\CountedCompleter.java","380","1","744","2","0.407012","3","15","3","0.134247","0.314103","49","49","2","3","3","48","1","2","0","2","26","1","0.7903","554","553","18","0","0.780282","554","1","1","0","0","1","147","356","19","12","5","5","24","0","17","2","80","76","0","49","5","156","365","19","12","5","5","25","0","18","2","81","83","0","50","5","0","1","46","8","41","0","1","14","0","34","0","1","0","0","8","0","0","23","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3","0","1","0","0","0"
"L7576","ForkJoinPool","jsr166y.ForkJoinPool","L7158","L103","src\main\java\jsr166y\ForkJoinPool.java","123","1","3427","2","0.322606","33","176","35","0.170045","0.318103","562","550","3","10","10","558","10","7","16","27","97","1","0.488271","1353","1233","35","0","0.485681","1645","0","0","0","0","0","1418","2836","80","13","80","13","70","1","34","0","70","984","1","34","0","1742","3305","139","21","125","14","100","1","42","1","156","1181","1","72","4","0","10","358","19","638","0","5","262","0","210","0","1","0","59","112","1","0","256","58","5","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","29","17","1","2","5","0","0"
"L7491","ForkJoinTask<V extends Object>","jsr166y.ForkJoinTask","L7158","L103","src\main\java\jsr166y\ForkJoinTask.java","183","1","1509","2","0.477622","16","91","16","0.234363","0.459459","311","306","10","9","8","199","7","10","24","21","80","0.941176","0.543939","718","706","32","2","0.523575","744","0","0","7","7","0","602","1252","14","8","14","8","59","0","33","4","59","370","0","33","4","677","1327","26","32","26","11","76","0","46","7","244","410","0","136","16","0","6","224","16","188","0","3","110","0","122","0","4","0","14","25","1","0","51","62","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","21","15","0","1","2","0","0"
"L7585","ForkJoinWorkerThread","jsr166y.ForkJoinWorkerThread","L7158","L103","src\main\java\jsr166y\ForkJoinWorkerThread.java","23","1","121","2","0.524752","1","4","1","0.181818","0.486486","18","18","1","3","3","9","2","5","1","3","9","1","0.657407","71","68","4","0","0.657407","71","0","0","0","0","0","37","99","2","2","2","2","6","0","3","0","6","15","0","3","0","37","99","2","2","2","2","6","0","3","0","6","15","0","3","0","0","0","14","2","4","0","0","2","0","12","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L8383","LinkedTransferQueue<E extends Object>","jsr166y.LinkedTransferQueue","L7158","L103","src\main\java\jsr166y\LinkedTransferQueue.java","56","1","1353","2","0.0582077","1","5","1","0.0169492","0.0390071","22","22","4","7","6","173","4","3","6","10","51","0.75","0.617117","685","622","18","6","0.570129","752","1","1","1","1","1","425","1088","16","2","16","2","41","0","23","0","41","262","0","23","0","567","1298","29","2","29","2","56","0","27","0","56","339","0","27","0","0","6","88","10","181","0","4","98","0","20","0","1","0","16","26","0","0","50","40","1","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","11","8","0","1","4","0","0"
"L8673","Phaser","jsr166y.Phaser","L7158","L103","src\main\java\jsr166y\Phaser.java","232","1","1164","2","0.0644712","1","5","1","0.0235799","0.0456432","22","22","1","6","5","134","2","1","1","3","40","1","0.601518","634","599","22","0","0.568121","638","0","0","0","0","0","420","865","21","7","21","7","37","0","21","0","37","239","0","21","0","485","933","30","7","30","7","41","0","24","0","41","279","0","24","0","0","1","67","6","119","0","1","75","0","20","0","0","0","10","11","0","0","33","27","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","10","3","0","1","1","0","0"
"L8884","RecursiveAction","jsr166y.RecursiveAction","L7158","L103","src\main\java\jsr166y\RecursiveAction.java","136","1","164","2","0","0","0","0","0","0","0","0","1","0","0","4","1","0","0","0","4","1","0.933775","141","141","2","0","0.933775","141","1","1","0","0","1","10","29","15","8","1","1","4","0","1","1","60","3","0","33","4","10","29","15","8","1","1","4","0","1","1","60","3","0","33","4","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8893","RecursiveTask<V extends Object>","jsr166y.RecursiveTask","L7158","L103","src\main\java\jsr166y\RecursiveTask.java","39","1","68","2","0","0","0","0","0","0","0","0","1","0","0","4","1","0","0","0","4","0.5","0.722222","39","39","1","1","0.722222","39","1","1","0","0","1","15","30","16","8","2","1","4","0","1","1","60","4","0","33","4","15","30","16","8","2","1","4","0","1","1","60","4","0","33","4","0","0","6","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"L8521","ThreadLocalRandom","jsr166y.ThreadLocalRandom","L7158","L103","src\main\java\jsr166y\ThreadLocalRandom.java","35","1","197","2","0","0","0","0","0","0","0","0","5","2","2","18","0","28","42","0","9","1","0.633136","107","102","8","0","0.622093","107","0","0","0","0","0","62","160","15","0","15","0","9","0","7","1","9","31","0","7","1","65","163","15","0","15","0","10","0","7","1","10","32","0","7","1","0","0","10","8","21","0","0","14","0","0","0","1","0","0","1","0","0","2","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","2","0","0","0","8","0","0"
"L189","CompletableFuture$AltResult","jsr166e.CompletableFuture$AltResult","L125","L103","src\main\java\jsr166e\CompletableFuture.java","150","5","153","6","0","0","0","0","0","0","0","0","0","0","0","1","0","18","4","0","1","1","0.921569","47","46","1","0","0.921569","47","0","0","0","0","0","4","4","1","0","1","0","1","0","0","0","1","1","0","0","0","4","4","1","0","1","0","1","0","0","0","1","1","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L207","CompletableFuture$WaitNode","jsr166e.CompletableFuture$WaitNode","L125","L103","src\main\java\jsr166e\CompletableFuture.java","228","5","265","6","0","0","0","0","0","0","0","0","1","3","2","13","2","1","2","0","3","0.333333","0.208333","10","7","1","2","0.208333","10","1","1","0","0","1","38","38","5","0","5","0","3","0","2","0","3","22","0","2","0","38","38","5","0","5","0","3","0","2","0","3","22","0","2","0","0","0","9","0","16","0","0","8","0","0","0","0","0","0","5","0","0","3","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L344","CompletableFuture$Async","jsr166e.CompletableFuture$Async","L125","L103","src\main\java\jsr166e\CompletableFuture.java","410","5","415","6","0","0","0","0","0","0","0","0","1","0","0","3","2","7","0","1","4","0.25","0.142857","1","1","1","3","0.142857","1","1","2","7","7","2","6","6","14","8","0","1","3","0","3","1","60","2","0","34","4","6","6","14","8","0","1","3","0","3","1","60","2","0","34","4","0","0","10","2","1","0","0","0","0","0","0","0","0","0","0","0","0","3","9","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L369","CompletableFuture$AsyncRun","jsr166e.CompletableFuture$AsyncRun","L125","L103","src\main\java\jsr166e\CompletableFuture.java","417","5","437","6","0","0","0","0","0","0","0","0","1","2","2","5","2","4","8","1","3","0","0","0","0","0","2","0","0","2","3","0","0","1","21","21","17","8","3","0","2","0","1","0","61","11","0","34","4","21","21","17","8","3","0","2","0","1","0","61","11","0","34","4","0","0","9","1","4","0","0","0","0","0","0","0","0","0","2","0","0","2","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0"
"L388","CompletableFuture$AsyncSupply<U extends Object>","jsr166e.CompletableFuture$AsyncSupply","L125","L103","src\main\java\jsr166e\CompletableFuture.java","439","5","460","6","0","0","0","0","0","0","0","0","1","2","2","5","3","1","2","2","4","0","0","0","0","0","2","0","0","2","3","0","0","1","22","22","17","8","3","0","2","0","1","0","61","13","0","34","4","22","22","17","8","3","0","2","0","1","0","61","13","0","34","4","0","0","9","1","4","0","0","0","0","0","0","0","0","0","2","0","0","2","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0"
"L410","CompletableFuture$AsyncApply<T extends Object, U extends Object>","jsr166e.CompletableFuture$AsyncApply","L125","L103","src\main\java\jsr166e\CompletableFuture.java","462","5","485","6","0","0","0","0","0","0","0","0","1","2","2","5","3","3","4","2","4","0","0","0","0","0","2","0","0","2","3","0","0","1","24","24","18","8","4","0","2","0","1","0","61","14","0","34","4","24","24","18","8","4","0","2","0","1","0","61","14","0","34","4","0","0","9","1","5","0","0","0","0","0","0","0","0","0","3","0","0","2","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0"
