"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L260","PlaceHolder","com.hazelcast.impl.PlaceHolder","L106","L103","hazelcast-all\src\main\java\com\hazelcast\impl\PlaceHolder.java","19","1","24","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0.333333","2","0","0","2","0.333333","2","0","0","0","0","0","4","6","0","0","0","0","1","0","1","0","1","0","0","1","0","4","6","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L277","TcpIpJoinerOverAWS","com.hazelcast.impl.TcpIpJoinerOverAWS","L106","L103","hazelcast-cloud\src\main\java\com\hazelcast\impl\TcpIpJoinerOverAWS.java","29","1","56","2","0","0","0","0","0","0","0","0","0","1","1","5","10","0","0","13","15","0","0","0","0","0","2","0","0","3","3","0","0","1","25","28","13","5","3","1","2","0","1","0","18","12","0","7","0","25","28","13","5","3","1","2","0","1","0","18","12","0","7","0","0","0","7","1","5","0","0","0","0","0","0","0","0","0","3","0","0","1","7","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L362","TcpIpJoinerOverAWSTest","com.hazelcast.impl.TcpIpJoinerOverAWSTest","L106","L103","hazelcast-cloud\src\test\java\com\hazelcast\impl\TcpIpJoinerOverAWSTest.java","31","1","57","2","0","0","0","0","0","0","0","0","2","0","0","2","9","0","0","16","18","0","0.12","3","0","0","3","0.12","3","0","0","0","0","0","22","27","0","0","0","0","2","0","2","0","2","13","0","2","0","22","27","0","0","0","0","2","0","2","0","2","13","0","2","0","0","0","7","3","0","0","0","0","0","0","0","1","0","0","0","1","0","0","5","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"L424","AbstractJoiner","com.hazelcast.impl.AbstractJoiner","L106","L103","hazelcast\src\main\java\com\hazelcast\impl\AbstractJoiner.java","34","1","194","2","0","0","0","0","0","0","0","0","1","6","5","34","20","5","7","31","38","0","0.0205479","3","0","0","4","0.0194805","3","1","1","2","3","1","143","153","6","0","6","0","7","0","3","0","8","88","0","4","0","151","161","6","0","6","0","8","0","4","0","9","93","0","5","0","0","0","32","3","37","0","1","2","0","0","0","0","0","6","1","3","0","8","22","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","1","3","20","0","0","0","0"
"L626","AbstractRecord","com.hazelcast.impl.AbstractRecord","L106","L103","hazelcast\src\main\java\com\hazelcast\impl\AbstractRecord.java","31","1","464","2","0","0","0","0","0","0","0","0","3","4","3","139","12","3","4","18","91","0.0136986","0.0114943","4","4","1","72","0.0194986","7","3","3","1","1","2","344","425","18","31","13","24","73","0","72","22","89","160","0","88","24","352","434","24","31","19","24","73","0","72","22","89","160","0","88","24","0","1","172","5","54","0","1","20","0","0","0","1","0","1","6","2","0","16","148","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","14","2","19","0","0","0","0","0","7"
"L627","AbstractSimpleRecord","com.hazelcast.impl.AbstractSimpleRecord","L106","L103","hazelcast\src\main\java\com\hazelcast\impl\AbstractSimpleRecord.java","30","1","319","2","0","0","0","0","0","0","0","0","20","0","0","80","11","3","7","1","78","0","0","0","0","0","78","0","0","2","2","2","3","1","213","290","5","31","5","28","77","0","77","22","87","52","0","87","24","213","290","5","31","5","28","77","0","77","22","87","52","0","87","24","0","0","174","54","28","0","0","0","0","0","0","1","0","0","0","2","0","82","157","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0"
"L1086","AddressPicker","com.hazelcast.impl.AddressPicker","L106","L103","hazelcast\src\main\java\com\hazelcast\impl\AddressPicker.java","30","1","169","2","0","0","0","0","0","0","0","0","1","5","5","27","14","5","7","21","25","0","0.119403","16","0","0","4","0.119403","16","0","0","0","0","0","118","140","3","0","3","0","4","0","3","0","4","78","0","3","0","118","140","3","0","3","0","4","0","3","0","4","78","0","3","0","0","0","19","9","8","0","3","0","0","0","0","0","0","4","3","2","0","2","11","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","1","0","2","3","0","1","0","0","1"
"L2518","AsyncCall","com.hazelcast.impl.AsyncCall","L106","L103","hazelcast\src\main\java\com\hazelcast\impl\AsyncCall.java","21","1","83","2","0","0","0","0","0","0","0","0","4","2","1","16","2","8","6","3","12","0","0","0","0","0","8","0","0","0","0","5","5","0","54","63","4","0","4","0","9","0","7","1","9","25","0","7","1","54","63","4","0","4","0","9","0","7","1","9","25","0","7","1","0","1","22","1","5","0","1","2","0","0","0","1","0","0","0","0","0","2","21","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"L2588","AtomicNumberProxyImpl","com.hazelcast.impl.AtomicNumberProxyImpl","L106","L103","hazelcast\src\main\java\com\hazelcast\impl\AtomicNumberProxyImpl.java","30","1","249","2","0","0","0","0","0","0","0","0","1","1","1","31","11","2","6","21","45","0","0","0","0","0","22","0","0","3","7","0","0","2","107","132","5","11","2","9","24","0","21","0","33","48","1","27","2","175","220","6","19","3","17","44","0","40","1","53","71","1","46","3","0","0","110","0","15","0","0","4","0","0","0","0","0","0","5","2","0","4","94","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","12","0","0","0","0","0","0"
"L4049","BaseManager","com.hazelcast.impl.BaseManager","L106","L103","hazelcast\src\main\java\com\hazelcast\impl\BaseManager.java","49","1","1428","2","0.0309508","6","8","8","0.0398551","0.040378","55","47","4","10","6","134","44","175","269","65","119","0","0.029724","14","8","0","27","0.0234899","28","0","0","6","6","0","457","547","11","10","11","10","54","0","26","0","54","260","0","26","0","1164","1380","22","89","22","37","167","0","102","6","370","586","0","246","18","0","1","520","25","153","0","4","7","0","78","0","8","0","19","21","12","0","109","374","1","0","0","7","0","0","2","6","0","0","0","0","0","0","1","9","0","22","12","7","0","1","0","3"
