"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L263","PlaceHolder","com.hazelcast.impl.PlaceHolder","L106","L103","hazelcast-all\src\main\java\com\hazelcast\impl\PlaceHolder.java","19","1","24","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0.333333","2","0","0","2","0.333333","2","0","0","0","0","0","4","6","0","0","0","0","1","0","1","0","1","0","0","1","0","4","6","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L280","TcpIpJoinerOverAWS","com.hazelcast.impl.TcpIpJoinerOverAWS","L106","L103","hazelcast-cloud\src\main\java\com\hazelcast\impl\TcpIpJoinerOverAWS.java","29","1","56","2","0","0","0","0","0","0","0","0","0","1","1","5","10","0","0","13","15","0","0","0","0","0","2","0","0","3","3","0","0","1","25","28","14","6","3","1","2","0","1","0","23","12","0","10","1","25","28","14","6","3","1","2","0","1","0","23","12","0","10","1","0","0","7","1","5","0","0","0","0","0","0","0","0","0","3","0","0","1","7","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L365","TcpIpJoinerOverAWSTest","com.hazelcast.impl.TcpIpJoinerOverAWSTest","L106","L103","hazelcast-cloud\src\test\java\com\hazelcast\impl\TcpIpJoinerOverAWSTest.java","31","1","57","2","0","0","0","0","0","0","0","0","2","0","0","2","9","0","0","16","18","0","0.12","3","0","0","3","0.12","3","0","0","0","0","0","22","27","0","0","0","0","2","0","2","0","2","13","0","2","0","22","27","0","0","0","0","2","0","2","0","2","13","0","2","0","0","0","7","3","0","0","0","0","0","0","0","1","0","0","0","1","0","0","5","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"L427","AbstractJoiner","com.hazelcast.impl.AbstractJoiner","L106","L103","hazelcast\src\main\java\com\hazelcast\impl\AbstractJoiner.java","35","1","217","2","0","0","0","0","0","0","0","0","1","6","5","35","20","5","7","30","40","0","0.0304878","5","0","0","7","0.0290698","5","1","1","2","3","1","159","175","7","1","7","1","10","0","6","1","11","95","0","7","1","167","183","7","1","7","1","11","0","7","1","12","100","0","8","1","0","0","36","3","37","0","0","0","0","0","0","0","0","6","1","3","0","9","26","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","1","3","21","0","0","0","0"
"L643","AbstractRecord","com.hazelcast.impl.AbstractRecord","L106","L103","hazelcast\src\main\java\com\hazelcast\impl\AbstractRecord.java","31","1","490","2","0","0","0","0","0","0","0","0","4","4","3","143","12","5","4","20","95","0.0533333","0.0188679","7","7","4","71","0.026178","10","3","3","2","2","2","364","451","18","32","13","25","75","0","74","22","90","172","0","89","24","372","460","24","32","19","25","75","0","74","22","90","172","0","89","24","0","0","174","5","55","0","1","20","0","0","0","1","0","1","6","2","0","16","150","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","14","2","19","0","0","0","1","0","2"
"L644","AbstractSimpleRecord","com.hazelcast.impl.AbstractSimpleRecord","L106","L103","hazelcast\src\main\java\com\hazelcast\impl\AbstractSimpleRecord.java","30","1","323","2","0","0","0","0","0","0","0","0","20","0","0","81","11","3","8","1","79","0","0","0","0","0","79","0","0","2","2","2","4","1","216","294","5","32","5","29","78","0","78","22","88","53","0","88","24","216","294","5","32","5","29","78","0","78","22","88","53","0","88","24","0","0","176","54","28","0","0","0","0","0","0","1","0","0","0","2","0","82","159","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0"
"L1112","AddressPicker","com.hazelcast.impl.AddressPicker","L106","L103","hazelcast\src\main\java\com\hazelcast\impl\AddressPicker.java","32","1","393","2","0","0","0","0","0","0","0","0","1","5","5","70","19","1","1","34","51","0","0.0880282","25","1","0","7","0.0757576","25","0","0","0","0","0","259","304","5","7","5","7","17","0","6","0","17","156","0","6","0","305","362","8","7","8","7","26","0","9","0","32","178","0","12","0","0","0","73","11","20","0","4","8","0","0","0","0","0","7","3","4","0","7","61","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","1","0","1","3","1","1","0","0","0"
"L2697","AsyncCall","com.hazelcast.impl.AsyncCall","L106","L103","hazelcast\src\main\java\com\hazelcast\impl\AsyncCall.java","21","1","80","2","0","0","0","0","0","0","0","0","4","2","1","15","2","9","7","3","12","0","0","0","0","0","8","0","0","0","0","3","6","0","51","60","4","0","4","0","9","0","7","1","9","24","0","7","1","51","60","4","0","4","0","9","0","7","1","9","24","0","7","1","0","0","22","0","5","0","0","2","0","0","0","1","0","0","0","0","0","2","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"L2767","AtomicNumberProxyImpl","com.hazelcast.impl.AtomicNumberProxyImpl","L106","L103","hazelcast\src\main\java\com\hazelcast\impl\AtomicNumberProxyImpl.java","30","1","249","2","0","0","0","0","0","0","0","0","1","1","1","31","11","2","6","21","45","0","0","0","0","0","22","0","0","3","7","0","0","2","107","132","5","11","2","9","24","0","21","0","33","48","1","27","2","175","220","6","19","3","17","44","0","40","1","53","71","1","46","3","0","0","110","0","15","0","0","4","0","0","0","0","0","0","5","2","0","4","94","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","12","0","0","0","0","0","0"
"L4217","BaseManager","com.hazelcast.impl.BaseManager","L106","L103","hazelcast\src\main\java\com\hazelcast\impl\BaseManager.java","51","1","1535","2","0.027996","6","8","8","0.037037","0.0376603","55","47","3","10","6","146","51","183","282","78","134","0","0.0383142","20","12","0","26","0.0280374","36","0","0","6","6","0","502","605","21","11","21","11","56","0","25","1","56","282","0","25","1","1248","1485","33","90","33","38","175","0","97","8","388","621","0","232","23","0","2","542","18","181","0","5","2","0","78","0","7","0","20","29","13","0","131","390","1","0","2","8","0","0","2","7","0","0","0","0","0","0","1","9","0","26","5","7","0","1","0","1"
"L5162","BlockingQueueManager","com.hazelcast.impl.BlockingQueueManager","L106","L103","hazelcast\src\main\java\com\hazelcast\impl\BlockingQueueManager.java","44","1","1179","2","0.0765015","4","13","9","0.0660211","0.0732422","75","75","3","4","4","114","42","19","42","55","103","0","0.00219298","1","0","0","23","0.000974659","1","1","1","0","0","1","455","513","24","22","3","11","48","0","22","0","104","270","0","47","1","1025","1136","68","44","32","15","116","3","58","2","284","569","3","161","11","0","2","481","19","153","0","2","3","0","133","0","2","0","5","59","5","0","90","310","2","0","0","3","0","0","0","0","0","0","0","0","0","0","4","6","0","23","4","0","6","0","0","1"
"L2708","CallContext","com.hazelcast.impl.CallContext","L106","L103","hazelcast\src\main\java\com\hazelcast\impl\CallContext.java","21","1","77","2","0","0","0","0","0","0","0","0","2","0","0","12","1","20","29","1","12","0","0","0","0","0","12","0","0","0","0","0","0","0","45","57","5","4","5","4","11","1","11","2","11","12","1","11","2","45","57","5","4","5","4","11","1","11","2","11","12","1","11","2","0","0","30","0","4","0","0","0","0","0","0","1","0","0","2","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","4","0","0","0","0","0","0"
