"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L113","PlaceHolder","com.hazelcast.PlaceHolder","L105","L103","hazelcast-all\src\main\java\com\hazelcast\PlaceHolder.java","22","1","23","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.6","3","3","1","0","0.6","3","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1000","HazelcastClient","com.hazelcast.client.HazelcastClient","L121","L103","hazelcast-client\src\main\java\com\hazelcast\client\HazelcastClient.java","76","1","415","2","0.0671141","1","5","1","0.0529412","0.0625","18","18","2","2","2","63","72","49","116","58","104","0.0227273","0.033557","10","7","1","43","0.033557","10","1","1","0","0","1","288","340","15","33","15","33","46","0","43","0","46","119","0","43","0","288","340","15","33","15","33","46","0","43","0","46","119","0","43","0","0","2","119","7","2","0","2","0","0","9","0","1","0","0","1","4","0","4","95","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","4","0","0","0","0","1"
"L1443","HazelcastClientManagedContext","com.hazelcast.client.HazelcastClientManagedContext","L121","L103","hazelcast-client\src\main\java\com\hazelcast\client\HazelcastClientManagedContext.java","23","1","46","2","0","0","0","0","0","0","0","0","1","1","1","4","3","1","1","2","4","0","0","0","0","0","3","0","0","1","1","0","0","1","19","24","3","0","3","0","2","0","2","0","2","8","0","2","0","19","24","3","0","3","0","2","0","2","0","2","8","0","2","0","0","0","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1353","HazelcastClientProxy","com.hazelcast.client.HazelcastClientProxy","L121","L103","hazelcast-client\src\main\java\com\hazelcast\client\HazelcastClientProxy.java","36","1","185","2","0","0","0","0","0","0","0","0","1","1","1","38","30","5","5","35","70","0.0294118","0.025641","3","3","1","33","0.025641","3","1","1","0","0","1","114","150","1","27","1","27","35","0","33","0","35","39","0","33","0","114","150","1","27","1","27","35","0","33","0","35","39","0","33","0","0","0","82","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0"
"L1372","LifecycleServiceImpl","com.hazelcast.client.LifecycleServiceImpl","L121","L103","hazelcast-client\src\main\java\com\hazelcast\client\LifecycleServiceImpl.java","41","1","104","2","0","0","0","0","0","0","0","0","1","3","3","14","9","1","2","10","19","0.142857","0.0526316","3","3","1","6","0.0526316","3","1","1","0","0","1","54","64","4","1","4","1","9","0","6","1","9","25","0","6","1","54","64","4","1","4","1","9","0","6","1","9","25","0","6","1","0","0","21","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6573","ClientCompatibleTestsSuit","com.hazelcast.client.ClientCompatibleTestsSuit","L121","L103","hazelcast-client\src\test\java\com\hazelcast\client\ClientCompatibleTestsSuit.java","31","1","48","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0.5","0.157895","3","3","1","1","0.157895","3","0","0","0","0","0","16","18","0","0","0","0","1","0","1","1","1","7","0","1","1","16","18","0","0","0","0","1","0","1","1","1","7","0","1","1","0","0","5","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6583","ClientEntryListenerDisconnectTest","com.hazelcast.client.ClientEntryListenerDisconnectTest","L121","L103","hazelcast-client\src\test\java\com\hazelcast\client\ClientEntryListenerDisconnectTest.java","27","1","133","2","0","0","0","0","0","0","0","0","1","1","1","3","11","1","0","19","20","0","0","0","0","0","2","0","0","0","0","0","0","0","54","77","2","0","2","0","1","0","1","0","1","43","0","1","0","75","107","4","1","4","1","8","0","8","1","8","49","0","8","1","0","1","28","1","17","0","0","2","0","0","0","1","0","0","0","2","0","9","25","0","0","0","0","1","0","0","4","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0"
"L6658","ClientIssueTest","com.hazelcast.client.ClientIssueTest","L121","L103","hazelcast-client\src\test\java\com\hazelcast\client\ClientIssueTest.java","39","1","220","2","0.0487445","1","2","1","0.0549451","0.0763359","10","10","8","2","2","14","14","0","0","30","38","0.333333","0.0681818","9","9","3","6","0.0642857","9","0","0","0","0","0","123","174","0","0","0","0","8","0","8","0","8","94","0","8","0","131","182","0","0","0","0","9","0","9","0","9","98","0","9","0","0","1","44","14","11","0","1","0","0","18","0","1","0","0","0","1","0","0","24","1","0","0","0","0","12","0","1","0","0","0","0","0","0","0","0","0","0","0","1","4","7","0","0"
"L6970","HazelcastClientReconnectTest","com.hazelcast.client.HazelcastClientReconnectTest","L121","L103","hazelcast-client\src\test\java\com\hazelcast\client\HazelcastClientReconnectTest.java","36","1","131","2","0.263305","1","2","2","0.270833","0.28125","26","18","4","1","1","5","10","0","0","17","21","0.2","0.291139","23","3","1","4","0.264368","23","0","0","0","0","0","56","88","0","0","0","0","4","0","4","0","4","36","0","4","0","64","96","0","0","0","0","6","0","6","0","6","40","0","6","0","0","0","53","8","1","0","0","0","0","35","0","1","0","0","0","2","0","0","15","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","1","4","1","0","0"
"L7724","SimpleMapTestFromClient","com.hazelcast.client.SimpleMapTestFromClient","L121","L103","hazelcast-client\src\test\java\com\hazelcast\client\SimpleMapTestFromClient.java","28","1","136","2","0.210963","2","4","2","0.229358","0.247525","25","25","1","7","3","10","4","2","0","1","2","0","0","0","0","0","2","0.0194175","2","0","0","0","0","0","48","51","6","0","6","0","1","6","1","0","1","32","6","1","0","101","109","9","1","9","1","6","9","6","0","6","62","9","6","0","0","0","69","2","48","0","0","0","0","33","0","0","0","2","0","0","0","20","24","0","0","0","0","0","0","0","14","0","0","0","0","0","0","15","0","0","10","1","0","0","0","0","0"
