"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L113","PlaceHolder","com.hazelcast.PlaceHolder","L105","L103","hazelcast-all\src\main\java\com\hazelcast\PlaceHolder.java","22","1","23","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.6","3","3","1","0","0.6","3","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L208","ClientImpl","com.hazelcast.client.ClientImpl","L121","L103","hazelcast-client\src\main\java\com\hazelcast\client\ClientImpl.java","24","1","48","2","0","0","0","0","0","0","0","0","0","0","0","4","2","1","1","0","4","0","0","0","0","0","5","0","0","2","2","0","0","1","20","25","2","3","2","3","4","0","4","0","4","5","0","4","0","20","25","2","3","2","3","4","0","4","0","4","5","0","4","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L236","ClientOutOfMemoryHandler","com.hazelcast.client.ClientOutOfMemoryHandler","L121","L103","hazelcast-client\src\main\java\com\hazelcast\client\ClientOutOfMemoryHandler.java","26","1","80","2","0","0","0","0","0","0","0","0","1","2","2","3","4","0","0","1","2","0.5","0.214286","3","3","1","1","0.06","3","1","1","0","0","1","11","13","0","0","0","0","1","0","1","0","5","4","0","1","0","47","55","0","0","0","0","6","0","3","0","10","19","0","3","0","0","3","18","3","2","0","3","0","0","0","0","0","0","0","0","0","0","1","18","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L262","HazelcastClient","com.hazelcast.client.HazelcastClient","L121","L103","hazelcast-client\src\main\java\com\hazelcast\client\HazelcastClient.java","109","1","464","2","0","0","0","0","0","0","0","0","1","2","2","62","81","96","256","60","110","0.0208333","0.0322581","10","7","1","47","0.0322581","10","1","1","0","0","1","300","356","18","37","18","37","50","1","47","0","50","119","1","47","0","300","356","18","37","18","37","50","1","47","0","50","119","1","47","0","0","2","123","3","20","0","2","0","0","0","0","0","0","0","1","4","0","19","103","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","3","0","0","0","0","6"
"L3237","HazelcastClientManagedContext","com.hazelcast.client.HazelcastClientManagedContext","L121","L103","hazelcast-client\src\main\java\com\hazelcast\client\HazelcastClientManagedContext.java","23","1","46","2","0","0","0","0","0","0","0","0","1","1","1","4","3","1","1","2","4","0","0","0","0","0","3","0","0","1","1","0","0","1","20","24","3","0","3","0","2","0","2","0","2","8","0","2","0","20","24","3","0","3","0","2","0","2","0","2","8","0","2","0","0","0","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3151","HazelcastClientProxy","com.hazelcast.client.HazelcastClientProxy","L121","L103","hazelcast-client\src\main\java\com\hazelcast\client\HazelcastClientProxy.java","56","1","258","2","0","0","0","0","0","0","0","0","1","1","1","42","34","4","4","39","78","0","0","0","0","0","38","0","0","1","1","0","0","1","163","203","1","31","1","31","39","0","37","0","39","43","0","37","0","163","203","1","31","1","31","39","0","37","0","39","43","0","37","0","0","0","91","0","1","0","0","0","0","0","0","0","0","0","1","2","0","0","81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0"
"L3167","LifecycleServiceImpl","com.hazelcast.client.LifecycleServiceImpl","L121","L103","hazelcast-client\src\main\java\com\hazelcast\client\LifecycleServiceImpl.java","39","1","106","2","0","0","0","0","0","0","0","0","1","3","3","15","12","2","3","13","22","0","0","0","0","0","8","0","0","1","1","0","0","1","57","68","4","1","4","1","9","0","7","1","9","26","0","7","1","57","68","4","1","4","1","9","0","7","1","9","26","0","7","1","0","0","22","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10000","ClientCompatibleTestsSuit","com.hazelcast.client.ClientCompatibleTestsSuit","L121","L103","hazelcast-client\src\test\java\com\hazelcast\client\ClientCompatibleTestsSuit.java","31","1","48","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0.5","0.2","4","3","1","1","0.2","4","0","0","0","0","0","16","18","0","0","0","0","1","0","1","1","1","7","0","1","1","16","18","0","0","0","0","1","0","1","1","1","7","0","1","1","0","0","5","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10010","ClientEntryListenerDisconnectTest","com.hazelcast.client.ClientEntryListenerDisconnectTest","L121","L103","hazelcast-client\src\test\java\com\hazelcast\client\ClientEntryListenerDisconnectTest.java","27","1","131","2","0","0","0","0","0","0","0","0","1","1","1","4","12","1","0","20","22","0","0","0","0","0","2","0","0","0","0","0","0","0","56","80","2","0","2","0","2","0","1","0","2","43","0","1","0","75","105","4","1","4","1","7","0","6","1","12","49","0","11","1","0","1","26","1","15","0","0","2","0","0","0","1","0","0","0","2","0","7","23","0","0","0","0","1","0","0","4","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0"
"L10066","ClientIssueTest","com.hazelcast.client.ClientIssueTest","L121","L103","hazelcast-client\src\test\java\com\hazelcast\client\ClientIssueTest.java","69","1","582","2","0.0722611","1","4","2","0.0661479","0.0793651","34","30","16","2","2","20","29","0","0","56","72","0.235294","0.0494297","13","12","4","13","0.0332481","13","1","1","0","0","1","250","355","2","1","0","0","16","0","16","0","49","188","0","45","0","378","514","9","9","2","2","47","1","45","0","106","230","1","98","4","0","1","190","30","49","0","1","0","0","36","0","5","0","0","1","4","0","14","133","1","0","0","1","0","34","0","3","0","0","0","0","0","0","2","0","0","11","0","8","6","11","0","0"
