"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L113","PlaceHolder","com.hazelcast.PlaceHolder","L105","L103","hazelcast-all\src\main\java\com\hazelcast\PlaceHolder.java","22","1","23","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.6","3","3","1","0","0.6","3","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L138","ElementParser","com.hazelcast.buildutils.ElementParser","L121","L103","hazelcast-build-utils\src\main\java\com\hazelcast\buildutils\ElementParser.java","29","1","99","2","0","0","0","0","0","0","0","0","1","5","2","19","0","2","3","0","4","0.666667","0.25","16","16","2","1","0.25","16","0","0","0","0","0","48","71","0","0","0","0","4","0","2","0","4","35","0","2","0","48","71","0","0","0","0","4","0","2","0","4","35","0","2","0","0","0","10","0","5","0","0","0","0","0","0","0","0","1","0","0","0","1","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0"
"L212","HazelcastManifestTransformer","com.hazelcast.buildutils.HazelcastManifestTransformer","L121","L103","hazelcast-build-utils\src\main\java\com\hazelcast\buildutils\HazelcastManifestTransformer.java","46","1","377","2","0.22255","4","22","6","0.177711","0.197802","59","54","3","2","2","38","3","1","0","5","15","0.2","0.0425532","8","6","1","4","0.0284698","8","0","0","0","0","0","180","225","15","0","15","0","10","0","4","0","10","101","0","4","0","273","332","21","0","21","0","21","0","9","0","21","145","0","9","0","0","1","85","0","14","0","0","0","0","31","0","1","0","0","0","0","0","10","51","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"L479","ExportPackageViewer","com.hazelcast.buildutils.ExportPackageViewer","L121","L103","hazelcast-build-utils\src\test\java\com\hazelcast\buildutils\ExportPackageViewer.java","29","1","60","2","0","0","0","0","0","0","0","0","1","2","2","4","1","0","0","1","2","0","0","0","0","0","2","0","0","0","0","0","0","0","24","32","0","0","0","0","1","0","1","0","1","16","0","1","0","24","32","0","0","0","0","1","0","1","0","1","16","0","1","0","0","0","5","1","2","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"L2183","ClientOutOfMemoryHandler","com.hazelcast.client.ClientOutOfMemoryHandler","L521","L103","hazelcast-client\src\main\java\com\hazelcast\client\ClientOutOfMemoryHandler.java","28","1","85","2","0","0","0","0","0","0","0","0","1","2","2","3","4","0","0","1","2","0.5","0.214286","3","3","1","1","0.0566038","3","1","1","0","0","1","11","13","0","0","0","0","1","0","1","0","5","4","0","1","0","50","58","0","0","0","0","6","0","3","0","10","22","0","3","0","0","0","18","3","2","0","0","0","0","0","0","0","0","0","0","0","0","1","18","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L5015","HazelcastClient","com.hazelcast.client.HazelcastClient","L521","L103","hazelcast-client\src\main\java\com\hazelcast\client\HazelcastClient.java","54","1","176","2","0","0","0","0","0","0","0","0","1","2","2","15","7","89","213","9","17","0.75","0.446154","58","58","6","2","0.446154","58","0","0","0","0","0","72","123","1","2","1","2","8","0","7","0","8","37","0","7","0","72","123","1","2","1","2","8","0","7","0","8","37","0","7","0","0","0","7","3","9","0","0","0","0","0","0","0","0","0","0","0","0","9","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","1"
"L13754","ClientCompatibleTestsSuit","com.hazelcast.client.ClientCompatibleTestsSuit","L521","L103","hazelcast-client\src\test\java\com\hazelcast\client\ClientCompatibleTestsSuit.java","31","1","48","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0.5","0.2","4","3","1","1","0.2","4","0","0","0","0","0","16","18","0","0","0","0","1","0","1","1","1","7","0","1","1","16","18","0","0","0","0","1","0","1","1","1","7","0","1","1","0","0","5","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13762","ClientEntryListenerDisconnectTest","com.hazelcast.client.ClientEntryListenerDisconnectTest","L521","L103","hazelcast-client\src\test\java\com\hazelcast\client\ClientEntryListenerDisconnectTest.java","27","1","131","2","0","0","0","0","0","0","0","0","1","1","1","4","12","1","0","20","22","0","0","0","0","0","2","0","0","0","0","0","0","0","56","80","2","0","2","0","2","0","1","0","2","43","0","1","0","75","105","4","1","4","1","7","0","6","1","15","49","0","14","1","0","1","26","1","15","0","0","2","0","0","0","1","0","0","0","2","0","7","23","0","0","0","0","1","0","0","4","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0"
"L13814","ClientListenersTest","com.hazelcast.client.ClientListenersTest","L521","L103","hazelcast-client\src\test\java\com\hazelcast\client\ClientListenersTest.java","30","1","154","2","0.48855","1","3","3","0.48","0.484848","60","48","2","0","0","7","19","0","0","20","27","0","0","0","0","0","8","0","0","1","1","0","0","1","63","83","3","1","1","0","7","0","7","0","51","31","1","48","0","99","125","3","1","1","0","16","0","16","0","68","39","1","65","0","0","1","132","5","11","0","0","0","0","71","0","4","0","0","1","1","0","5","53","0","0","0","0","0","1","0","0","0","0","0","0","0","0","5","0","0","3","0","0","5","0","0","0"
"L13891","ClientMemberAttributeTest","com.hazelcast.client.ClientMemberAttributeTest","L521","L103","hazelcast-client\src\test\java\com\hazelcast\client\ClientMemberAttributeTest.java","41","1","352","2","0.711174","9","82","28","0.615385","0.617284","192","150","4","2","2","27","18","0","0","34","41","0","0.0130435","3","0","0","8","0.0121951","3","1","1","0","0","1","227","292","2","1","0","0","7","0","7","0","51","188","1","48","0","243","312","3","1","1","0","11","0","10","0","55","190","1","51","0","0","0","83","15","58","0","5","10","0","43","0","2","0","0","0","7","0","2","28","0","0","0","0","0","46","0","0","0","0","0","0","0","0","0","0","0","3","0","3","6","1","0","0"
