"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L513","mcMMO","com.gmail.nossr50.mcMMO","L106","L103","src\main\java\com\gmail\nossr50\mcMMO.java","90","1","539","2","0.238816","5","50","12","0.188889","0.228261","85","63","2","3","3","55","72","69","24","95","113","0.666667","0.27957","104","74","12","6","0.273684","104","0","0","0","0","0","268","442","17","10","17","10","18","5","17","0","18","163","5","17","0","276","450","18","14","17","12","20","5","19","0","32","165","5","31","0","0","12","59","2","27","0","0","0","0","12","0","1","0","2","0","5","0","36","25","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","14","0","0","2","0","0","4"
"L121","AbilityAPI","com.gmail.nossr50.api.AbilityAPI","L114","L103","src\main\java\com\gmail\nossr50\api\AbilityAPI.java","8","1","47","2","0","0","0","0","0","0","0","0","8","2","2","10","2","0","0","1","9","0","0","0","0","0","9","0","0","0","0","0","0","0","31","40","0","0","0","0","8","0","8","0","8","11","0","8","0","31","40","0","0","0","0","8","0","8","0","8","11","0","8","0","0","0","20","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L171","ChatAPI","com.gmail.nossr50.api.ChatAPI","L114","L103","src\main\java\com\gmail\nossr50\api\ChatAPI.java","12","1","67","2","0","0","0","0","0","0","0","0","2","3","3","11","7","0","0","9","12","0.666667","0.361702","17","17","2","1","0.361702","17","0","0","0","0","0","30","56","0","0","0","0","3","0","2","0","3","17","0","2","0","30","56","0","0","0","0","3","0","2","0","3","17","0","2","0","0","0","4","0","9","0","1","2","0","0","0","1","0","0","0","0","0","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L212","ExperienceAPI","com.gmail.nossr50.api.ExperienceAPI","L114","L103","src\main\java\com\gmail\nossr50\api\ExperienceAPI.java","9","1","177","2","0","0","0","0","0","0","0","0","2","1","1","15","3","0","0","4","17","0.916667","0.677419","105","105","11","1","0.677419","105","0","0","0","0","0","50","169","0","4","0","4","13","0","11","2","13","19","0","11","2","50","169","0","4","0","4","13","0","11","2","13","19","0","11","2","0","0","4","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"L286","PartyAPI","com.gmail.nossr50.api.PartyAPI","L114","L103","src\main\java\com\gmail\nossr50\api\PartyAPI.java","11","1","154","2","0","0","0","0","0","0","0","0","4","1","1","13","3","0","0","13","25","0.916667","0.669231","87","87","11","1","0.669231","87","0","0","0","0","0","43","144","0","6","0","6","12","0","11","1","12","17","0","11","1","43","144","0","6","0","6","12","0","11","1","12","17","0","11","1","0","0","5","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"L364","SpoutToolsAPI","com.gmail.nossr50.api.SpoutToolsAPI","L114","L103","src\main\java\com\gmail\nossr50\api\SpoutToolsAPI.java","10","1","54","2","0","0","0","0","0","0","0","0","1","1","1","7","1","1","0","0","2","0.5","0.216216","8","8","1","1","0.216216","8","0","0","0","0","0","29","45","5","0","5","0","2","5","1","0","2","12","5","1","0","29","45","5","0","5","0","2","5","1","0","2","12","5","1","0","0","0","9","0","10","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","4","0","0","0","0","0","0"
"L405","CommandHelper","com.gmail.nossr50.commands.CommandHelper","L401","L103","src\main\java\com\gmail\nossr50\commands\CommandHelper.java","13","1","160","2","0.872258","4","46","9","0.540541","0.659574","80","62","5","2","2","29","6","24","24","22","30","0.444444","0.210084","25","25","4","5","0.210084","25","0","0","0","0","0","94","148","0","0","0","0","8","0","8","0","8","55","0","8","0","94","148","0","0","0","0","8","0","8","0","8","55","0","8","0","0","0","44","1","2","0","0","0","0","26","0","1","0","0","0","2","0","2","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"L1096","SkillCommand","com.gmail.nossr50.commands.SkillCommand","L401","L103","src\main\java\com\gmail\nossr50\commands\SkillCommand.java","17","1","88","2","0","0","0","0","0","0","0","0","1","1","1","13","7","12","12","10","18","0","0","0","0","0","3","0","0","0","0","12","12","0","51","72","7","0","7","0","8","0","2","0","8","26","0","2","0","51","72","7","0","7","0","8","0","2","0","8","26","0","2","0","0","1","22","0","5","0","0","0","0","0","0","0","0","0","0","1","0","6","19","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"L1331","AdvancedConfig","com.gmail.nossr50.config.AdvancedConfig","L2062","L103","src\main\java\com\gmail\nossr50\config\AdvancedConfig.java","3","1","186","2","0","0","0","0","0","0","0","0","1","1","1","117","1","29","167","1","117","0.130435","0.122449","18","17","15","100","0.122449","18","1","1","0","0","1","129","184","5","114","1","114","116","0","114","0","121","118","0","116","0","129","184","5","114","1","114","116","0","114","0","121","118","0","116","0","0","1","217","0","6","0","0","0","0","0","0","0","0","1","0","1","0","5","203","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","12","0","0","0","0","0","2"
"L1488","Config","com.gmail.nossr50.config.Config","L2062","L103","src\main\java\com\gmail\nossr50\config\Config.java","7","1","411","2","0","0","0","0","0","0","0","0","1","2","2","237","1","46","111","1","231","0.119469","0.11437","39","39","27","199","0.11437","39","1","1","0","0","1","302","405","6","224","2","224","230","1","225","0","235","248","1","227","0","302","405","6","224","2","224","230","1","225","0","235","248","1","227","0","0","1","427","0","110","0","0","4","0","0","0","0","0","1","0","1","0","7","409","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","16","0","0","0","0","0","2"
