"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L4207","mcMMO","com.gmail.nossr50.mcMMO","L106","L103","src\main\java\com\gmail\nossr50\mcMMO.java","65","1","508","2","0.0727763","1","10","2","0.0495495","0.0613497","22","20","2","3","3","72","49","107","129","58","86","0.0952381","0.106849","39","17","2","19","0.106849","39","0","0","0","0","0","326","444","32","10","32","10","28","18","20","2","28","181","18","20","2","326","444","32","10","32","10","28","18","20","2","28","181","18","20","2","0","3","82","6","76","0","7","0","0","9","0","1","0","1","0","6","0","57","53","1","0","0","0","0","0","0","1","0","0","0","0","0","0","16","0","0","12","4","0","0","0","0","0"
"L120","AbilityAPI","com.gmail.nossr50.api.AbilityAPI","L114","L103","src\main\java\com\gmail\nossr50\api\AbilityAPI.java","9","1","83","2","0","0","0","0","0","0","0","0","9","2","2","19","3","0","0","2","19","0","0","0","0","0","17","0","0","0","0","0","0","0","57","75","0","0","0","0","17","0","16","7","17","20","0","16","7","57","75","0","0","0","0","17","0","16","7","17","20","0","16","7","0","0","40","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"L204","ChatAPI","com.gmail.nossr50.api.ChatAPI","L114","L103","src\main\java\com\gmail\nossr50\api\ChatAPI.java","13","1","154","2","0","0","0","0","0","0","0","0","11","0","0","14","7","0","0","6","20","0.923077","0.65625","84","84","12","1","0.65625","84","0","0","0","0","0","44","142","0","1","0","1","14","0","12","0","14","15","0","12","0","44","142","0","1","0","1","14","0","12","0","14","15","0","12","0","0","0","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L296","ExperienceAPI","com.gmail.nossr50.api.ExperienceAPI","L114","L103","src\main\java\com\gmail\nossr50\api\ExperienceAPI.java","17","1","616","2","0","0","0","0","0","0","0","0","3","2","2","47","10","0","0","27","67","0.916667","0.705009","380","380","33","3","0.705009","380","0","0","0","0","0","159","600","0","19","0","19","40","0","35","4","40","70","0","35","4","159","600","0","19","0","19","40","0","35","4","40","70","0","35","4","0","0","23","0","10","0","0","0","0","0","0","1","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","7","0","0","0","0","0","0"
"L550","PartyAPI","com.gmail.nossr50.api.PartyAPI","L114","L103","src\main\java\com\gmail\nossr50\api\PartyAPI.java","15","1","190","2","0","0","0","0","0","0","0","0","5","1","1","19","4","0","0","13","28","0.8","0.605096","95","95","12","3","0.605096","95","0","0","0","0","0","62","176","0","8","0","8","15","0","14","1","15","26","0","14","1","62","176","0","8","0","8","15","0","14","1","15","26","0","14","1","0","0","9","1","3","0","0","0","0","0","0","1","0","0","0","0","0","3","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0"
"L653","AdminChatManager","com.gmail.nossr50.chat.AdminChatManager","L647","L103","src\main\java\com\gmail\nossr50\chat\AdminChatManager.java","8","1","22","2","0","0","0","0","0","0","0","0","1","0","0","3","3","1","1","6","9","0","0","0","0","0","2","0","0","1","1","0","0","1","13","15","6","0","0","0","3","0","1","0","8","3","0","4","0","13","15","6","0","0","0","3","0","1","0","8","3","0","4","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L269","ChatManager","com.gmail.nossr50.chat.ChatManager","L647","L103","src\main\java\com\gmail\nossr50\chat\ChatManager.java","9","1","53","2","0","0","0","0","0","0","0","0","2","1","1","9","2","8","7","5","12","0","0","0","0","0","5","0","0","0","0","2","2","0","34","45","6","0","6","0","7","0","4","0","7","13","0","4","0","34","45","6","0","6","0","7","0","4","0","7","13","0","4","0","0","0","19","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"L726","ChatManagerFactory","com.gmail.nossr50.chat.ChatManagerFactory","L647","L103","src\main\java\com\gmail\nossr50\chat\ChatManagerFactory.java","9","1","31","2","0","0","0","0","0","0","0","0","0","2","2","5","4","3","5","2","3","0","0","0","0","0","2","0","0","0","0","0","0","0","20","23","2","1","2","1","1","0","1","0","1","8","0","1","0","20","23","2","1","2","1","1","0","1","0","1","8","0","1","0","0","0","5","2","3","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0","0","0"
"L276","PartyChatManager","com.gmail.nossr50.chat.PartyChatManager","L647","L103","src\main\java\com\gmail\nossr50\chat\PartyChatManager.java","15","1","50","2","0","0","0","0","0","0","0","0","1","2","2","9","5","4","4","13","17","0","0","0","0","0","3","0","0","1","1","0","0","1","29","36","7","0","1","0","4","0","2","1","9","12","0","5","1","29","36","7","0","1","0","4","0","2","1","9","12","0","5","1","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1363","KrakenCommand","com.gmail.nossr50.commands.KrakenCommand","L792","L103","src\main\java\com\gmail\nossr50\commands\KrakenCommand.java","18","1","66","2","0.269006","1","3","1","0.204082","0.243902","10","10","2","2","2","9","5","1","0","9","11","0","0","0","0","0","3","0","0","0","0","0","0","0","41","49","0","0","0","0","2","0","2","0","2","19","0","2","0","41","49","0","0","0","0","2","0","2","0","2","19","0","2","0","0","0","19","0","5","0","0","0","0","11","0","1","0","0","0","0","0","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1385","McabilityCommand","com.gmail.nossr50.commands.McabilityCommand","L792","L103","src\main\java\com\gmail\nossr50\commands\McabilityCommand.java","9","1","30","2","0","0","0","0","0","0","0","0","4","0","0","5","4","1","0","7","11","0","0","0","0","0","1","0","0","1","1","0","0","1","19","22","0","0","0","0","4","0","0","0","6","5","0","2","0","19","22","0","0","0","0","4","0","0","0","6","5","0","2","0","0","0","12","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1409","McconvertCommand","com.gmail.nossr50.commands.McconvertCommand","L792","L103","src\main\java\com\gmail\nossr50\commands\McconvertCommand.java","22","1","93","2","0","0","0","0","0","0","0","0","2","3","2","15","2","1","0","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","57","72","5","0","5","0","2","0","2","0","2","15","0","2","0","57","72","5","0","5","0","2","0","2","0","2","15","0","2","0","0","10","8","2","7","0","0","0","0","0","0","1","0","0","0","0","0","17","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"L1446","McgodCommand","com.gmail.nossr50.commands.McgodCommand","L792","L103","src\main\java\com\gmail\nossr50\commands\McgodCommand.java","9","1","30","2","0","0","0","0","0","0","0","0","4","0","0","5","4","1","0","7","11","0","0","0","0","0","1","0","0","1","1","0","0","1","19","22","0","0","0","0","4","0","0","0","6","5","0","2","0","19","22","0","0","0","0","4","0","0","0","6","5","0","2","0","0","0","12","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1465","McmmoCommand","com.gmail.nossr50.commands.McmmoCommand","L792","L103","src\main\java\com\gmail\nossr50\commands\McmmoCommand.java","14","1","112","2","0","0","0","0","0","0","0","0","1","3","3","22","6","1","0","18","22","0","0","0","0","0","2","0","0","0","0","0","0","0","80","99","0","0","0","0","4","0","1","0","4","49","0","1","0","80","99","0","0","0","0","4","0","1","0","4","49","0","1","0","0","3","12","0","3","0","0","0","0","0","0","0","0","0","0","1","0","6","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1507","McnotifyCommand","com.gmail.nossr50.commands.McnotifyCommand","L792","L103","src\main\java\com\gmail\nossr50\commands\McnotifyCommand.java","16","1","36","2","0","0","0","0","0","0","0","0","2","1","1","4","3","1","0","4","6","0","0","0","0","0","3","0","0","0","0","0","0","0","18","21","0","0","0","0","2","0","2","0","2","6","0","2","0","18","21","0","0","0","0","2","0","2","0","2","6","0","2","0","0","0","8","0","4","0","0","0","0","0","0","1","0","0","0","0","0","4","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1523","McrefreshCommand","com.gmail.nossr50.commands.McrefreshCommand","L792","L103","src\main\java\com\gmail\nossr50\commands\McrefreshCommand.java","9","1","34","2","0","0","0","0","0","0","0","0","4","0","0","4","4","1","0","9","13","0","0","0","0","0","1","0","0","1","1","0","0","1","22","26","0","0","0","0","4","0","0","0","6","8","0","2","0","22","26","0","0","0","0","4","0","0","0","6","8","0","2","0","0","0","12","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1546","McscoreboardCommand","com.gmail.nossr50.commands.McscoreboardCommand","L792","L103","src\main\java\com\gmail\nossr50\commands\McscoreboardCommand.java","18","1","90","2","0","0","0","0","0","0","0","0","2","3","3","15","4","1","0","10","13","0","0","0","0","0","3","0","0","0","0","0","0","0","60","73","1","0","1","0","3","0","2","0","3","35","0","2","0","60","73","1","0","1","0","3","0","2","0","3","35","0","2","0","0","5","12","0","5","0","0","0","0","0","0","1","0","1","0","1","0","10","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1575","MobhealthCommand","com.gmail.nossr50.commands.MobhealthCommand","L792","L103","src\main\java\com\gmail\nossr50\commands\MobhealthCommand.java","20","1","67","2","0","0","0","0","0","0","0","0","2","2","2","6","4","1","0","3","5","0","0","0","0","0","3","0","0","0","0","0","0","0","41","48","1","0","1","0","2","0","2","0","2","14","0","2","0","41","48","1","0","1","0","2","0","2","0","2","14","0","2","0","0","2","8","1","6","0","0","0","0","0","0","1","0","0","0","0","0","8","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
