"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L63472","AbstractTestBase","common.AbstractTestBase","L63463","L103","community\graph-algo\src\test\java\common\AbstractTestBase.java","42","1","315","2","0.338028","4","15","4","0.240876","0.29717","66","63","2","3","3","29","15","1","0","23","40","0","0.0988372","17","0","0","3","0.0711297","17","0","0","0","0","0","155","199","3","2","3","2","17","0","2","0","17","49","0","2","0","222","274","7","2","7","2","27","0","12","0","27","62","0","12","0","0","0","105","0","18","0","0","0","0","36","0","1","0","0","0","1","0","18","67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L63612","CsvFileReader","common.CsvFileReader","L63463","L103","community\graph-algo\src\test\java\common\CsvFileReader.java","29","1","87","2","0","0","0","0","0","0","0","0","1","2","2","10","1","1","1","0","5","0","0","0","0","0","4","0","0","1","1","0","0","1","53","59","4","1","2","0","5","0","3","0","10","18","0","6","1","53","59","4","1","2","0","5","0","3","0","10","18","0","6","1","0","0","13","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L63496","GraphDescription","common.GraphDescription","L63463","L103","community\graph-algo\src\test\java\common\GraphDescription.java","34","1","119","2","0","0","0","0","0","0","0","0","1","2","2","5","6","1","1","6","8","0","0","0","0","0","3","0","0","1","1","0","0","1","35","39","1","0","1","0","2","0","2","0","2","14","0","2","0","79","86","4","1","4","1","5","0","4","0","5","31","0","4","0","0","0","16","1","1","0","0","0","0","0","0","0","0","0","0","0","0","2","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5312","Neo4jAlgoTestCase","common.Neo4jAlgoTestCase","L63463","L103","community\graph-algo\src\test\java\common\Neo4jAlgoTestCase.java","49","1","185","2","0.0941476","1","4","1","0.138686","0.141667","19","17","4","2","2","23","8","27","27","9","20","0.125","0.04","5","5","1","7","0.0387597","5","0","0","23","27","0","120","133","3","1","3","1","11","0","7","2","11","44","0","7","2","124","137","6","1","6","1","11","3","7","2","12","44","3","8","2","0","0","38","2","9","0","0","0","0","9","0","1","0","0","0","0","0","8","25","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","2","0","0","0"
"L5885","SimpleGraphBuilder","common.SimpleGraphBuilder","L63463","L103","community\graph-algo\src\test\java\common\SimpleGraphBuilder.java","35","1","271","2","0","0","0","0","0","0","0","0","1","2","2","39","7","27","97","10","31","0.238095","0.139535","30","30","5","16","0.139535","30","0","0","0","0","0","185","237","6","6","6","6","21","1","20","1","21","83","1","20","1","185","237","6","6","6","6","21","1","20","1","21","83","1","20","1","0","1","43","4","9","0","0","0","0","0","0","0","0","0","6","0","0","3","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","8","2","0","2","0","0","0"
"L63824","TestSiteIndexExamples","examples.TestSiteIndexExamples","L63812","L103","community\graph-matching\src\test\java\examples\TestSiteIndexExamples.java","52","1","284","2","0","0","0","0","0","0","0","0","1","2","2","12","18","1","0","15","21","0.8","0.179104","24","19","4","1","0.109589","24","0","0","0","0","0","110","142","2","0","2","0","6","1","4","0","6","49","1","4","0","195","233","7","0","6","0","14","3","8","0","19","85","3","13","0","0","0","49","3","12","0","0","0","0","0","0","0","0","0","2","1","0","7","44","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","4","0","1","2","0","0","0"
"L63949","BatchInsertExampleTest","examples.BatchInsertExampleTest","L63812","L103","community\kernel\src\test\java\examples\BatchInsertExampleTest.java","41","1","144","2","0.467456","2","4","4","0.442308","0.441558","46","34","5","0","0","5","11","0","0","19","24","0","0.195876","19","0","0","6","0.195876","19","0","0","0","0","0","78","104","0","0","0","0","5","0","5","0","5","42","0","5","0","78","104","0","0","0","0","5","0","5","0","5","42","0","5","0","0","0","38","5","2","0","0","0","0","25","0","1","0","0","0","3","0","0","9","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"L63959","AutoIndexerExampleTests","examples.AutoIndexerExampleTests","L63812","L103","community\lucene-index\src\test\java\examples\AutoIndexerExampleTests.java","48","1","337","2","0.467725","2","7","3","0.475862","0.5","138","93","3","1","1","13","21","0","0","33","41","0","0.256809","66","0","0","8","0.256809","66","1","1","0","0","1","191","290","3","1","3","1","8","1","7","0","8","103","1","7","0","191","290","3","1","3","1","8","1","7","0","8","103","1","7","0","0","0","49","16","32","0","0","2","0","27","0","1","0","0","3","4","0","5","13","0","0","0","0","0","20","0","0","0","0","0","0","0","0","2","0","0","4","4","8","4","0","0","0"
"L63979","ImdbExampleTest","examples.ImdbExampleTest","L63812","L103","community\lucene-index\src\test\java\examples\ImdbExampleTest.java","71","1","630","2","0","0","0","0","0","0","0","0","3","1","1","26","31","0","0","66","82","0.0625","0.25","118","2","1","15","0.239837","118","0","0","0","0","0","354","540","2","0","2","0","16","0","15","1","16","243","0","15","1","374","560","2","0","2","0","16","0","15","1","16","243","0","15","1","0","4","45","16","72","0","0","0","0","0","0","1","0","0","0","8","0","26","32","0","0","0","0","0","47","0","2","0","0","0","0","0","0","2","0","0","4","0","15","0","0","0","0"
"L64026","LuceneIndexSiteExamples","examples.LuceneIndexSiteExamples","L63812","L103","community\lucene-index\src\test\java\examples\LuceneIndexSiteExamples.java","32","1","95","2","0","0","0","0","0","0","0","0","1","1","1","7","8","0","0","12","18","0","0.125","7","0","0","7","0.125","7","0","0","0","0","0","49","64","2","0","2","0","6","0","6","1","6","18","0","6","1","49","64","2","0","2","0","6","0","6","1","6","18","0","6","1","0","0","11","6","8","0","0","0","0","0","0","0","0","0","0","0","0","8","11","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0"
