"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L139039","AbstractTestBase","common.AbstractTestBase","L139030","L103","community\graph-algo\src\test\java\common\AbstractTestBase.java","38","1","121","2","0","0","0","0","0","0","0","0","1","2","2","8","5","0","0","8","14","0","0","0","0","0","3","0","0","0","0","0","0","0","51","60","1","1","1","1","6","0","2","0","6","15","0","2","0","73","84","3","1","3","1","9","0","5","0","9","18","0","5","0","0","0","24","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L139095","CsvFileReader","common.CsvFileReader","L139030","L103","community\graph-algo\src\test\java\common\CsvFileReader.java","29","1","87","2","0","0","0","0","0","0","0","0","1","2","2","10","1","1","1","0","5","0","0","0","0","0","4","0","0","1","1","0","0","1","53","59","4","1","2","0","5","0","3","0","10","18","0","6","1","53","59","4","1","2","0","5","0","3","0","10","18","0","6","1","0","0","13","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L139118","GraphDescription","common.GraphDescription","L139030","L103","community\graph-algo\src\test\java\common\GraphDescription.java","34","1","119","2","0","0","0","0","0","0","0","0","1","2","2","5","6","0","0","6","8","0","0","0","0","0","3","0","0","1","1","0","0","1","35","39","1","0","1","0","2","0","2","0","2","14","0","2","0","79","86","4","1","4","1","5","0","4","0","5","31","0","4","0","0","0","16","1","1","0","0","0","0","0","0","0","0","0","0","0","0","2","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L28914","Neo4jAlgoTestCase","common.Neo4jAlgoTestCase","L139030","L103","community\graph-algo\src\test\java\common\Neo4jAlgoTestCase.java","51","1","182","2","0.132678","1","4","1","0.121212","0.137931","16","16","4","2","2","22","9","40","35","11","21","0.125","0.0413223","5","5","1","7","0.04","5","0","0","23","27","0","116","128","3","1","3","1","10","0","7","2","10","43","0","7","2","120","132","6","1","6","1","10","3","7","2","11","43","3","8","2","0","0","36","2","8","0","0","0","0","9","0","1","0","0","0","0","0","7","23","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","2","0","0","0"
"L29904","SimpleGraphBuilder","common.SimpleGraphBuilder","L139030","L103","community\graph-algo\src\test\java\common\SimpleGraphBuilder.java","35","1","271","2","0","0","0","0","0","0","0","0","1","2","2","39","7","37","114","10","31","0.238095","0.139535","30","30","5","16","0.139535","30","0","0","0","0","0","185","237","6","6","6","6","21","1","20","1","21","83","1","20","1","185","237","6","6","6","6","21","1","20","1","21","83","1","20","1","0","1","43","4","9","0","0","0","0","0","0","0","0","0","6","0","0","3","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","8","2","0","2","0","0","0"
"L139308","TestSiteIndexExamples","examples.TestSiteIndexExamples","L139296","L103","community\graph-matching\src\test\java\examples\TestSiteIndexExamples.java","56","1","278","2","0","0","0","0","0","0","0","0","1","2","2","12","19","1","0","14","20","0.8","0.196721","24","19","4","1","0.114286","24","0","0","0","0","0","98","129","2","0","2","0","6","1","4","0","6","45","1","4","0","186","223","7","0","6","0","14","3","8","0","19","81","3","13","0","0","0","49","4","13","0","0","0","0","0","0","0","0","0","2","1","0","8","44","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","4","0","1","2","1","0","0"
"L139431","BatchInsertDocTest","examples.BatchInsertDocTest","L139296","L103","community\kernel\src\test\java\examples\BatchInsertDocTest.java","54","1","190","2","0.143158","1","2","2","0.175182","0.169811","24","18","1","1","1","6","20","0","0","37","43","0","0.148438","19","0","0","7","0.148438","19","0","0","0","0","0","109","137","2","0","2","0","6","1","6","0","6","51","1","6","0","109","137","2","0","2","0","6","1","6","0","6","51","1","6","0","0","0","32","8","1","0","0","0","0","14","0","0","0","0","0","3","0","0","11","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","4","0","2","1","2","0","0"
"L139444","AutoIndexerExampleTests","examples.AutoIndexerExampleTests","L139296","L103","community\lucene-index\src\test\java\examples\AutoIndexerExampleTests.java","51","1","325","2","0.368996","4","5","5","0.323636","0.312849","89","56","3","1","1","9","20","0","0","31","39","0","0.268293","66","0","0","8","0.268293","66","1","1","0","0","1","180","275","3","1","3","1","8","1","7","0","8","98","1","7","0","180","275","3","1","3","1","8","1","7","0","8","98","1","7","0","0","0","48","15","30","0","0","0","0","26","0","1","0","0","3","4","0","5","13","0","0","0","0","0","20","0","0","0","0","0","0","0","0","2","0","0","4","0","8","4","3","0","0"
"L139464","ImdbDocTest","examples.ImdbDocTest","L139296","L103","community\lucene-index\src\test\java\examples\ImdbDocTest.java","79","1","665","2","0","0","0","0","0","0","0","0","3","2","2","27","35","0","0","72","89","0.0625","0.251559","121","2","1","15","0.247104","128","0","0","0","0","0","360","557","2","0","2","0","17","0","15","1","17","242","0","15","1","390","587","3","0","3","0","18","0","16","1","18","242","0","16","1","0","4","52","19","75","0","0","0","0","0","0","1","0","0","1","8","0","31","39","0","0","0","0","0","46","0","0","0","0","0","0","0","0","2","0","0","4","0","14","0","4","0","0"
"L139520","LuceneIndexSiteExamples","examples.LuceneIndexSiteExamples","L139296","L103","community\lucene-index\src\test\java\examples\LuceneIndexSiteExamples.java","35","1","102","2","0","0","0","0","0","0","0","0","1","1","1","7","8","0","0","13","19","0","0.12069","7","0","0","7","0.12069","7","0","0","0","0","0","51","68","2","0","2","0","6","0","6","1","6","20","0","6","1","51","68","2","0","2","0","6","0","6","1","6","20","0","6","1","0","0","15","2","10","0","0","0","0","0","0","0","0","0","0","0","0","8","15","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
