"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L158","AbstractChannelBuffer","io.netty.buffer.AbstractChannelBuffer","L106","L103","buffer\src\main\java\io\netty\buffer\AbstractChannelBuffer.java","30","1","703","2","0","0","0","0","0","0","0","0","4","3","2","138","4","11","33","40","137","0.0103093","0.0138648","8","8","1","96","0.0138648","8","1","1","8","11","1","569","674","4","21","4","11","97","0","96","9","128","239","0","127","19","569","674","4","21","4","11","97","0","96","9","128","239","0","127","19","0","0","212","0","12","0","0","0","0","0","0","1","0","1","4","1","0","6","195","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","14","0","0","0","0","0","0"
"L578","AbstractChannelBufferFactory","io.netty.buffer.AbstractChannelBufferFactory","L106","L103","buffer\src\main\java\io\netty\buffer\AbstractChannelBufferFactory.java","23","1","61","2","0","0","0","0","0","0","0","0","0","1","1","6","2","2","3","2","7","0.25","0.333333","12","12","1","3","0.333333","12","1","1","2","2","1","24","39","1","6","1","3","5","0","3","0","8","7","0","6","0","24","39","1","6","1","3","5","0","3","0","8","7","0","6","0","0","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L611","BigEndianHeapChannelBuffer","io.netty.buffer.BigEndianHeapChannelBuffer","L106","L103","buffer\src\main\java\io\netty\buffer\BigEndianHeapChannelBuffer.java","26","1","140","2","0.474453","3","4","3","0.278261","0.348315","32","31","3","1","1","18","5","2","4","6","21","0.2","0.144231","15","15","3","12","0.144231","15","3","3","0","0","1","89","115","5","21","0","4","15","0","14","4","134","32","0","131","19","89","115","5","21","0","4","15","0","14","4","134","32","0","131","19","0","0","58","0","0","0","0","0","0","22","0","1","0","0","0","0","0","0","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0"
"L669","ByteBufferBackedChannelBuffer","io.netty.buffer.ByteBufferBackedChannelBuffer","L106","L103","buffer\src\main\java\io\netty\buffer\ByteBufferBackedChannelBuffer.java","32","1","363","2","0.151877","2","9","3","0.114458","0.127208","38","36","1","4","4","64","6","2","4","11","44","0.0606061","0.0274914","8","8","2","31","0.0274914","8","2","2","0","0","1","283","332","7","21","3","10","33","0","32","10","130","133","0","128","19","283","332","7","21","3","10","33","0","32","10","130","133","0","128","19","0","1","104","3","14","0","0","0","0","21","0","0","0","2","4","0","0","11","67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","14","1","0","0","0","0","0"
"L1336","ChannelBufferInputStream","io.netty.buffer.ChannelBufferInputStream","L106","L103","buffer\src\main\java\io\netty\buffer\ChannelBufferInputStream.java","37","1","243","2","0","0","0","0","0","0","0","0","3","2","2","39","1","4","4","11","37","0.153846","0.160428","30","30","4","22","0.160428","30","0","0","0","0","0","157","207","4","0","4","0","26","0","25","0","26","64","0","25","0","157","207","4","0","4","0","26","0","25","0","26","64","0","25","0","0","1","53","0","6","0","0","0","0","0","0","1","0","0","0","0","0","5","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1","0","0","0","0"
"L1435","ChannelBufferOutputStream","io.netty.buffer.ChannelBufferOutputStream","L106","L103","buffer\src\main\java\io\netty\buffer\ChannelBufferOutputStream.java","36","1","146","2","0","0","0","0","0","0","0","0","2","1","1","22","1","5","5","7","24","0.222222","0.209524","22","22","4","14","0.209524","22","0","0","0","0","0","83","111","3","0","3","0","17","0","17","0","17","30","0","17","0","83","111","3","0","3","0","17","0","17","0","17","30","0","17","0","0","1","33","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0"
"L1509","ChannelBuffers","io.netty.buffer.ChannelBuffers","L106","L103","buffer\src\main\java\io\netty\buffer\ChannelBuffers.java","87","1","1149","2","0.102157","2","18","4","0.0545626","0.0835821","58","56","10","5","5","184","12","113","194","31","90","0.980392","0.339251","344","339","50","1","0.339251","344","0","0","0","0","0","670","1063","4","0","4","0","59","3","50","0","59","392","3","50","0","670","1063","4","0","4","0","59","3","50","0","59","392","3","50","0","0","12","82","4","40","0","0","0","0","26","0","1","0","5","3","2","0","40","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","11","11","1","0","0","0","0"
"L1654","CompositeChannelBuffer","io.netty.buffer.CompositeChannelBuffer","L106","L103","buffer\src\main\java\io\netty\buffer\CompositeChannelBuffer.java","35","1","700","2","0.449644","7","50","19","0.348348","0.408348","232","225","5","3","3","112","5","1","2","41","81","0.0540541","0.0613288","36","11","2","35","0.0613288","36","2","2","0","0","1","551","666","8","21","4","10","40","0","36","11","137","358","0","132","20","551","666","8","21","4","10","40","0","36","11","137","358","0","132","20","0","0","197","0","39","0","0","0","0","103","0","1","0","0","4","2","0","34","77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","14","0","0","0","0","0","0"
"L2082","DirectChannelBufferFactory","io.netty.buffer.DirectChannelBufferFactory","L106","L103","buffer\src\main\java\io\netty\buffer\DirectChannelBufferFactory.java","33","1","200","2","0.427451","2","10","3","0.279762","0.356061","47","47","1","3","1","30","4","1","1","8","19","0.5","0.180124","29","29","5","5","0.180124","29","2","2","0","0","1","132","168","10","8","9","5","11","0","9","0","16","73","0","12","0","132","168","10","8","9","5","11","0","9","0","16","73","0","12","0","0","3","44","0","11","0","0","0","0","25","0","0","0","0","0","0","0","11","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","0","0","0"
"L2142","DuplicatedChannelBuffer","io.netty.buffer.DuplicatedChannelBuffer","L106","L103","buffer\src\main\java\io\netty\buffer\DuplicatedChannelBuffer.java","32","1","212","2","0","0","0","0","0","0","0","0","1","1","1","35","4","2","3","35","69","0.0294118","0.0331126","5","5","1","33","0.0331126","5","2","3","0","0","2","146","181","5","21","1","10","34","0","33","10","131","38","0","129","19","146","181","5","21","1","10","34","0","33","10","131","38","0","129","19","0","1","86","0","4","0","0","0","0","0","0","0","0","0","4","0","0","0","71","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","14","1","0","0","0","0","0"
"L1555","DynamicChannelBuffer","io.netty.buffer.DynamicChannelBuffer","L106","L103","buffer\src\main\java\io\netty\buffer\DynamicChannelBuffer.java","32","1","321","2","0","0","0","0","0","0","0","0","3","2","2","55","8","3","9","47","93","0.0212766","0.0203252","5","5","1","46","0.0203252","5","2","2","1","1","1","241","290","7","21","3","10","46","0","46","10","143","85","0","142","19","241","290","7","21","3","10","46","0","46","10","143","85","0","142","19","0","3","111","0","8","0","0","0","0","0","0","1","0","0","6","1","0","2","95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","14","2","0","0","0","0","1"
"L613","HeapChannelBuffer","io.netty.buffer.HeapChannelBuffer","L106","L103","buffer\src\main\java\io\netty\buffer\HeapChannelBuffer.java","29","1","226","2","0.0576132","1","3","1","0.050505","0.0657895","10","10","4","3","3","37","5","2","6","8","30","0.136364","0.131429","23","23","3","19","0.131429","23","2","2","2","2","1","152","198","5","21","1","6","22","0","21","6","131","63","0","129","19","152","198","5","21","1","6","22","0","21","6","131","63","0","129","19","0","1","60","3","10","0","0","0","0","8","0","1","0","0","4","0","0","6","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","10","1","0","0","0","0","0"
"L2456","HeapChannelBufferFactory","io.netty.buffer.HeapChannelBufferFactory","L106","L103","buffer\src\main\java\io\netty\buffer\HeapChannelBufferFactory.java","27","1","89","2","0.265734","1","4","1","0.174603","0.25","11","11","0","3","1","11","4","8","11","6","13","0.375","0.254237","15","15","3","5","0.254237","15","2","2","0","0","1","44","63","3","8","2","5","7","0","7","0","12","18","0","10","0","44","63","3","8","2","5","7","0","7","0","12","18","0","10","0","0","1","22","0","3","0","0","0","0","11","0","0","0","0","0","0","0","3","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L1535","LittleEndianHeapChannelBuffer","io.netty.buffer.LittleEndianHeapChannelBuffer","L106","L103","buffer\src\main\java\io\netty\buffer\LittleEndianHeapChannelBuffer.java","26","1","140","2","0.474453","3","4","3","0.278261","0.348315","32","31","3","1","1","18","5","2","4","6","21","0.2","0.144231","15","15","3","12","0.144231","15","3","3","0","0","1","89","115","5","21","0","4","15","0","14","4","134","32","0","131","19","89","115","5","21","0","4","15","0","14","4","134","32","0","131","19","0","0","58","0","0","0","0","0","0","22","0","1","0","0","0","0","0","0","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0"
"L1796","ReadOnlyChannelBuffer","io.netty.buffer.ReadOnlyChannelBuffer","L106","L103","buffer\src\main\java\io\netty\buffer\ReadOnlyChannelBuffer.java","32","1","226","2","0","0","0","0","0","0","0","0","5","1","1","38","4","2","2","23","59","0.0277778","0.0306748","5","5","1","35","0.0306748","5","2","3","0","0","2","158","195","5","21","1","10","36","0","35","10","131","45","0","129","19","158","195","5","21","1","10","36","0","35","10","131","45","0","129","19","0","1","91","0","4","0","0","0","0","0","0","1","0","0","4","0","0","0","75","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","14","1","0","0","0","0","0"
"L1605","SlicedChannelBuffer","io.netty.buffer.SlicedChannelBuffer","L106","L103","buffer\src\main\java\io\netty\buffer\SlicedChannelBuffer.java","33","1","264","2","0","0","0","0","0","0","0","0","1","1","1","44","5","4","4","33","68","0.0294118","0.03","6","6","1","33","0.03","6","2","3","0","0","2","194","232","7","21","3","10","35","0","33","10","132","75","0","129","19","194","232","7","21","3","10","35","0","33","10","132","75","0","129","19","0","0","88","0","5","0","0","0","0","0","0","0","0","0","4","0","0","1","73","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0"
"L1600","TruncatedChannelBuffer","io.netty.buffer.TruncatedChannelBuffer","L106","L103","buffer\src\main\java\io\netty\buffer\TruncatedChannelBuffer.java","33","1","255","2","0","0","0","0","0","0","0","0","1","1","1","41","5","4","4","34","69","0.0294118","0.03125","6","6","1","33","0.03125","6","2","3","0","0","2","186","223","6","21","2","10","35","0","33","10","132","70","0","129","19","186","223","6","21","2","10","35","0","33","10","132","70","0","129","19","0","0","88","0","5","0","0","0","0","0","0","0","0","0","4","0","0","1","73","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0"
"L2826","AbstractChannelBufferTest","io.netty.buffer.AbstractChannelBufferTest","L106","L103","buffer\src\test\java\io\netty\buffer\AbstractChannelBufferTest.java","37","1","1644","2","0.271275","12","62","26","0.246269","0.258772","396","354","1","2","2","221","3","10","0","95","193","0.0208333","0.0207588","29","7","2","94","0.0207588","29","0","0","10","12","0","1368","1608","5","20","5","20","98","0","95","3","98","1147","0","95","3","1368","1608","5","20","5","20","98","0","95","3","98","1147","0","95","3","0","2","367","9","365","0","0","0","0","148","0","0","0","1","0","5","0","1","197","0","0","0","0","0","369","0","0","0","0","0","0","0","0","0","0","0","16","2","0","4","0","0","0"
"L3041","AbstractCompositeChannelBufferTest","io.netty.buffer.AbstractCompositeChannelBufferTest","L106","L103","buffer\src\test\java\io\netty\buffer\AbstractCompositeChannelBufferTest.java","31","1","339","2","0.209416","3","5","5","0.174757","0.158333","54","38","2","1","1","11","3","2","2","25","34","0.166667","0.127273","35","5","1","5","0.127273","35","1","1","2","2","1","240","309","8","20","3","0","9","0","5","0","105","163","0","100","3","240","309","8","20","3","0","9","0","5","0","105","163","0","100","3","0","1","43","12","55","0","0","0","0","17","0","1","0","0","3","1","0","3","19","0","0","0","0","0","61","0","0","0","0","0","0","0","0","0","0","0","5","1","0","0","0","0","0"
"L3068","BigEndianCompositeChannelBufferTest","io.netty.buffer.BigEndianCompositeChannelBufferTest","L106","L103","buffer\src\test\java\io\netty\buffer\BigEndianCompositeChannelBufferTest.java","22","1","26","2","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","1","2","0.5","0.375","3","3","1","1","0.375","3","2","2","0","0","1","5","5","8","20","0","0","1","0","1","0","106","1","0","101","3","5","5","8","20","0","0","1","0","1","0","106","1","0","101","3","0","0","8","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
"L3074","BigEndianDirectChannelBufferTest","io.netty.buffer.BigEndianDirectChannelBufferTest","L106","L103","buffer\src\test\java\io\netty\buffer\BigEndianDirectChannelBufferTest.java","25","1","41","2","0","0","0","0","0","0","0","0","1","0","0","2","3","0","0","3","5","1","0.176471","3","3","1","0","0.176471","3","1","1","0","0","1","14","17","6","20","1","0","2","0","0","0","98","5","0","95","3","14","17","6","20","1","0","2","0","0","0","98","5","0","95","3","0","0","11","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
"L3082","BigEndianHeapChannelBufferTest","io.netty.buffer.BigEndianHeapChannelBufferTest","L106","L103","buffer\src\test\java\io\netty\buffer\BigEndianHeapChannelBufferTest.java","25","1","45","2","0","0","0","0","0","0","0","0","2","0","0","3","4","0","0","3","6","0.5","0.15","3","3","1","1","0.15","3","1","1","0","0","1","17","21","6","20","1","0","3","0","1","0","99","5","0","96","3","17","21","6","20","1","0","3","0","1","0","99","5","0","96","3","0","0","15","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","9","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
