"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L180","AbstractByteBuf","io.netty.buffer.AbstractByteBuf","L106","L103","buffer\src\main\java\io\netty\buffer\AbstractByteBuf.java","35","1","1174","2","0.0802708","4","19","6","0.0622807","0.0716544","71","68","6","3","3","221","11","23","226","38","175","0.00862069","0.0206398","20","12","1","115","0.0206398","20","2","2","2","15","1","949","1140","7","21","7","16","137","0","115","14","167","468","0","145","19","949","1140","7","21","7","16","137","0","115","14","167","468","0","145","19","0","4","332","2","43","0","1","0","0","38","0","1","0","1","5","2","0","17","273","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","17","6","6","0","0","0","3"
"L779","AbstractByteBufAllocator","io.netty.buffer.AbstractByteBufAllocator","L106","L103","buffer\src\main\java\io\netty\buffer\AbstractByteBufAllocator.java","24","1","191","2","0","0","0","0","0","0","0","0","1","1","1","38","5","6","6","3","26","0.0526316","0.122449","18","18","1","18","0.122449","18","1","1","2","2","1","129","168","4","0","4","0","23","0","18","0","23","47","0","18","0","129","168","4","0","4","0","23","0","18","0","23","47","0","18","0","0","0","43","0","10","0","0","0","0","0","0","0","0","0","0","0","0","10","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"L869","AbstractDerivedByteBuf","io.netty.buffer.AbstractDerivedByteBuf","L106","L103","buffer\src\main\java\io\netty\buffer\AbstractDerivedByteBuf.java","23","1","55","2","0","0","0","0","0","0","0","0","1","0","0","6","3","3","3","7","13","0.166667","0.129032","4","4","1","5","0.129032","4","3","3","3","3","1","27","33","7","21","0","0","6","0","5","0","168","8","0","145","19","27","33","7","21","0","0","6","0","5","0","168","8","0","145","19","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","1"
"L891","AbstractReferenceCountedByteBuf","io.netty.buffer.AbstractReferenceCountedByteBuf","L106","L103","buffer\src\main\java\io\netty\buffer\AbstractReferenceCountedByteBuf.java","27","1","154","2","0.504615","3","16","3","0.421875","0.495146","54","51","1","3","3","27","4","11","19","3","11","0.166667","0.0884956","10","9","1","5","0.0884956","10","3","3","6","10","1","103","128","10","21","3","0","8","0","5","1","170","45","0","145","20","103","128","10","21","3","0","8","0","5","1","170","45","0","145","20","0","0","47","1","6","0","0","0","0","26","0","0","0","0","0","0","0","4","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","6","1","0","0","0","0","1"
"L182","ByteBuf","io.netty.buffer.ByteBuf","L106","L103","buffer\src\main\java\io\netty\buffer\ByteBuf.java","229","1","1880","2","0","0","0","0","0","0","0","0","0","0","0","142","3","293","1199","0","142","0.986014","0.911644","1558","1558","141","2","0.911644","1558","1","1","5","20","1","151","1652","0","21","0","21","142","0","142","19","145","0","0","145","19","151","1652","0","21","0","21","142","0","142","19","145","0","0","145","19","0","0","23","0","8","0","0","0","0","0","0","0","0","1","8","1","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0"
"L1437","ByteBufInputStream","io.netty.buffer.ByteBufInputStream","L106","L103","buffer\src\main\java\io\netty\buffer\ByteBufInputStream.java","40","1","257","2","0.0657194","1","2","1","0.0504587","0.060241","11","10","3","3","3","42","1","2","3","13","39","0.153846","0.165829","33","33","4","22","0.165829","33","0","0","0","0","0","166","218","4","0","4","0","26","0","25","0","26","67","0","25","0","166","218","4","0","4","0","26","0","25","0","26","67","0","25","0","0","1","61","0","7","0","0","0","0","8","0","1","0","0","0","0","0","6","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1","0","0","0","0"
"L1529","ByteBufOutputStream","io.netty.buffer.ByteBufOutputStream","L106","L103","buffer\src\main\java\io\netty\buffer\ByteBufOutputStream.java","36","1","146","2","0","0","0","0","0","0","0","0","2","1","1","22","1","5","5","7","24","0.222222","0.209524","22","22","4","14","0.209524","22","0","0","0","0","0","83","111","3","0","3","0","17","0","17","0","17","30","0","17","0","83","111","3","0","3","0","17","0","17","0","17","30","0","17","0","0","1","33","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0"
"L1665","ByteBufUtil","io.netty.buffer.ByteBufUtil","L106","L103","buffer\src\main\java\io\netty\buffer\ByteBufUtil.java","32","1","330","2","0.15534","1","8","2","0.100334","0.133333","30","30","8","3","3","57","2","10","42","11","26","1","0.150943","40","40","11","0","0.150943","40","0","0","0","0","0","225","299","1","0","1","0","15","0","10","0","15","160","0","10","0","225","299","1","0","1","0","15","0","10","0","15","160","0","10","0","0","1","37","0","10","0","0","0","0","15","0","1","0","1","2","0","0","8","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"L843","CompositeByteBuf","io.netty.buffer.CompositeByteBuf","L106","L103","buffer\src\main\java\io\netty\buffer\CompositeByteBuf.java","41","1","1603","2","0.328895","11","90","29","0.245681","0.291701","384","355","35","4","3","260","11","12","26","112","240","0.188679","0.107487","145","119","20","86","0.107771","147","4","4","0","0","1","1204","1547","17","25","7","9","128","0","105","19","262","714","0","225","34","1217","1563","21","25","11","9","130","0","105","19","264","717","0","225","34","0","8","410","3","83","0","1","0","0","148","0","1","0","1","12","4","0","61","234","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","22","8","0","0","0","0","2"
"L2380","DefaultByteBufHolder","io.netty.buffer.DefaultByteBufHolder","L106","L103","buffer\src\main\java\io\netty\buffer\DefaultByteBufHolder.java","24","1","84","2","0","0","0","0","0","0","0","0","1","1","1","12","4","25","53","9","19","0.0909091","0.0740741","4","4","1","10","0.0740741","4","2","2","3","9","1","50","61","1","0","1","0","10","0","10","0","10","16","0","10","0","50","61","1","0","1","0","10","0","10","0","10","16","0","10","0","0","1","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
