"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L190","AbstractByteBuf","io.netty.buffer.AbstractByteBuf","L106","L103","buffer\src\main\java\io\netty\buffer\AbstractByteBuf.java","36","1","1162","2","0.086758","4","19","7","0.068323","0.0799574","77","75","6","3","3","216","13","37","281","41","177","0.00869565","0.0208768","20","15","1","114","0.0208768","20","2","2","2","20","1","938","1127","7","21","7","16","136","0","114","14","169","467","0","147","19","938","1127","7","21","7","16","136","0","114","14","169","467","0","147","19","0","4","334","2","44","0","1","0","0","44","0","1","0","1","7","2","0","16","269","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","17","6","6","0","0","0","0"
"L783","AbstractByteBufAllocator","io.netty.buffer.AbstractByteBufAllocator","L106","L103","buffer\src\main\java\io\netty\buffer\AbstractByteBufAllocator.java","27","1","255","2","0","0","0","0","0","0","0","0","3","2","2","52","12","9","26","8","34","0.047619","0.10396","21","18","1","20","0.10396","21","1","1","2","2","1","181","229","5","0","4","0","26","0","20","0","27","76","1","21","0","181","229","5","0","4","0","26","0","20","0","27","76","1","21","0","0","0","53","1","14","0","0","0","0","0","0","1","0","0","0","1","0","15","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"L905","AbstractDerivedByteBuf","io.netty.buffer.AbstractDerivedByteBuf","L106","L103","buffer\src\main\java\io\netty\buffer\AbstractDerivedByteBuf.java","25","1","79","2","0","0","0","0","0","0","0","0","1","0","0","10","3","3","4","10","20","0.1","0.0816327","4","4","1","9","0.0816327","4","3","3","3","3","1","45","55","7","21","0","0","10","0","9","0","170","14","0","147","19","45","55","7","21","0","0","10","0","9","0","170","14","0","147","19","0","0","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0"
"L941","AbstractReferenceCountedByteBuf","io.netty.buffer.AbstractReferenceCountedByteBuf","L106","L103","buffer\src\main\java\io\netty\buffer\AbstractReferenceCountedByteBuf.java","27","1","150","2","0.527331","3","16","3","0.435484","0.504951","54","51","3","3","3","28","3","21","29","2","12","0.125","0.0818182","9","9","1","7","0.0818182","9","3","3","7","15","1","101","124","9","21","2","0","10","0","7","1","172","45","0","147","20","101","124","9","21","2","0","10","0","7","1","172","45","0","147","20","0","0","52","0","5","0","0","0","0","26","0","1","0","0","0","0","0","3","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","6","0","0","0","0","0","0"
"L809","AdvancedLeakAwareByteBuf","io.netty.buffer.AdvancedLeakAwareByteBuf","L106","L103","buffer\src\main\java\io\netty\buffer\AdvancedLeakAwareByteBuf.java","30","1","736","2","0","0","0","0","0","0","0","0","1","1","1","118","4","1","1","117","232","0","0","0","0","0","115","0","0","3","3","0","0","1","591","707","2","42","1","21","115","0","114","18","263","238","0","261","37","591","707","2","42","1","21","115","0","114","18","263","238","0","261","37","0","0","252","0","9","0","0","0","0","0","0","0","0","1","8","2","0","1","233","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0"
"L192","ByteBuf","io.netty.buffer.ByteBuf","L106","L103","buffer\src\main\java\io\netty\buffer\ByteBuf.java","229","1","1886","2","0","0","0","0","0","0","0","0","0","0","0","144","3","480","1855","0","144","0.972414","0.909515","1558","1558","141","4","0.909515","1558","1","1","5","29","1","155","1658","0","21","0","21","144","0","144","19","147","0","0","147","19","155","1658","0","21","0","21","144","0","144","19","147","0","0","147","19","0","0","27","0","8","0","0","0","0","0","0","0","0","1","8","1","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0"
"L2007","ByteBufInputStream","io.netty.buffer.ByteBufInputStream","L106","L103","buffer\src\main\java\io\netty\buffer\ByteBufInputStream.java","40","1","257","2","0.0656028","1","2","1","0.0504587","0.060241","11","10","3","3","3","42","1","6","7","13","39","0.153846","0.165829","33","33","4","22","0.165829","33","0","0","0","0","0","166","218","4","0","4","0","26","0","25","0","26","67","0","25","0","166","218","4","0","4","0","26","0","25","0","26","67","0","25","0","0","1","61","0","7","0","0","0","0","8","0","1","0","0","0","0","0","6","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1","0","0","0","0"
"L2099","ByteBufOutputStream","io.netty.buffer.ByteBufOutputStream","L106","L103","buffer\src\main\java\io\netty\buffer\ByteBufOutputStream.java","36","1","146","2","0","0","0","0","0","0","0","0","2","1","1","22","1","7","8","7","24","0.222222","0.209524","22","22","4","14","0.209524","22","0","0","0","0","0","83","111","3","0","3","0","17","0","17","0","17","30","0","17","0","83","111","3","0","3","0","17","0","17","0","17","30","0","17","0","0","1","33","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0"
"L2235","ByteBufUtil","io.netty.buffer.ByteBufUtil","L106","L103","buffer\src\main\java\io\netty\buffer\ByteBufUtil.java","39","1","507","2","0.0515873","1","6","2","0.0511727","0.0574713","24","20","10","3","3","68","9","26","68","21","40","1","0.169972","60","60","16","0","0.147059","60","0","0","0","0","0","293","404","4","0","4","0","19","0","15","0","19","194","0","15","0","348","469","37","53","8","0","27","0","15","0","415","214","0","329","47","0","1","90","0","17","0","0","0","0","14","0","1","0","1","4","0","0","12","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","22","0","0","0","0","0","0"
"L873","CompositeByteBuf","io.netty.buffer.CompositeByteBuf","L106","L103","buffer\src\main\java\io\netty\buffer\CompositeByteBuf.java","40","1","1618","2","0.38544","17","111","36","0.282457","0.334955","446","413","35","4","3","265","10","22","43","113","242","0.183486","0.105572","144","119","20","89","0.105874","146","4","4","0","0","1","1220","1563","16","25","7","9","129","0","108","19","264","728","0","229","34","1233","1579","20","25","11","9","131","0","108","19","266","731","0","229","34","0","8","441","3","82","0","1","0","0","177","0","1","0","1","12","4","0","60","236","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","22","8","0","0","0","0","0"
