"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L198","AbstractByteBuf","io.netty.buffer.AbstractByteBuf","L106","L103","buffer\src\main\java\io\netty\buffer\AbstractByteBuf.java","37","1","1158","2","0.087299","4","19","7","0.0686275","0.0803858","77","75","6","3","3","216","13","40","290","41","178","0.00869565","0.0209864","20","15","1","114","0.0209864","20","2","2","2","22","1","933","1122","7","21","7","16","137","0","114","14","170","457","0","147","19","933","1122","7","21","7","16","137","0","114","14","170","457","0","147","19","0","4","336","2","39","0","1","0","0","44","0","1","0","1","8","2","0","16","271","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","17","6","0","0","0","0","0"
"L792","AbstractByteBufAllocator","io.netty.buffer.AbstractByteBufAllocator","L106","L103","buffer\src\main\java\io\netty\buffer\AbstractByteBufAllocator.java","27","1","255","2","0","0","0","0","0","0","0","0","3","2","2","52","12","9","26","8","34","0.047619","0.10396","21","18","1","20","0.10396","21","1","1","2","2","1","181","229","5","0","4","0","26","0","20","0","27","76","1","21","0","181","229","5","0","4","0","26","0","20","0","27","76","1","21","0","0","0","53","1","14","0","0","0","0","0","0","1","0","0","0","1","0","15","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"L914","AbstractDerivedByteBuf","io.netty.buffer.AbstractDerivedByteBuf","L106","L103","buffer\src\main\java\io\netty\buffer\AbstractDerivedByteBuf.java","25","1","92","2","0","0","0","0","0","0","0","0","1","1","1","13","3","3","6","10","21","0.1","0.114754","7","7","1","9","0.114754","7","3","3","3","5","1","54","68","7","21","0","0","11","0","9","0","172","20","0","147","19","54","68","7","21","0","0","11","0","9","0","172","20","0","147","19","0","0","29","1","2","0","0","0","0","0","0","0","0","0","0","0","0","3","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0"
"L953","AbstractReferenceCountedByteBuf","io.netty.buffer.AbstractReferenceCountedByteBuf","L106","L103","buffer\src\main\java\io\netty\buffer\AbstractReferenceCountedByteBuf.java","27","1","150","2","0.527331","3","16","3","0.435484","0.504951","54","51","3","3","3","28","3","22","37","2","12","0.125","0.0818182","9","9","1","7","0.0818182","9","3","3","7","15","1","101","124","9","21","2","0","10","0","7","1","173","45","0","147","20","101","124","9","21","2","0","10","0","7","1","173","45","0","147","20","0","0","52","0","5","0","0","0","0","26","0","1","0","0","0","0","0","3","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","6","0","0","0","0","0","0"
"L818","AdvancedLeakAwareByteBuf","io.netty.buffer.AdvancedLeakAwareByteBuf","L106","L103","buffer\src\main\java\io\netty\buffer\AdvancedLeakAwareByteBuf.java","31","1","737","2","0","0","0","0","0","0","0","0","1","1","1","118","4","2","1","117","232","0","0","0","0","0","115","0","0","3","3","0","0","1","591","707","2","42","1","21","115","0","114","18","263","238","0","261","37","591","707","2","42","1","21","115","0","114","18","263","238","0","261","37","0","0","252","0","9","0","0","0","0","0","0","0","0","1","8","2","0","1","233","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0"
"L200","ByteBuf","io.netty.buffer.ByteBuf","L106","L103","buffer\src\main\java\io\netty\buffer\ByteBuf.java","233","1","1902","2","0","0","0","0","0","0","0","0","0","0","0","144","3","609","2045","0","144","0.972414","0.910301","1573","1573","141","4","0.910301","1573","1","1","5","31","1","155","1670","0","21","0","21","144","0","144","19","147","0","0","147","19","155","1670","0","21","0","21","144","0","144","19","147","0","0","147","19","0","0","27","0","8","0","0","0","0","0","0","0","0","1","8","1","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0"
"L2019","ByteBufInputStream","io.netty.buffer.ByteBufInputStream","L106","L103","buffer\src\main\java\io\netty\buffer\ByteBufInputStream.java","40","1","257","2","0.0656028","1","2","1","0.0504587","0.060241","11","10","3","3","3","42","1","10","12","13","39","0.153846","0.165829","33","33","4","22","0.165829","33","0","0","0","0","0","166","218","4","0","4","0","26","0","25","0","26","67","0","25","0","166","218","4","0","4","0","26","0","25","0","26","67","0","25","0","0","1","61","0","7","0","0","0","0","8","0","1","0","0","0","0","0","6","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1","0","0","0","0"
"L2111","ByteBufOutputStream","io.netty.buffer.ByteBufOutputStream","L106","L103","buffer\src\main\java\io\netty\buffer\ByteBufOutputStream.java","36","1","146","2","0","0","0","0","0","0","0","0","2","1","1","22","1","8","8","7","24","0.222222","0.209524","22","22","4","14","0.209524","22","0","0","0","0","0","83","111","3","0","3","0","17","0","17","0","17","30","0","17","0","83","111","3","0","3","0","17","0","17","0","17","30","0","17","0","0","1","33","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0"
"L2249","ByteBufUtil","io.netty.buffer.ByteBufUtil","L106","L103","buffer\src\main\java\io\netty\buffer\ByteBufUtil.java","46","1","857","2","0.0275424","1","6","2","0.0295567","0.035524","24","20","15","4","3","116","15","46","98","38","71","1","0.227964","150","129","28","0","0.210379","150","0","0","0","0","0","508","747","10","3","10","3","33","0","27","0","33","310","0","27","0","563","812","43","56","14","3","41","0","27","0","435","330","0","341","47","0","5","104","2","25","0","0","0","0","14","0","1","0","3","5","2","0","18","56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","28","4","3","0","0","0","0"
"L882","CompositeByteBuf","io.netty.buffer.CompositeByteBuf","L106","L103","buffer\src\main\java\io\netty\buffer\CompositeByteBuf.java","42","1","1683","2","0.344153","15","101","33","0.244823","0.291473","402","376","35","4","3","273","10","32","58","112","241","0.183486","0.103868","145","119","20","89","0.102296","147","4","4","0","0","1","1251","1597","17","25","8","9","129","0","108","19","265","731","0","229","34","1290","1642","23","25","14","9","134","0","111","19","270","743","0","232","34","0","8","433","5","87","0","1","0","0","158","0","2","0","1","12","4","0","67","245","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","23","8","0","0","0","0","0"
