"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L73142","AIXCLibrary","com.orientechnologies.nio.AIXCLibrary","L73121","L103","nativeos\src\main\java\com\orientechnologies\nio\AIXCLibrary.java","13","1","55","2","0","0","0","0","0","0","0","0","1","4","3","6","1","0","0","0","1","0.5","0.0952381","4","4","1","1","0.0952381","4","1","1","0","0","1","38","43","2","0","2","0","1","0","1","0","1","15","0","1","0","38","43","2","0","2","0","1","0","1","0","1","15","0","1","0","0","0","5","0","7","0","0","5","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"L73165","GeneralCLibrary","com.orientechnologies.nio.GeneralCLibrary","L73121","L103","nativeos\src\main\java\com\orientechnologies\nio\GeneralCLibrary.java","12","1","23","2","0","0","0","0","0","0","0","0","1","0","0","2","1","0","0","0","2","0.333333","0.285714","4","4","1","2","0.285714","4","1","1","0","0","1","10","12","0","0","0","0","2","0","2","0","2","1","0","2","0","10","12","0","0","0","0","2","0","2","0","2","1","0","2","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L73177","MemoryLocker","com.orientechnologies.nio.MemoryLocker","L73121","L103","nativeos\src\main\java\com\orientechnologies\nio\MemoryLocker.java","42","1","102","2","0.227545","2","10","2","0.213115","0.288889","13","13","1","3","3","12","2","0","0","4","6","1","0.262295","16","16","2","0","0.262295","16","0","0","0","0","0","45","61","0","0","0","0","2","0","1","0","2","25","0","1","0","45","61","0","0","0","0","2","0","1","0","2","25","0","1","0","0","1","13","0","2","0","0","2","0","11","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L73221","OCLibraryFactory","com.orientechnologies.nio.OCLibraryFactory","L73121","L103","nativeos\src\main\java\com\orientechnologies\nio\OCLibraryFactory.java","9","1","24","2","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","0.5","0.235294","4","4","1","1","0.235294","4","0","0","0","0","0","13","16","2","0","2","0","1","1","1","0","1","1","1","1","0","13","16","2","0","2","0","1","1","1","0","1","1","1","1","0","0","0","9","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"L73236","OJNADirectMemory","com.orientechnologies.nio.OJNADirectMemory","L73121","L103","nativeos\src\main\java\com\orientechnologies\nio\OJNADirectMemory.java","27","1","122","2","0","0","0","0","0","0","0","0","5","0","0","17","3","1","0","2","19","0.0555556","0.05","4","4","1","17","0.05","4","1","1","0","0","1","76","96","3","5","2","5","17","1","17","5","17","21","2","17","5","76","96","3","5","2","5","17","1","17","5","17","21","2","17","5","0","0","43","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
"L73296","JNADirectMemoryTest","com.orientechnologies.nio.JNADirectMemoryTest","L73121","L103","nativeos\src\test\java\com\orientechnologies\nio\JNADirectMemoryTest.java","34","1","201","2","0.129032","1","2","2","0.14881","0.162162","25","18","10","0","0","10","5","0","0","15","25","0.0909091","0.0347826","4","4","1","10","0.0347826","4","0","0","0","0","0","111","168","0","0","0","0","10","0","10","0","10","88","0","10","0","111","168","0","0","0","0","10","0","10","0","10","88","0","10","0","0","0","37","0","1","0","0","0","0","13","0","1","0","0","0","0","0","0","23","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L26076","OConstants","com.orientechnologies.orient.core.OConstants","L2187","L103","core\src\main\java\com\orientechnologies\orient\core\OConstants.java","18","1","44","2","0","0","0","0","0","0","0","0","0","1","1","4","0","11","7","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","21","27","2","2","2","2","2","2","2","0","2","12","2","2","0","21","27","2","2","2","2","2","2","2","0","2","12","2","2","0","0","0","11","0","3","0","0","2","0","0","0","0","0","0","0","0","0","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"L26085","Orient","com.orientechnologies.orient.core.Orient","L2187","L103","core\src\main\java\com\orientechnologies\orient\core\Orient.java","55","1","477","2","0","0","0","0","0","0","0","0","4","4","4","73","25","119","211","34","68","0.0909091","0.108824","37","20","3","30","0.108824","37","1","1","0","0","1","303","423","21","17","19","15","34","2","32","4","43","175","2","41","4","303","423","21","17","19","15","34","2","32","4","43","175","2","41","4","0","4","87","1","54","0","2","42","0","0","0","1","0","4","0","3","0","10","65","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","14","1","0","0","0","0","0"
"L26131","OrientShutdownHook","com.orientechnologies.orient.core.OrientShutdownHook","L2187","L103","core\src\main\java\com\orientechnologies\orient\core\OrientShutdownHook.java","18","1","37","2","0","0","0","0","0","0","0","0","2","1","1","4","1","1","2","2","5","0.333333","0.166667","3","3","1","2","0.166667","3","0","0","0","0","0","15","20","0","0","0","0","3","0","2","0","3","4","0","2","0","15","20","0","0","0","0","3","0","2","0","3","4","0","2","0","0","1","8","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L49903","OClientConnection","com.orientechnologies.orient.server.OClientConnection","L45752","L103","server\src\main\java\com\orientechnologies\orient\server\OClientConnection.java","28","1","92","2","0","0","0","0","0","0","0","0","2","1","1","15","8","11","8","2","10","0.111111","0.0535714","3","3","1","8","0.0535714","3","0","0","0","0","0","53","65","7","3","7","3","8","7","8","0","8","22","7","8","0","53","65","7","3","7","3","8","7","8","0","8","22","7","8","0","0","0","23","0","11","0","0","8","0","0","0","1","0","0","0","0","0","3","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
"L52735","OClientConnectionManager","com.orientechnologies.orient.server.OClientConnectionManager","L45752","L103","server\src\main\java\com\orientechnologies\orient\server\OClientConnectionManager.java","39","1","325","2","0","0","0","0","0","0","0","0","2","5","5","35","20","9","14","29","43","0.6","0.314815","68","58","9","6","0.283333","68","0","0","0","0","0","148","260","3","4","3","4","14","0","14","0","14","86","0","14","0","172","287","3","5","3","5","16","0","16","0","16","99","0","16","0","0","1","31","2","18","0","1","11","0","0","0","1","0","2","0","3","0","5","25","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0"
"L42002","OServer","com.orientechnologies.orient.server.OServer","L45752","L103","server\src\main\java\com\orientechnologies\orient\server\OServer.java","77","1","727","2","0","0","0","0","0","0","0","0","2","6","6","140","47","64","61","84","128","0.027027","0.0800781","41","12","1","36","0.0785441","41","0","0","0","0","0","471","641","19","18","19","18","44","0","36","1","44","283","0","36","1","481","651","19","19","19","19","45","0","37","1","45","289","0","37","1","0","7","121","9","166","0","1","84","0","0","0","1","0","10","0","6","0","89","94","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","10","5","1","0","0","0","2"
"L53052","OServerMain","com.orientechnologies.orient.server.OServerMain","L45752","L103","server\src\main\java\com\orientechnologies\orient\server\OServerMain.java","18","1","34","2","0","0","0","0","0","0","0","0","1","0","0","3","1","7","7","3","6","0","0","0","0","0","4","0","0","0","0","0","0","0","14","17","1","0","1","0","3","0","3","0","3","5","0","3","0","14","17","1","0","1","0","3","0","3","0","3","5","0","3","0","0","0","9","2","6","0","0","0","0","0","0","0","0","0","0","0","0","6","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"L52809","OServerShutdownHook","com.orientechnologies.orient.server.OServerShutdownHook","L45752","L103","server\src\main\java\com\orientechnologies\orient\server\OServerShutdownHook.java","20","1","44","2","0","0","0","0","0","0","0","0","2","1","1","5","2","1","2","3","6","0.333333","0.136364","3","3","1","2","0.136364","3","0","0","0","0","0","19","25","1","0","1","0","3","0","2","0","3","7","0","2","0","19","25","1","0","1","0","3","0","2","0","3","7","0","2","0","0","1","8","0","3","0","1","2","0","0","0","1","0","0","0","0","0","1","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L53066","OServerShutdownMain","com.orientechnologies.orient.server.OServerShutdownMain","L45752","L103","server\src\main\java\com\orientechnologies\orient\server\OServerShutdownMain.java","41","1","142","2","0","0","0","0","0","0","0","0","1","5","5","23","15","0","0","16","20","0.25","0.117021","11","6","1","3","0.117021","11","0","0","0","0","0","83","102","7","0","7","0","4","3","3","0","4","50","3","3","0","83","102","7","0","7","0","4","3","3","0","4","50","3","3","0","0","3","20","3","23","0","0","6","0","0","0","0","0","3","0","1","0","16","11","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","5","2","0","0","0","0","0"
"L54105","OConsoleDatabaseApp","com.orientechnologies.orient.console.OConsoleDatabaseApp","L66276","L103","tools\src\main\java\com\orientechnologies\orient\console\OConsoleDatabaseApp.java","95","1","2005","2","0.10114","5","34","10","0.102564","0.104659","196","155","5","6","6","325","84","3","7","189","308","0.114286","0.0320261","49","21","12","93","0.0317563","49","2","4","1","1","3","1481","1898","19","12","8","7","119","0","104","1","148","893","0","114","2","1494","1911","19","12","8","7","122","0","107","1","151","897","0","117","2","0","19","345","41","154","0","9","107","0","69","0","1","0","10","0","8","0","58","240","8","0","0","1","1","0","0","1","0","0","0","0","0","0","1","1","0","16","10","26","0","0","0","3"
"L66328","OConsoleDatabaseListener","com.orientechnologies.orient.console.OConsoleDatabaseListener","L66276","L103","tools\src\main\java\com\orientechnologies\orient\console\OConsoleDatabaseListener.java","6","1","45","2","0","0","0","0","0","0","0","0","10","0","0","13","3","1","1","1","12","0","0","0","0","0","12","0","0","1","1","0","0","1","29","40","1","0","1","0","11","0","11","0","11","3","0","11","0","29","40","1","0","1","0","11","0","11","0","11","3","0","11","0","0","2","26","0","10","0","0","0","0","0","0","1","0","0","1","0","0","11","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
