"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L77695","AIXCLibrary","com.orientechnologies.nio.AIXCLibrary","L77674","L103","nativeos\src\main\java\com\orientechnologies\nio\AIXCLibrary.java","13","1","55","2","0","0","0","0","0","0","0","0","1","4","3","6","1","0","0","0","1","0.5","0.0952381","4","4","1","1","0.0952381","4","1","1","0","0","1","38","43","2","0","2","0","1","0","1","0","1","15","0","1","0","38","43","2","0","2","0","1","0","1","0","1","15","0","1","0","0","0","5","0","7","0","0","5","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"L77718","GeneralCLibrary","com.orientechnologies.nio.GeneralCLibrary","L77674","L103","nativeos\src\main\java\com\orientechnologies\nio\GeneralCLibrary.java","12","1","23","2","0","0","0","0","0","0","0","0","1","0","0","2","1","0","0","0","2","0.333333","0.285714","4","4","1","2","0.285714","4","1","1","0","0","1","10","12","0","0","0","0","2","0","2","0","2","1","0","2","0","10","12","0","0","0","0","2","0","2","0","2","1","0","2","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L77730","MemoryLocker","com.orientechnologies.nio.MemoryLocker","L77674","L103","nativeos\src\main\java\com\orientechnologies\nio\MemoryLocker.java","42","1","102","2","0.227545","2","10","2","0.213115","0.288889","13","13","1","3","3","12","2","0","0","4","6","1","0.262295","16","16","2","0","0.262295","16","0","0","0","0","0","45","61","0","0","0","0","2","0","1","0","2","25","0","1","0","45","61","0","0","0","0","2","0","1","0","2","25","0","1","0","0","1","13","0","2","0","0","2","0","11","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L77774","OCLibraryFactory","com.orientechnologies.nio.OCLibraryFactory","L77674","L103","nativeos\src\main\java\com\orientechnologies\nio\OCLibraryFactory.java","9","1","24","2","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","0.5","0.235294","4","4","1","1","0.235294","4","0","0","0","0","0","13","16","2","0","2","0","1","1","1","0","1","1","1","1","0","13","16","2","0","2","0","1","1","1","0","1","1","1","1","0","0","0","9","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"L77789","OJNADirectMemory","com.orientechnologies.nio.OJNADirectMemory","L77674","L103","nativeos\src\main\java\com\orientechnologies\nio\OJNADirectMemory.java","27","1","115","2","0","0","0","0","0","0","0","0","6","0","0","16","3","1","0","2","18","0.0588235","0.0540541","4","4","1","16","0.0540541","4","1","1","0","0","1","70","89","3","5","2","5","16","1","16","5","16","18","2","16","5","70","89","3","5","2","5","16","1","16","5","16","18","2","16","5","0","0","41","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","1"
"L77845","JNADirectMemoryTest","com.orientechnologies.nio.JNADirectMemoryTest","L77674","L103","nativeos\src\test\java\com\orientechnologies\nio\JNADirectMemoryTest.java","34","1","188","2","0.137931","1","2","2","0.16129","0.176471","25","18","9","0","0","9","5","0","0","14","23","0.1","0.0377358","4","4","1","9","0.0377358","4","0","0","0","0","0","102","155","0","0","0","0","9","0","9","0","9","81","0","9","0","102","155","0","0","0","0","9","0","9","0","9","81","0","9","0","0","0","36","0","1","0","0","0","0","14","0","1","0","0","0","0","0","0","21","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L79770","OrientGraphConfiguration","com.tinkerpop.rexster.OrientGraphConfiguration","L79767","L103","graphdb\src\main\java\com\tinkerpop\rexster\OrientGraphConfiguration.java","36","1","83","2","0","0","0","0","0","0","0","0","1","1","1","5","2","0","0","2","3","0.5","0.622951","38","24","1","1","0.622951","38","0","0","0","0","0","23","48","0","0","0","0","1","0","1","0","1","14","0","1","0","23","48","0","0","0","0","1","0","1","0","1","14","0","1","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L30697","OConstants","com.orientechnologies.orient.core.OConstants","L2637","L103","core\src\main\java\com\orientechnologies\orient\core\OConstants.java","18","1","45","2","0","0","0","0","0","0","0","0","0","1","1","4","0","11","7","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","21","28","2","2","2","2","2","2","2","0","2","12","2","2","0","21","28","2","2","2","2","2","2","2","0","2","12","2","2","0","0","0","11","0","3","0","0","2","0","0","0","0","0","0","0","0","0","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"L30706","Orient","com.orientechnologies.orient.core.Orient","L2637","L103","core\src\main\java\com\orientechnologies\orient\core\Orient.java","50","1","511","2","0","0","0","0","0","0","0","0","4","4","4","78","26","119","209","38","75","0.0833333","0.101928","37","20","3","33","0.101604","38","1","1","0","0","1","326","451","22","19","20","17","37","2","35","4","46","188","2","44","4","336","462","22","19","20","17","38","2","36","4","47","193","2","45","4","0","4","99","2","58","0","2","45","0","0","0","1","0","4","0","4","0","11","76","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","14","2","0","0","0","0","2"
"L30758","OrientShutdownHook","com.orientechnologies.orient.core.OrientShutdownHook","L2637","L103","core\src\main\java\com\orientechnologies\orient\core\OrientShutdownHook.java","18","1","37","2","0","0","0","0","0","0","0","0","2","1","1","4","1","1","2","2","5","0.333333","0.166667","3","3","1","2","0.166667","3","0","0","0","0","0","15","20","0","0","0","0","3","0","2","0","3","4","0","2","0","15","20","0","0","0","0","3","0","2","0","3","4","0","2","0","0","1","8","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L54263","OClientConnection","com.orientechnologies.orient.server.OClientConnection","L51118","L103","server\src\main\java\com\orientechnologies\orient\server\OClientConnection.java","28","1","94","2","0","0","0","0","0","0","0","0","2","1","1","16","8","13","8","2","10","0.111111","0.0517241","3","3","1","8","0.0517241","3","0","0","0","0","0","55","67","7","3","7","3","8","7","8","0","8","22","7","8","0","55","67","7","3","7","3","8","7","8","0","8","22","7","8","0","0","0","23","0","12","0","0","8","0","0","0","1","0","0","0","0","0","4","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
"L57428","OClientConnectionManager","com.orientechnologies.orient.server.OClientConnectionManager","L51118","L103","server\src\main\java\com\orientechnologies\orient\server\OClientConnectionManager.java","45","1","331","2","0","0","0","0","0","0","0","0","2","5","5","35","20","10","15","29","43","0.6","0.314815","68","58","9","6","0.283333","68","0","0","0","0","0","148","260","3","4","3","4","14","0","14","0","14","86","0","14","0","172","287","3","5","3","5","16","0","16","0","16","99","0","16","0","0","1","31","2","18","0","1","11","0","0","0","1","0","2","0","3","0","5","25","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","1"
"L47329","OServer","com.orientechnologies.orient.server.OServer","L51118","L103","server\src\main\java\com\orientechnologies\orient\server\OServer.java","72","1","760","2","0","0","0","0","0","0","0","0","2","6","6","152","51","59","61","87","133","0.0263158","0.0819672","45","12","1","37","0.0805009","45","0","0","0","0","0","504","679","21","18","21","18","46","0","37","2","46","304","0","37","2","514","689","21","19","21","19","47","0","38","2","47","310","0","38","2","0","9","130","8","190","0","2","93","0","0","0","1","0","13","0","8","0","106","98","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","10","4","1","0","0","0","0"
"L57767","OServerMain","com.orientechnologies.orient.server.OServerMain","L51118","L103","server\src\main\java\com\orientechnologies\orient\server\OServerMain.java","18","1","34","2","0","0","0","0","0","0","0","0","1","0","0","3","1","9","9","3","6","0","0","0","0","0","4","0","0","0","0","0","0","0","14","17","1","0","1","0","3","0","3","0","3","5","0","3","0","14","17","1","0","1","0","3","0","3","0","3","5","0","3","0","0","0","9","2","6","0","0","0","0","0","0","0","0","0","0","0","0","6","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
