"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L5471","ClassUtils","com.cloudera.oryx.common.ClassUtils","L4228","L103","common\src\main\java\com\cloudera\oryx\common\ClassUtils.java","27","1","138","2","0","0","0","0","0","0","0","0","3","1","1","16","0","10","11","0","9","1","0.330189","35","35","7","0","0.330189","35","0","0","0","0","0","71","112","2","0","2","0","9","0","6","0","9","25","0","6","0","71","112","2","0","2","0","9","0","6","0","9","25","0","6","0","0","0","7","3","3","0","0","0","0","0","0","1","0","0","0","0","0","4","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"L6645","LangUtils","com.cloudera.oryx.common.LangUtils","L4228","L103","common\src\main\java\com\cloudera\oryx\common\LangUtils.java","27","1","66","2","0","0","0","0","0","0","0","0","3","0","0","4","0","11","16","0","4","1","0.55","22","22","4","0","0.55","22","0","0","0","0","0","18","40","0","0","0","0","4","0","3","0","4","8","0","3","0","18","40","0","0","0","0","4","0","3","0","4","8","0","3","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3981","ReloadingReference<V extends Object>","com.cloudera.oryx.common.ReloadingReference","L4228","L103","common\src\main\java\com\cloudera\oryx\common\ReloadingReference.java","36","1","163","2","0","0","0","0","0","0","0","0","1","3","3","18","0","3","7","0","7","1","0.368","46","39","7","0","0.368","46","0","0","0","0","0","79","128","8","0","8","0","7","0","6","0","7","39","0","6","0","79","128","8","0","8","0","7","0","6","0","7","39","0","6","0","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0"
"L7215","ClassUtilsTest","com.cloudera.oryx.common.ClassUtilsTest","L4228","L103","common\src\test\java\com\cloudera\oryx\common\ClassUtilsTest.java","28","1","45","2","0","0","0","0","0","0","0","0","2","0","0","2","2","0","0","3","5","0.333333","0.25","5","5","1","2","0.25","5","1","1","0","0","1","15","18","3","2","0","0","2","0","2","0","18","4","0","8","2","15","18","3","2","0","0","2","0","2","0","18","4","0","8","2","0","0","6","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","5","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7225","LangUtilsTest","com.cloudera.oryx.common.LangUtilsTest","L4228","L103","common\src\test\java\com\cloudera\oryx\common\LangUtilsTest.java","25","1","56","2","0","0","0","0","0","0","0","0","6","0","0","6","2","0","0","4","10","0.142857","0.16129","5","5","1","6","0.16129","5","1","1","0","0","1","26","32","3","2","0","0","6","0","6","0","22","6","0","12","2","26","32","3","2","0","0","6","0","6","0","22","6","0","12","2","0","0","16","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","15","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L155","OryxTest","com.cloudera.oryx.common.OryxTest","L4228","L103","common\src\test\java\com\cloudera\oryx\common\OryxTest.java","39","1","166","2","0","0","0","0","0","0","0","0","8","2","2","22","4","73","176","6","22","0.428571","0.336283","38","36","3","4","0.336283","38","0","0","63","73","0","75","128","3","2","3","2","16","0","6","2","16","31","0","6","2","75","128","3","2","3","2","16","0","6","2","16","31","0","6","2","0","0","22","0","6","0","0","0","0","0","0","1","0","0","0","0","0","6","19","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7281","ReloadingReferenceTest","com.cloudera.oryx.common.ReloadingReferenceTest","L4228","L103","common\src\test\java\com\cloudera\oryx\common\ReloadingReferenceTest.java","29","1","65","2","0","0","0","0","0","0","0","0","2","0","0","2","2","0","0","5","7","0.333333","0.172414","5","5","1","2","0.128205","5","1","1","0","0","1","24","27","3","2","0","0","2","0","2","0","18","14","0","8","2","34","37","5","2","2","0","4","0","4","0","20","16","0","10","2","0","0","18","2","10","0","0","0","0","0","0","1","0","0","0","0","0","0","17","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"L9440","PeriodicRunner","com.cloudera.oryx.computation.PeriodicRunner","L7305","L103","computation\src\main\java\com\cloudera\oryx\computation\PeriodicRunner.java","63","1","280","2","0","0","0","0","0","0","0","0","1","3","3","34","17","5","6","16","26","0.142857","0.0706522","13","7","1","6","0.0691489","13","0","0","0","0","0","171","214","12","1","12","1","10","0","6","0","10","89","0","6","0","175","218","12","1","12","1","11","0","7","0","11","90","0","7","0","0","0","32","1","16","0","0","0","0","0","0","0","0","1","0","1","0","12","28","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2","0","0","2","1","0","0","0","0","1"
"L9447","PeriodicRunnerState","com.cloudera.oryx.computation.PeriodicRunnerState","L7305","L103","computation\src\main\java\com\cloudera\oryx\computation\PeriodicRunnerState.java","29","1","74","2","0","0","0","0","0","0","0","0","1","0","0","8","1","4","3","0","7","0.333333","0.190476","8","8","2","4","0.190476","8","0","0","0","0","0","34","46","4","3","4","3","7","0","5","0","7","10","0","5","0","34","46","4","3","4","3","7","0","5","0","7","10","0","5","0","0","0","15","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","15","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9644","Runner","com.cloudera.oryx.computation.Runner","L7305","L103","computation\src\main\java\com\cloudera\oryx\computation\Runner.java","84","1","358","2","0.239645","5","13","5","0.243636","0.293023","67","63","1","3","3","37","16","1","1","19","34","0.4","0.0905172","21","17","2","3","0.0889831","21","0","0","0","0","0","211","271","6","1","6","1","15","0","4","0","15","138","0","4","0","215","275","6","1","6","1","16","0","5","0","16","139","0","5","0","0","0","84","1","4","0","0","0","0","46","0","0","0","0","1","1","0","2","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","1"
"L13801","Runner","com.cloudera.oryx.serving.Runner","L13558","L103","serving\src\main\java\com\cloudera\oryx\serving\Runner.java","101","1","378","2","0.23187","5","13","5","0.241007","0.291667","67","63","1","3","3","35","15","1","1","19","33","0.5","0.171875","44","35","3","3","0.169231","44","0","0","0","0","0","212","274","7","0","7","0","14","0","5","0","14","136","0","5","0","216","278","7","0","7","0","15","0","6","0","15","137","0","6","0","0","0","81","1","3","0","0","0","0","46","0","0","0","0","0","2","0","2","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","2"
"L443","ByValueAscComparator","com.cloudera.oryx.als.common.ByValueAscComparator","L108","L103","als-common\src\main\java\com\cloudera\oryx\als\common\ByValueAscComparator.java","27","1","56","2","0","0","0","0","0","0","0","0","1","1","1","6","1","2","0","2","4","0.5","0.21875","7","6","1","1","0.21875","7","0","0","0","0","0","25","30","1","0","1","0","2","0","1","0","2","13","0","1","0","25","30","1","0","1","0","2","0","1","0","2","13","0","1","0","0","0","7","1","2","0","0","0","0","0","0","0","0","0","1","0","0","1","7","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L468","DataUtils","com.cloudera.oryx.als.common.DataUtils","L108","L103","als-common\src\main\java\com\cloudera\oryx\als\common\DataUtils.java","27","1","49","2","0","0","0","0","0","0","0","0","1","1","1","3","1","4","5","1","3","1","0.416667","10","10","2","0","0.416667","10","0","0","0","0","0","14","23","1","0","1","0","2","0","1","0","2","8","0","1","0","14","23","1","0","1","0","2","0","1","0","2","8","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L749","IDValue","com.cloudera.oryx.als.common.IDValue","L108","L103","als-common\src\main\java\com\cloudera\oryx\als\common\IDValue.java","25","1","76","2","0","0","0","0","0","0","0","0","1","1","1","12","0","7","32","0","6","0.571429","0.346939","17","17","4","3","0.346939","17","0","0","0","0","0","32","52","2","2","2","2","6","0","6","0","6","10","0","6","0","32","52","2","2","2","2","6","0","6","0","6","10","0","6","0","0","0","7","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","7","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L777","NoSuchItemException","com.cloudera.oryx.als.common.NoSuchItemException","L108","L103","als-common\src\main\java\com\cloudera\oryx\als\common\NoSuchItemException.java","24","1","34","2","0","0","0","0","0","0","0","0","0","0","0","2","0","9","6","0","2","0.333333","0.428571","6","6","1","2","0.428571","6","0","0","0","0","0","8","11","0","0","0","0","2","0","2","0","2","2","0","2","0","8","11","0","0","0","0","2","0","2","0","2","2","0","2","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L788","NoSuchUserException","com.cloudera.oryx.als.common.NoSuchUserException","L108","L103","als-common\src\main\java\com\cloudera\oryx\als\common\NoSuchUserException.java","24","1","36","2","0","0","0","0","0","0","0","0","0","0","0","3","0","7","2","0","3","0.25","0.4","6","6","1","3","0.4","6","0","0","0","0","0","9","13","0","0","0","0","3","0","3","0","3","2","0","3","0","9","13","0","0","0","0","3","0","3","0","3","2","0","3","0","0","0","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L798","NotReadyException","com.cloudera.oryx.als.common.NotReadyException","L108","L103","als-common\src\main\java\com\cloudera\oryx\als\common\NotReadyException.java","23","1","24","2","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","1","0.714286","5","5","1","0","0.714286","5","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L447","NumericIDValue","com.cloudera.oryx.als.common.NumericIDValue","L108","L103","als-common\src\main\java\com\cloudera\oryx\als\common\NumericIDValue.java","27","1","74","2","0","0","0","0","0","0","0","0","1","1","1","10","0","28","32","0","8","0.111111","0.116279","5","5","1","8","0.116279","5","0","0","0","0","0","38","48","2","2","2","2","8","0","8","0","8","14","0","8","0","38","48","2","2","2","2","8","0","8","0","8","14","0","8","0","0","0","19","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","19","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1085","StringLongMapping","com.cloudera.oryx.als.common.StringLongMapping","L108","L103","als-common\src\main\java\com\cloudera\oryx\als\common\StringLongMapping.java","34","1","113","2","0","0","0","0","0","0","0","0","1","1","1","10","2","22","35","4","11","0.625","0.402597","31","31","5","3","0.402597","31","0","0","0","0","0","46","80","3","2","3","2","7","0","7","0","7","22","0","7","0","46","80","3","2","3","2","7","0","7","0","7","22","0","7","0","0","0","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"L1149","TopN","com.cloudera.oryx.als.common.TopN","L108","L103","als-common\src\main\java\com\cloudera\oryx\als\common\TopN.java","50","1","164","2","0","0","0","0","0","0","0","0","2","5","5","17","2","9","17","4","10","1","0.336364","37","36","6","0","0.336364","37","0","0","0","0","0","73","115","0","0","0","0","6","0","5","0","6","40","0","5","0","73","115","0","0","0","0","6","0","5","0","6","40","0","5","0","0","0","6","0","2","0","0","0","0","0","0","1","0","3","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"L1216","ByValueAscComparatorTest","com.cloudera.oryx.als.common.ByValueAscComparatorTest","L108","L103","als-common\src\test\java\com\cloudera\oryx\als\common\ByValueAscComparatorTest.java","27","1","47","2","0","0","0","0","0","0","0","0","1","0","0","2","3","0","0","2","4","0.333333","0.217391","5","5","1","2","0.217391","5","1","1","0","0","1","18","21","3","2","0","0","2","0","2","0","18","10","0","8","2","18","21","3","2","0","0","2","0","2","0","18","10","0","8","2","0","0","7","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1225","DataUtilsTest","com.cloudera.oryx.als.common.DataUtilsTest","L108","L103","als-common\src\test\java\com\cloudera\oryx\als\common\DataUtilsTest.java","27","1","42","2","0","0","0","0","0","0","0","0","2","0","0","2","2","0","0","2","4","0.333333","0.277778","5","5","1","2","0.277778","5","1","1","0","0","1","13","16","3","2","0","0","2","0","2","0","18","5","0","8","2","13","16","3","2","0","0","2","0","2","0","18","5","0","8","2","0","0","6","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","5","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1231","StringLongMappingTest","com.cloudera.oryx.als.common.StringLongMappingTest","L108","L103","als-common\src\test\java\com\cloudera\oryx\als\common\StringLongMappingTest.java","28","1","62","2","0","0","0","0","0","0","0","0","2","0","0","5","3","0","0","8","13","0.166667","0.176471","6","5","1","5","0.176471","6","1","1","0","0","1","28","35","3","2","0","0","5","0","5","0","21","11","0","11","2","28","35","3","2","0","0","5","0","5","0","21","11","0","11","2","0","0","14","1","7","0","0","0","0","0","0","1","0","0","0","0","0","0","13","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"L1245","TopNTest","com.cloudera.oryx.als.common.TopNTest","L108","L103","als-common\src\test\java\com\cloudera\oryx\als\common\TopNTest.java","34","1","100","2","0.6375","1","3","3","0.492537","0.559322","33","33","1","1","1","7","3","0","0","6","12","0.166667","0.078125","5","5","1","5","0.078125","5","1","1","0","0","1","59","67","3","2","0","0","6","0","5","0","22","41","0","11","2","59","67","3","2","0","0","6","0","5","0","22","41","0","11","2","0","0","38","0","29","0","0","0","0","23","0","0","0","0","0","0","0","0","15","0","0","0","0","0","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1301","AbstractComputationIT","com.cloudera.oryx.als.computation.AbstractComputationIT","L1271","L103","als-computation\src\it\java\com\cloudera\oryx\als\computation\AbstractComputationIT.java","37","1","89","2","0.484076","1","2","1","0.283019","0.289474","15","11","1","1","1","7","6","6","53","10","15","0.333333","0.116279","5","5","1","2","0.116279","5","1","1","6","6","1","38","53","6","5","3","3","5","0","2","1","21","18","0","8","3","38","53","6","5","3","3","5","0","2","1","21","18","0","8","3","0","0","24","0","3","0","0","0","0","11","0","0","0","0","2","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"L1353","AlmostTooHighLambdaIT","com.cloudera.oryx.als.computation.AlmostTooHighLambdaIT","L1271","L103","als-computation\src\it\java\com\cloudera\oryx\als\computation\AlmostTooHighLambdaIT.java","29","1","42","2","0","0","0","0","0","0","0","0","1","0","0","2","3","0","0","3","5","0.5","0.3125","5","5","1","1","0.3125","5","2","2","0","0","1","11","14","6","5","0","1","2","0","1","0","22","3","0","9","3","11","14","6","5","0","1","2","0","1","0","22","3","0","9","3","0","0","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"L1362","LoadIT","com.cloudera.oryx.als.computation.LoadIT","L1271","L103","als-computation\src\it\java\com\cloudera\oryx\als\computation\LoadIT.java","34","1","55","2","0","0","0","0","0","0","0","0","1","0","0","2","4","0","0","5","7","0.5","0.291667","7","6","1","1","0.291667","7","2","2","0","0","1","17","22","7","5","1","1","2","0","1","0","22","8","0","9","3","17","22","7","5","1","1","2","0","1","0","22","8","0","9","3","0","0","5","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"L1370","LoadRunner","com.cloudera.oryx.als.computation.LoadRunner","L1271","L103","als-computation\src\it\java\com\cloudera\oryx\als\computation\LoadRunner.java","50","1","210","2","0","0","0","0","0","0","0","0","1","3","3","8","6","2","1","5","9","0.4","0.111111","10","10","2","3","0.0666667","10","0","0","0","0","0","80","101","5","1","5","1","4","0","4","0","4","59","0","4","0","140","161","5","1","5","1","5","0","5","0","5","114","0","5","0","0","1","20","2","3","0","1","0","0","0","0","0","0","3","0","1","0","0","16","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0"
"L1470","RepeatedFoldInIT","com.cloudera.oryx.als.computation.RepeatedFoldInIT","L1271","L103","als-computation\src\it\java\com\cloudera\oryx\als\computation\RepeatedFoldInIT.java","33","1","55","2","0","0","0","0","0","0","0","0","1","1","1","3","3","0","0","7","9","0.5","0.285714","8","8","1","1","0.285714","8","2","2","0","0","1","20","23","6","5","0","1","2","0","1","0","22","13","0","9","3","20","23","6","5","0","1","2","0","1","0","22","13","0","9","3","0","0","5","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"L1485","SimpleIT","com.cloudera.oryx.als.computation.SimpleIT","L1271","L103","als-computation\src\it\java\com\cloudera\oryx\als\computation\SimpleIT.java","39","1","401","2","0.841975","15","27","17","0.785124","0.801527","285","210","1","1","1","31","6","0","0","21","45","0.0416667","0.0642857","18","6","1","23","0.0642857","18","2","2","0","0","1","262","363","7","5","1","1","24","0","23","0","44","168","0","31","3","262","363","7","5","1","1","24","0","23","0","44","168","0","31","3","0","0","155","24","90","0","0","0","0","102","0","0","0","0","0","0","0","0","51","0","0","0","0","0","89","0","0","0","0","0","0","0","0","1","0","0","2","0","1","23","0","0","0"
"L1544","SimpleNonnumericDataIT","com.cloudera.oryx.als.computation.SimpleNonnumericDataIT","L1271","L103","als-computation\src\it\java\com\cloudera\oryx\als\computation\SimpleNonnumericDataIT.java","40","1","402","2","0.841975","15","27","17","0.785124","0.801527","285","210","1","1","1","31","6","0","0","21","45","0.0416667","0.0676157","19","7","1","23","0.0676157","19","2","2","0","0","1","262","363","7","5","1","1","24","0","23","0","44","168","0","31","3","262","363","7","5","1","1","24","0","23","0","44","168","0","31","3","0","0","155","25","90","0","0","0","0","102","0","0","0","0","0","0","0","0","51","0","0","0","0","0","89","0","0","0","0","0","0","0","0","1","0","0","2","0","2","23","0","0","0"
"L1575","TinyTagsIT","com.cloudera.oryx.als.computation.TinyTagsIT","L1271","L103","als-computation\src\it\java\com\cloudera\oryx\als\computation\TinyTagsIT.java","35","1","83","2","0","0","0","0","0","0","0","0","1","0","0","5","4","0","0","9","14","0.2","0.142857","7","7","1","4","0.142857","7","2","2","0","0","1","42","49","8","5","2","1","5","0","4","0","25","23","0","12","3","42","49","8","5","2","1","5","0","4","0","25","23","0","12","3","0","0","13","4","11","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","10","0","0","0","0","0","0","0","0","1","0","0","0","0","0","4","0","0","0"
"L1589","ALSDistributedGenerationRunner","com.cloudera.oryx.als.computation.ALSDistributedGenerationRunner","L1271","L103","als-computation\src\main\java\com\cloudera\oryx\als\computation\ALSDistributedGenerationRunner.java","187","1","410","2","0","0","0","0","0","0","0","0","1","4","4","36","37","1","0","44","54","1","0.399371","127","120","1","0","0.399371","127","2","2","0","0","1","191","224","13","7","1","3","10","0","0","0","31","125","0","2","0","191","224","13","7","1","3","10","0","0","0","31","125","0","2","0","0","0","25","0","3","0","0","0","0","0","0","0","0","2","0","3","0","2","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"L1756","ALSJobStep","com.cloudera.oryx.als.computation.ALSJobStep","L1271","L103","als-computation\src\main\java\com\cloudera\oryx\als\computation\ALSJobStep.java","20","1","32","2","0","0","0","0","0","0","0","0","1","0","0","2","2","14","15","2","4","0","0","0","0","0","1","0","0","2","2","9","20","1","10","13","6","6","0","1","2","0","0","0","28","2","1","4","0","10","13","6","6","0","1","2","0","0","0","28","2","1","4","0","0","0","9","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"L1682","ALSJobStepConfig","com.cloudera.oryx.als.computation.ALSJobStepConfig","L1271","L103","als-computation\src\main\java\com\cloudera\oryx\als\computation\ALSJobStepConfig.java","22","1","60","2","0","0","0","0","0","0","0","0","1","0","0","4","1","3","3","5","9","0","0","0","0","0","5","0","0","1","1","0","0","1","33","39","5","4","1","0","4","0","4","0","10","7","0","9","0","33","39","5","4","1","0","4","0","4","0","10","7","0","9","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"L1793","ComputationDataUtils","com.cloudera.oryx.als.computation.ComputationDataUtils","L1271","L103","als-computation\src\main\java\com\cloudera\oryx\als\computation\ComputationDataUtils.java","47","1","119","2","0","0","0","0","0","0","0","0","2","2","2","11","6","3","3","11","15","0.333333","0.102941","7","6","1","2","0.102941","7","0","0","0","0","0","61","73","2","0","2","0","4","0","2","0","4","29","0","2","0","61","73","2","0","2","0","4","0","2","0","4","29","0","2","0","0","0","12","0","3","0","0","0","0","0","0","1","0","0","0","0","0","2","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"L1848","IDMappingState","com.cloudera.oryx.als.computation.IDMappingState","L1271","L103","als-computation\src\main\java\com\cloudera\oryx\als\computation\IDMappingState.java","27","1","55","2","0","0","0","0","0","0","0","0","1","2","2","5","4","4","4","7","10","0","0","0","0","0","3","0","0","0","0","0","0","0","23","29","2","1","2","1","3","1","2","0","3","11","1","2","0","23","29","2","1","2","1","3","1","2","0","3","11","1","2","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"L3489","AbstractRescorerProvider","com.cloudera.oryx.als.serving.AbstractRescorerProvider","L3010","L103","als-serving\src\main\java\com\cloudera\oryx\als\serving\AbstractRescorerProvider.java","32","1","85","2","0","0","0","0","0","0","0","0","1","1","1","9","6","2","0","2","7","1","0.396226","21","21","6","0","0.396226","21","1","1","2","2","1","32","54","0","4","0","4","5","0","5","0","5","13","0","5","0","32","54","0","4","0","4","5","0","5","0","5","13","0","5","0","0","0","2","4","1","0","0","0","0","0","0","0","0","0","0","0","0","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
