"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L5835","ClassUtils","com.cloudera.oryx.common.ClassUtils","L4474","L103","common\src\main\java\com\cloudera\oryx\common\ClassUtils.java","27","1","154","2","0","0","0","0","0","0","0","0","3","1","1","16","0","10","11","0","9","1","0.418033","51","51","7","0","0.418033","51","0","0","0","0","0","71","128","2","0","2","0","9","0","6","0","9","25","0","6","0","71","128","2","0","2","0","9","0","6","0","9","25","0","6","0","0","0","7","3","3","0","0","0","0","0","0","1","0","0","0","0","0","4","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"L6912","LangUtils","com.cloudera.oryx.common.LangUtils","L4474","L103","common\src\main\java\com\cloudera\oryx\common\LangUtils.java","27","1","70","2","0","0","0","0","0","0","0","0","3","0","0","4","0","12","17","0","4","1","0.590909","26","26","4","0","0.590909","26","0","0","0","0","0","18","44","0","0","0","0","4","0","3","0","4","8","0","3","0","18","44","0","0","0","0","4","0","3","0","4","8","0","3","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3850","ReloadingReference<V extends Object>","com.cloudera.oryx.common.ReloadingReference","L4474","L103","common\src\main\java\com\cloudera\oryx\common\ReloadingReference.java","36","1","167","2","0","0","0","0","0","0","0","0","1","3","3","18","0","3","7","0","7","1","0.387597","50","43","7","0","0.387597","50","0","0","0","0","0","79","132","8","0","8","0","7","0","6","0","7","39","0","6","0","79","132","8","0","8","0","7","0","6","0","7","39","0","6","0","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0"
"L7482","ClassUtilsTest","com.cloudera.oryx.common.ClassUtilsTest","L4474","L103","common\src\test\java\com\cloudera\oryx\common\ClassUtilsTest.java","28","1","45","2","0","0","0","0","0","0","0","0","2","0","0","2","2","0","0","3","5","0.333333","0.25","5","5","1","2","0.25","5","1","1","0","0","1","15","18","3","2","0","0","2","0","2","0","18","4","0","8","2","15","18","3","2","0","0","2","0","2","0","18","4","0","8","2","0","0","6","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","5","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7490","LangUtilsTest","com.cloudera.oryx.common.LangUtilsTest","L4474","L103","common\src\test\java\com\cloudera\oryx\common\LangUtilsTest.java","25","1","56","2","0","0","0","0","0","0","0","0","6","0","0","6","2","0","0","4","10","0.142857","0.16129","5","5","1","6","0.16129","5","1","1","0","0","1","26","32","3","2","0","0","6","0","6","0","22","6","0","12","2","26","32","3","2","0","0","6","0","6","0","22","6","0","12","2","0","0","16","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","15","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L156","OryxTest","com.cloudera.oryx.common.OryxTest","L4474","L103","common\src\test\java\com\cloudera\oryx\common\OryxTest.java","39","1","166","2","0","0","0","0","0","0","0","0","8","2","2","22","4","77","182","6","22","0.428571","0.336283","38","36","3","4","0.336283","38","0","0","64","77","0","75","128","3","2","3","2","16","0","6","2","16","31","0","6","2","75","128","3","2","3","2","16","0","6","2","16","31","0","6","2","0","0","22","0","6","0","0","0","0","0","0","1","0","0","0","0","0","6","19","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7544","ReloadingReferenceTest","com.cloudera.oryx.common.ReloadingReferenceTest","L4474","L103","common\src\test\java\com\cloudera\oryx\common\ReloadingReferenceTest.java","29","1","65","2","0","0","0","0","0","0","0","0","2","0","0","2","2","0","0","5","7","0.333333","0.172414","5","5","1","2","0.128205","5","1","1","0","0","1","24","27","3","2","0","0","2","0","2","0","18","14","0","8","2","34","37","5","2","2","0","4","0","4","0","20","16","0","10","2","0","0","18","2","10","0","0","0","0","0","0","1","0","0","0","0","0","0","17","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"L9565","PeriodicRunner","com.cloudera.oryx.computation.PeriodicRunner","L7568","L103","computation\src\main\java\com\cloudera\oryx\computation\PeriodicRunner.java","63","1","284","2","0","0","0","0","0","0","0","0","1","3","3","34","17","3","4","15","25","0.142857","0.0691489","13","7","1","6","0.0677083","13","0","0","0","0","0","175","218","12","1","12","1","10","0","6","0","10","91","0","6","0","179","222","12","1","12","1","11","0","7","0","11","92","0","7","0","0","0","32","1","16","0","0","0","0","0","0","0","0","1","0","1","0","12","28","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2","0","0","2","1","0","0","0","0","1"
"L9612","PeriodicRunnerState","com.cloudera.oryx.computation.PeriodicRunnerState","L7568","L103","computation\src\main\java\com\cloudera\oryx\computation\PeriodicRunnerState.java","29","1","74","2","0","0","0","0","0","0","0","0","1","0","0","8","1","2","1","0","7","0.333333","0.190476","8","8","2","4","0.190476","8","0","0","0","0","0","34","46","4","3","4","3","7","0","5","0","7","10","0","5","0","34","46","4","3","4","3","7","0","5","0","7","10","0","5","0","0","0","15","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","15","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9692","Runner","com.cloudera.oryx.computation.Runner","L7568","L103","computation\src\main\java\com\cloudera\oryx\computation\Runner.java","77","1","333","2","0.303688","6","16","6","0.303502","0.37931","78","77","1","3","3","33","10","1","1","15","29","0.4","0.0954545","21","17","2","3","0.09375","21","0","0","0","0","0","199","253","6","0","6","0","14","0","4","0","14","128","0","4","0","203","257","6","0","6","0","15","0","5","0","15","129","0","5","0","0","0","89","1","5","0","0","0","0","52","0","0","0","0","1","0","0","3","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0"
