"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L5942","ClassUtils","com.cloudera.oryx.common.ClassUtils","L4572","L103","common\src\main\java\com\cloudera\oryx\common\ClassUtils.java","27","1","150","2","0","0","0","0","0","0","0","0","3","1","1","14","0","9","10","0","9","1","0.432203","51","51","7","0","0.432203","51","0","0","0","0","0","67","124","2","0","2","0","9","0","6","0","9","23","0","6","0","67","124","2","0","2","0","9","0","6","0","9","23","0","6","0","0","0","7","1","3","0","0","0","0","0","0","1","0","0","0","0","0","4","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7023","LangUtils","com.cloudera.oryx.common.LangUtils","L4572","L103","common\src\main\java\com\cloudera\oryx\common\LangUtils.java","25","1","69","2","0","0","0","0","0","0","0","0","3","0","0","6","0","12","17","0","4","1","0.6","27","27","4","0","0.6","27","0","0","0","0","0","18","45","0","0","0","0","4","0","3","0","4","8","0","3","0","18","45","0","0","0","0","4","0","3","0","4","8","0","3","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3924","ReloadingReference<V extends Object>","com.cloudera.oryx.common.ReloadingReference","L4572","L103","common\src\main\java\com\cloudera\oryx\common\ReloadingReference.java","36","1","167","2","0","0","0","0","0","0","0","0","1","3","3","18","0","3","7","0","7","1","0.387597","50","43","7","0","0.387597","50","0","0","0","0","0","79","132","8","0","8","0","7","0","6","0","7","39","0","6","0","79","132","8","0","8","0","7","0","6","0","7","39","0","6","0","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0"
"L7598","ClassUtilsTest","com.cloudera.oryx.common.ClassUtilsTest","L4572","L103","common\src\test\java\com\cloudera\oryx\common\ClassUtilsTest.java","28","1","45","2","0","0","0","0","0","0","0","0","2","0","0","2","2","0","0","3","5","0.333333","0.25","5","5","1","2","0.25","5","1","1","0","0","1","15","18","3","2","0","0","2","0","2","0","18","4","0","8","2","15","18","3","2","0","0","2","0","2","0","18","4","0","8","2","0","0","6","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","5","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7606","LangUtilsTest","com.cloudera.oryx.common.LangUtilsTest","L4572","L103","common\src\test\java\com\cloudera\oryx\common\LangUtilsTest.java","25","1","56","2","0","0","0","0","0","0","0","0","6","0","0","6","2","0","0","4","10","0.142857","0.16129","5","5","1","6","0.16129","5","1","1","0","0","1","26","32","3","2","0","0","6","0","6","0","22","6","0","12","2","26","32","3","2","0","0","6","0","6","0","22","6","0","12","2","0","0","16","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","15","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L156","OryxTest","com.cloudera.oryx.common.OryxTest","L4572","L103","common\src\test\java\com\cloudera\oryx\common\OryxTest.java","39","1","166","2","0","0","0","0","0","0","0","0","8","2","2","22","4","77","180","6","22","0.428571","0.336283","38","36","3","4","0.336283","38","0","0","64","77","0","75","128","3","2","3","2","16","0","6","2","16","31","0","6","2","75","128","3","2","3","2","16","0","6","2","16","31","0","6","2","0","0","22","0","6","0","0","0","0","0","0","1","0","0","0","0","0","6","19","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7660","ReloadingReferenceTest","com.cloudera.oryx.common.ReloadingReferenceTest","L4572","L103","common\src\test\java\com\cloudera\oryx\common\ReloadingReferenceTest.java","29","1","65","2","0","0","0","0","0","0","0","0","2","0","0","2","2","0","0","5","7","0.333333","0.172414","5","5","1","2","0.128205","5","1","1","0","0","1","24","27","3","2","0","0","2","0","2","0","18","14","0","8","2","34","37","5","2","2","0","4","0","4","0","20","16","0","10","2","0","0","18","2","10","0","0","0","0","0","0","1","0","0","0","0","0","0","17","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"L9747","PeriodicRunner","com.cloudera.oryx.computation.PeriodicRunner","L7684","L103","computation\src\main\java\com\cloudera\oryx\computation\PeriodicRunner.java","63","1","273","2","0","0","0","0","0","0","0","0","1","3","3","32","17","3","4","16","26","0.142857","0.0677966","12","7","1","6","0.0662983","12","0","0","0","0","0","165","207","12","1","12","1","10","0","6","0","10","84","0","6","0","169","211","12","1","12","1","11","0","7","0","11","85","0","7","0","0","0","32","1","16","0","0","0","0","0","0","0","0","1","0","1","0","12","28","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2","0","0","2","1","0","0","0","0","0"
"L9797","PeriodicRunnerState","com.cloudera.oryx.computation.PeriodicRunnerState","L7684","L103","computation\src\main\java\com\cloudera\oryx\computation\PeriodicRunnerState.java","29","1","74","2","0","0","0","0","0","0","0","0","1","0","0","8","1","2","1","0","7","0.333333","0.190476","8","8","2","4","0.190476","8","0","0","0","0","0","34","46","4","3","4","3","7","0","5","0","7","10","0","5","0","34","46","4","3","4","3","7","0","5","0","7","10","0","5","0","0","0","15","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","15","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9880","Runner","com.cloudera.oryx.computation.Runner","L7684","L103","computation\src\main\java\com\cloudera\oryx\computation\Runner.java","78","1","331","2","0.299127","6","16","6","0.295276","0.37","75","74","1","3","3","33","10","1","1","15","29","0.4","0.100917","22","18","2","3","0.0990991","22","0","0","0","0","0","196","250","6","0","6","0","14","0","4","0","14","126","0","4","0","200","254","6","0","6","0","15","0","5","0","15","127","0","5","0","0","0","89","1","5","0","0","0","0","52","0","0","0","0","1","0","0","3","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0"
