"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L4685","BerkeleyJeStorageSetup","com.thinkaurelius.titan.BerkeleyJeStorageSetup","L106","L103","titan-berkeleyje\src\test\java\com\thinkaurelius\titan\BerkeleyJeStorageSetup.java","13","1","30","2","0","0","0","0","0","0","0","0","0","0","0","2","2","9","9","1","3","0","0","0","0","0","3","0","0","1","1","0","0","1","13","18","0","6","0","2","2","0","2","0","8","7","0","8","0","13","18","0","6","0","2","2","0","2","0","8","7","0","8","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12218","CassandraStorageSetup","com.thinkaurelius.titan.CassandraStorageSetup","L106","L103","titan-cassandra\src\test\java\com\thinkaurelius\titan\CassandraStorageSetup.java","11","1","84","2","0","0","0","0","0","0","0","0","0","1","1","8","2","33","35","0","7","0","0","0","0","0","8","0","0","0","0","0","0","0","62","74","3","7","3","7","7","3","7","0","7","26","3","7","0","62","74","3","7","3","7","7","3","7","0","7","26","3","7","0","0","0","22","2","4","0","2","1","0","0","0","0","0","0","0","0","0","1","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","5","0","0","0","0","0","1"
"L13653","HBaseStorageSetup","com.thinkaurelius.titan.HBaseStorageSetup","L106","L103","titan-hbase\src\test\java\com\thinkaurelius\titan\HBaseStorageSetup.java","9","1","100","2","0","0","0","0","0","0","0","0","1","3","3","11","1","7","16","0","4","0","0.171429","12","3","0","4","0.153846","12","0","0","0","0","0","58","83","4","2","4","2","4","0","3","0","4","33","0","3","0","66","92","4","2","4","2","4","0","3","0","4","33","0","3","0","0","0","11","4","16","0","0","5","0","0","0","0","0","0","0","0","0","6","11","0","0","0","0","0","0","0","4","0","0","0","0","0","0","2","1","0","0","2","0","0","0","0","0"
"L4686","StorageSetup","com.thinkaurelius.titan.StorageSetup","L106","L103","titan-test\src\main\java\com\thinkaurelius\titan\StorageSetup.java","12","1","52","2","0","0","0","0","0","0","0","0","1","1","1","12","1","3","4","1","7","0.142857","0.0606061","2","1","1","6","0.0606061","2","0","0","1","1","0","31","41","0","4","0","4","6","0","6","0","6","19","0","6","0","31","41","0","4","0","4","6","0","6","0","6","19","0","6","0","0","0","15","1","8","0","0","8","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"L13699","TestBed","com.thinkaurelius.titan.TestBed","L106","L103","titan-test\src\main\java\com\thinkaurelius\titan\TestBed.java","14","1","96","2","0","0","0","0","0","0","0","0","3","1","1","8","2","0","0","2","5","0.333333","0.0806452","5","4","1","2","0.0724638","5","0","0","0","0","0","57","76","0","0","0","0","3","0","2","0","3","53","0","2","0","64","83","0","0","0","0","4","0","3","0","4","56","0","3","0","0","2","15","3","13","0","0","2","0","0","0","1","0","0","0","0","0","1","14","0","0","0","0","2","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0"
"L13724","TestByteBuffer","com.thinkaurelius.titan.TestByteBuffer","L106","L103","titan-test\src\main\java\com\thinkaurelius\titan\TestByteBuffer.java","23","1","240","2","0","0","0","0","0","0","0","0","1","3","3","20","5","2","0","9","12","0.5","0.038961","3","3","1","1","0.0215054","4","0","0","0","0","0","74","86","6","0","6","0","3","0","1","0","3","69","0","1","0","182","218","16","11","16","9","26","0","17","1","32","100","0","21","1","0","0","88","2","20","0","0","7","0","0","0","0","0","0","4","0","0","5","85","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","3","0","0","0","2","0","0"
"L2206","Backend","com.thinkaurelius.titan.diskstorage.Backend","L141","L103","titan-core\src\main\java\com\thinkaurelius\titan\diskstorage\Backend.java","46","1","332","2","0","0","0","0","0","0","0","0","1","3","3","45","25","6","9","30","43","0.272727","0.0840708","19","15","3","8","0.0805085","19","0","0","0","0","0","207","277","20","8","20","8","13","6","10","0","13","103","6","10","0","217","287","20","8","20","8","13","6","10","0","13","103","6","10","0","0","6","45","6","10","0","2","4","0","0","0","0","0","0","0","2","0","12","35","2","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","8","0","1","0","0","0","1"
"L2392","BackendTransaction","com.thinkaurelius.titan.diskstorage.BackendTransaction","L141","L103","titan-core\src\main\java\com\thinkaurelius\titan\diskstorage\BackendTransaction.java","10","1","37","2","0","0","0","0","0","0","0","0","1","0","0","5","3","3","3","3","8","0.166667","0.12","3","3","1","5","0.12","3","1","1","0","0","1","22","28","1","1","1","1","5","0","5","0","5","6","0","5","0","22","28","1","1","1","1","5","0","5","0","5","6","0","5","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L218","PermanentStorageException","com.thinkaurelius.titan.diskstorage.PermanentStorageException","L141","L103","titan-core\src\main\java\com\thinkaurelius\titan\diskstorage\PermanentStorageException.java","11","1","40","2","0","0","0","0","0","0","0","0","0","0","0","3","1","18","54","2","5","1","0.612903","19","19","4","0","0.612903","19","1","1","1","1","1","12","30","2","0","1","0","3","0","3","0","6","3","0","6","0","12","30","2","0","1","0","3","0","3","0","6","3","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L215","StorageException","com.thinkaurelius.titan.diskstorage.StorageException","L141","L103","titan-core\src\main\java\com\thinkaurelius\titan\diskstorage\StorageException.java","10","1","39","2","0","0","0","0","0","0","0","0","0","0","0","3","0","93","4","0","3","1","0.612903","19","19","4","0","0.612903","19","0","0","2","4","0","12","30","1","0","1","0","3","0","3","0","3","3","0","3","0","12","30","1","0","1","0","3","0","3","0","3","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L815","TemporaryStorageException","com.thinkaurelius.titan.diskstorage.TemporaryStorageException","L141","L103","titan-core\src\main\java\com\thinkaurelius\titan\diskstorage\TemporaryStorageException.java","14","1","43","2","0","0","0","0","0","0","0","0","0","0","0","3","1","14","31","2","5","1","0.647059","22","22","4","0","0.647059","22","1","1","1","1","1","12","30","2","0","1","0","3","0","3","0","6","3","0","6","0","12","30","2","0","1","0","3","0","3","0","6","3","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L624","HashKeyColumnValueStoreTest","com.thinkaurelius.titan.diskstorage.HashKeyColumnValueStoreTest","L141","L103","titan-test\src\main\java\com\thinkaurelius\titan\diskstorage\HashKeyColumnValueStoreTest.java","10","1","19","2","0","0","0","0","0","0","0","0","1","0","0","1","6","1","0","4","5","0.5","0.272727","3","3","1","1","0.272727","3","1","1","1","1","1","8","10","7","3","0","0","1","0","1","0","34","3","3","34","1","8","10","7","3","0","0","1","0","1","0","34","3","3","34","1","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"L4186","KeyColumn","com.thinkaurelius.titan.diskstorage.KeyColumn","L141","L103","titan-test\src\main\java\com\thinkaurelius\titan\diskstorage\KeyColumn.java","5","1","27","2","0","0","0","0","0","0","0","0","1","2","1","6","0","1","4","0","3","0","0","0","0","0","4","0","0","0","0","0","0","0","18","23","2","0","2","0","3","2","3","0","3","9","2","3","0","18","23","2","0","2","0","3","2","3","0","3","9","2","3","0","0","0","13","0","4","0","0","3","0","0","0","0","0","0","0","0","0","1","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"L598","KeyColumnValueStoreTest","com.thinkaurelius.titan.diskstorage.KeyColumnValueStoreTest","L141","L103","titan-test\src\main\java\com\thinkaurelius\titan\diskstorage\KeyColumnValueStoreTest.java","21","1","481","2","0","0","0","0","0","0","0","0","2","3","3","61","14","9","1","31","64","0.0294118","0.105","42","24","1","33","0.105","42","0","0","9","10","0","358","461","7","3","7","3","33","3","33","1","33","265","3","33","1","358","461","7","3","7","3","33","3","33","1","33","265","3","33","1","0","0","77","24","18","0","0","6","0","0","0","1","0","0","3","1","0","5","65","0","0","0","0","0","8","4","3","0","0","0","0","0","0","0","0","0","10","0","4","8","1","0","0"
"L4349","KeyColumnValueStoreUtil","com.thinkaurelius.titan.diskstorage.KeyColumnValueStoreUtil","L141","L103","titan-test\src\main\java\com\thinkaurelius\titan\diskstorage\KeyColumnValueStoreUtil.java","11","1","61","2","0","0","0","0","0","0","0","0","1","1","1","9","4","1","8","3","9","0","0","0","0","0","7","0","0","0","0","0","0","0","45","51","0","0","0","0","6","0","6","0","6","27","0","6","0","45","51","0","0","0","0","6","0","6","0","6","27","0","6","0","0","0","15","2","3","0","0","2","0","0","0","0","0","0","0","0","0","1","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L632","KeyValueStoreTest","com.thinkaurelius.titan.diskstorage.KeyValueStoreTest","L141","L103","titan-test\src\main\java\com\thinkaurelius\titan\diskstorage\KeyValueStoreTest.java","23","1","228","2","0","0","0","0","0","0","0","0","2","2","2","35","11","1","0","23","44","0","0.00571429","1","0","0","22","0.00571429","1","0","0","1","1","0","174","206","6","0","6","0","21","0","21","1","21","115","0","21","1","174","206","6","0","6","0","21","0","21","1","21","115","0","21","1","0","0","48","12","13","0","0","6","0","0","0","1","0","0","0","1","0","7","43","0","0","0","0","0","6","0","1","0","0","0","0","0","0","0","0","0","3","0","2","0","3","0","0"
"L4439","KeyValueStoreUtil","com.thinkaurelius.titan.diskstorage.KeyValueStoreUtil","L141","L103","titan-test\src\main\java\com\thinkaurelius\titan\diskstorage\KeyValueStoreUtil.java","16","1","77","2","0","0","0","0","0","0","0","0","4","2","2","15","6","2","17","8","17","0","0","0","0","0","10","0","0","0","0","0","0","0","51","62","3","4","3","4","9","2","9","0","9","33","2","9","0","51","62","3","4","3","4","9","2","9","0","9","33","2","9","0","0","0","26","0","6","0","0","1","0","0","0","1","0","0","0","0","0","2","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","4","0","0","0","0","0","0"
"L1137","LockKeyColumnValueStoreTest","com.thinkaurelius.titan.diskstorage.LockKeyColumnValueStoreTest","L141","L103","titan-test\src\main\java\com\thinkaurelius\titan\diskstorage\LockKeyColumnValueStoreTest.java","34","1","437","2","0","0","0","0","0","0","0","0","1","5","4","57","20","6","0","26","49","0","0.105769","33","0","0","21","0.0979228","33","0","0","6","6","0","279","378","14","0","14","0","23","7","20","1","23","200","7","20","1","304","404","14","2","14","2","26","7","23","1","26","216","7","23","1","0","0","73","12","14","0","0","11","0","0","0","0","0","3","0","2","0","7","60","0","0","0","0","0","5","0","1","0","0","0","0","0","0","1","0","0","8","1","0","0","0","0","0"
"L1150","MultiWriteKeyColumnValueStoreTest","com.thinkaurelius.titan.diskstorage.MultiWriteKeyColumnValueStoreTest","L141","L103","titan-test\src\main\java\com\thinkaurelius\titan\diskstorage\MultiWriteKeyColumnValueStoreTest.java","27","1","384","2","0","0","0","0","0","0","0","0","2","6","6","55","12","6","0","20","33","0.0714286","0.0692308","18","16","1","13","0.0692308","18","0","0","6","6","0","242","358","11","0","11","0","13","2","13","1","13","185","2","13","1","242","358","11","0","11","0","13","2","13","1","13","185","2","13","1","0","0","43","0","17","0","0","10","0","0","0","1","0","6","4","1","0","2","29","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0"
"L4713","BerkeleyJEBlueprintsTest","com.thinkaurelius.titan.blueprints.BerkeleyJEBlueprintsTest","L4697","L103","titan-berkeleyje\src\test\java\com\thinkaurelius\titan\blueprints\BerkeleyJEBlueprintsTest.java","20","1","80","2","0","0","0","0","0","0","0","0","3","1","1","10","6","0","0","4","10","0.142857","0.0740741","4","3","1","6","0.0740741","4","1","1","0","0","1","50","61","2","0","2","0","6","0","6","0","18","23","0","18","0","50","61","2","0","2","0","6","0","6","0","18","23","0","18","0","0","0","14","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","13","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4747","EmbeddedCassandraBlueprintsTest","com.thinkaurelius.titan.blueprints.EmbeddedCassandraBlueprintsTest","L4697","L103","titan-cassandra\src\test\java\com\thinkaurelius\titan\blueprints\EmbeddedCassandraBlueprintsTest.java","14","1","50","2","0","0","0","0","0","0","0","0","6","0","0","6","6","0","0","4","10","0.142857","0.15625","5","3","1","6","0.15625","5","1","1","0","0","1","27","37","0","0","0","0","6","0","6","0","18","6","0","18","0","27","37","0","0","0","0","6","0","6","0","18","6","0","18","0","0","0","12","0","2","0","0","0","0","0","0","1","0","0","0","0","0","1","11","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4759","ExternalCassandraBlueprintsTest","com.thinkaurelius.titan.blueprints.ExternalCassandraBlueprintsTest","L4697","L103","titan-cassandra\src\test\java\com\thinkaurelius\titan\blueprints\ExternalCassandraBlueprintsTest.java","15","1","53","2","0","0","0","0","0","0","0","0","5","0","0","6","7","0","0","6","12","0.142857","0.0909091","3","3","1","6","0.0909091","3","1","1","0","0","1","30","39","1","0","1","0","6","1","6","0","18","8","1","18","0","30","39","1","0","1","0","6","1","6","0","18","8","1","18","0","0","0","20","0","4","0","0","0","0","0","0","1","0","0","0","0","0","3","15","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"L4773","InternalCassandraBlueprintsTest","com.thinkaurelius.titan.blueprints.InternalCassandraBlueprintsTest","L4697","L103","titan-cassandra\src\test\java\com\thinkaurelius\titan\blueprints\InternalCassandraBlueprintsTest.java","15","1","55","2","0","0","0","0","0","0","0","0","6","1","1","7","7","0","0","5","11","0.142857","0.111111","4","3","1","6","0.111111","4","1","1","0","0","1","32","41","1","0","1","0","6","0","6","0","18","9","0","18","0","32","41","1","0","1","0","6","0","6","0","18","9","0","18","0","0","0","14","0","3","0","0","0","0","0","0","1","0","0","0","0","0","1","13","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"L4784","HBaseBlueprintsTest","com.thinkaurelius.titan.blueprints.HBaseBlueprintsTest","L4697","L103","titan-hbase\src\test\java\com\thinkaurelius\titan\blueprints\HBaseBlueprintsTest.java","15","1","53","2","0","0","0","0","0","0","0","0","6","1","1","7","6","0","0","5","11","0.142857","0.111111","4","3","1","6","0.111111","4","1","1","0","0","1","32","39","0","0","0","0","6","0","6","0","18","8","0","18","0","32","39","0","0","0","0","6","0","6","0","18","8","0","18","0","0","0","14","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","13","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4714","TitanBlueprintsTest","com.thinkaurelius.titan.blueprints.TitanBlueprintsTest","L4697","L103","titan-test\src\main\java\com\thinkaurelius\titan\blueprints\TitanBlueprintsTest.java","30","1","142","2","0","0","0","0","0","0","0","0","1","2","2","21","3","5","0","2","18","0.176471","0.181818","18","13","3","14","0.181818","18","0","0","5","5","0","81","113","0","0","0","0","16","0","16","0","16","47","0","16","0","81","113","0","0","0","0","16","0","16","0","16","47","0","16","0","0","0","32","25","6","0","0","4","0","0","0","0","0","0","0","0","0","0","31","0","0","0","0","0","10","0","3","0","0","0","0","0","0","0","0","0","1","2","0","12","0","0","0"
"L4817","TitanSpecificBlueprintsTestSuite","com.thinkaurelius.titan.blueprints.TitanSpecificBlueprintsTestSuite","L4697","L103","titan-test\src\main\java\com\thinkaurelius\titan\blueprints\TitanSpecificBlueprintsTestSuite.java","16","1","36","2","0","0","0","0","0","0","0","0","1","0","0","2","0","1","1","0","2","0.333333","0.157895","3","3","1","2","0.157895","3","0","0","0","0","0","16","21","0","0","0","0","2","0","2","0","2","10","0","2","0","16","21","0","0","0","0","2","0","2","0","2","10","0","2","0","0","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L4811","TransactionalTitanGraphTestSuite","com.thinkaurelius.titan.blueprints.TransactionalTitanGraphTestSuite","L4697","L103","titan-test\src\main\java\com\thinkaurelius\titan\blueprints\TransactionalTitanGraphTestSuite.java","12","1","35","2","0","0","0","0","0","0","0","0","1","0","0","2","2","1","1","8","10","0.333333","0.2","4","3","1","2","0.2","4","0","0","0","0","0","16","24","0","0","0","0","2","0","2","0","2","9","0","2","0","16","24","0","0","0","0","2","0","2","0","2","9","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4868","InMemoryBlueprintsTest","com.thinkaurelius.titan.blueprints.InMemoryBlueprintsTest","L4697","L103","titan-test\src\test\java\com\thinkaurelius\titan\blueprints\InMemoryBlueprintsTest.java","28","1","144","2","0","0","0","0","0","0","0","0","2","3","3","16","3","0","0","3","14","0.333333","0.252525","25","25","4","8","0.252525","25","0","0","0","0","0","74","117","1","0","1","0","11","0","11","0","11","41","0","11","0","74","117","1","0","1","0","11","0","11","0","11","41","0","11","0","0","0","18","19","6","0","0","2","0","0","0","1","0","0","0","0","0","1","17","0","0","0","0","0","7","0","3","0","0","0","0","0","0","0","1","0","0","2","0","9","0","0","0"
