"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L9539","BerkeleyJeStorageSetup","com.thinkaurelius.titan.BerkeleyJeStorageSetup","L106","L103","titan-berkeleyje\src\test\java\com\thinkaurelius\titan\BerkeleyJeStorageSetup.java","8","1","36","2","0","0","0","0","0","0","0","0","0","0","0","4","2","8","8","1","5","0","0","0","0","0","5","0","0","1","1","0","0","1","23","29","0","9","0","4","4","0","4","0","11","13","0","11","0","23","29","0","9","0","4","4","0","4","0","11","13","0","11","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18027","CassandraStorageSetup","com.thinkaurelius.titan.CassandraStorageSetup","L106","L103","titan-cassandra\src\test\java\com\thinkaurelius\titan\CassandraStorageSetup.java","17","1","117","2","0","0","0","0","0","0","0","0","2","1","1","14","3","34","33","0","10","0","0.060241","5","4","0","8","0.060241","5","0","0","0","0","0","78","101","5","8","5","8","10","4","7","0","10","36","4","7","0","78","101","5","8","5","8","10","4","7","0","10","36","4","7","0","0","0","27","0","2","0","0","0","0","0","0","1","0","0","0","0","0","1","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","5","0","0","0","0","0","0"
"L20249","HazelcastStorageSetup","com.thinkaurelius.titan.HazelcastStorageSetup","L106","L103","titan-hazelcast\src\test\java\com\thinkaurelius\titan\HazelcastStorageSetup.java","8","1","41","2","0","0","0","0","0","0","0","0","0","0","0","4","2","9","9","1","5","0","0","0","0","0","5","0","0","1","1","0","0","1","27","34","0","9","0","4","4","0","4","0","11","17","0","11","0","27","34","0","9","0","4","4","0","4","0","11","17","0","11","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L20256","HBaseStorageSetup","com.thinkaurelius.titan.HBaseStorageSetup","L106","L103","titan-hbase\src\test\java\com\thinkaurelius\titan\HBaseStorageSetup.java","12","1","119","2","0","0","0","0","0","0","0","0","1","3","3","11","1","7","16","0","4","0","0.148148","12","3","0","4","0.134831","12","0","0","0","0","0","69","99","4","2","4","2","4","0","3","0","4","33","0","3","0","77","108","4","2","4","2","4","0","3","0","4","33","0","3","0","0","0","11","4","22","0","0","9","0","0","0","0","0","0","0","0","0","6","11","0","0","0","0","0","0","0","6","0","0","0","0","0","0","2","1","0","0","2","0","0","0","0","0"
"L20293","PersistitStorageSetup","com.thinkaurelius.titan.PersistitStorageSetup","L106","L103","titan-persistit\src\test\java\com\thinkaurelius\titan\PersistitStorageSetup.java","7","1","22","2","0","0","0","0","0","0","0","0","0","0","0","2","2","8","8","1","3","0","0","0","0","0","3","0","0","1","1","0","0","1","13","16","0","7","0","2","2","0","2","0","9","7","0","9","0","13","16","0","7","0","2","2","0","2","0","9","7","0","9","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9540","StorageSetup","com.thinkaurelius.titan.StorageSetup","L106","L103","titan-test\src\main\java\com\thinkaurelius\titan\StorageSetup.java","13","1","59","2","0","0","0","0","0","0","0","0","1","1","1","13","4","10","14","2","9","0.125","0.0526316","2","1","1","7","0.0526316","2","0","0","3","3","0","36","47","0","5","0","5","7","0","7","0","7","22","0","7","0","36","47","0","5","0","5","7","0","7","0","7","22","0","7","0","0","0","17","1","8","0","0","8","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"L20306","TestBed","com.thinkaurelius.titan.TestBed","L106","L103","titan-test\src\main\java\com\thinkaurelius\titan\TestBed.java","15","1","139","2","0","0","0","0","0","0","0","0","3","1","1","9","2","0","0","2","5","0.333333","0.0864198","7","4","1","2","0.0714286","7","0","0","0","0","0","74","104","0","0","0","0","3","0","2","0","3","71","0","2","0","91","125","2","0","2","0","6","0","4","0","6","76","0","4","0","0","3","22","5","21","0","0","2","0","0","0","1","0","0","0","0","0","1","21","0","0","0","0","3","0","0","16","0","0","0","0","0","0","1","1","0","0","0","0","2","3","0","0"
"L20347","TestByteBuffer","com.thinkaurelius.titan.TestByteBuffer","L106","L103","titan-test\src\main\java\com\thinkaurelius\titan\TestByteBuffer.java","19","1","236","2","0","0","0","0","0","0","0","0","1","3","3","20","5","2","0","9","12","0.5","0.038961","3","3","1","1","0.0215054","4","0","0","0","0","0","74","86","6","0","6","0","3","0","1","0","3","69","0","1","0","182","218","16","11","16","9","26","0","17","1","32","100","0","21","1","0","0","88","2","20","0","0","7","0","0","0","0","0","0","4","0","0","5","85","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","3","0","0","0","2","0","0"
"L2772","Backend","com.thinkaurelius.titan.diskstorage.Backend","L157","L103","titan-core\src\main\java\com\thinkaurelius\titan\diskstorage\Backend.java","56","1","559","2","0","0","0","0","0","0","0","0","1","4","3","61","38","9","10","43","62","0.583333","0.213158","81","58","7","5","0.185941","82","0","0","0","0","0","299","439","32","12","32","12","19","9","11","0","19","160","9","11","0","359","504","32","12","32","12","23","9","15","0","23","182","9","15","0","0","7","69","6","23","0","1","8","0","0","0","1","0","0","0","3","0","15","55","1","0","9","0","0","0","0","0","0","0","0","0","0","0","1","0","0","10","0","1","1","0","0","0"
"L3111","BackendTransaction","com.thinkaurelius.titan.diskstorage.BackendTransaction","L157","L103","titan-core\src\main\java\com\thinkaurelius\titan\diskstorage\BackendTransaction.java","26","1","292","2","0.295133","2","5","5","0.23221","0.325581","62","56","1","1","1","24","16","13","18","13","33","0.3","0.361446","60","60","6","14","0.258621","60","1","1","0","0","1","106","193","12","2","11","2","20","2","19","0","20","40","3","19","0","172","267","12","2","11","2","36","2","35","0","36","56","3","35","0","0","0","217","9","14","0","0","5","0","110","0","8","0","0","0","1","0","8","88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","10","0","0","8","1","0","0"
