dta,rho,beta,num_docs,num_rels,num_shown,num_feedback,rels_found,last_rel,wss_100,wss_95,NCG@10,NCG@20,NCG@30,NCG@40,NCG@50,NCG@60,NCG@70,NCG@80,NCG@90,NCG@100,total_cost,total_cost_uniform,total_cost_weighted,norm_area,ap,r,loss_e,loss_r,loss_er,recall,cost
android,1,100.0,639.0,48.0,111.0,111.0,21.0,107.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,333.0,927.0,1389.0,0.419,0.15,0.438,0.014,0.316,0.33,0.4375,0.17370892018779344
android,2,100.0,639.0,48.0,151.0,151.0,23.0,136.0,0.0,0.0,0.25,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,453.0,961.333,1429.0,0.454,0.158,0.479,0.025,0.271,0.297,0.4791666666666667,0.23630672926447574
android,3,100.0,639.0,48.0,389.0,389.0,42.0,332.0,0.0,0.0,0.25,0.458,0.646,0.771,0.854,0.875,0.875,0.875,0.875,0.875,1167.0,1229.5,1651.375,0.729,0.22,0.875,0.169,0.016,0.185,0.875,0.6087636932707355
android,4,100.0,639.0,48.0,389.0,389.0,42.0,332.0,0.0,0.0,0.25,0.458,0.646,0.771,0.854,0.875,0.875,0.875,0.875,0.875,1167.0,1229.5,1651.375,0.729,0.22,0.875,0.169,0.016,0.185,0.875,0.6087636932707355
android,5,100.0,639.0,48.0,497.0,497.0,43.0,411.0,0.0,0.0,0.25,0.458,0.646,0.771,0.854,0.875,0.896,0.896,0.896,0.896,1491.0,1520.583,1757.25,0.737,0.223,0.896,0.276,0.011,0.287,0.8958333333333334,0.7777777777777778
android,6,100.0,639.0,48.0,497.0,497.0,43.0,411.0,0.0,0.0,0.25,0.458,0.646,0.771,0.854,0.875,0.896,0.896,0.896,0.896,1491.0,1520.583,1757.25,0.737,0.223,0.896,0.276,0.011,0.287,0.8958333333333334,0.7777777777777778
android,7,100.0,639.0,48.0,639.0,639.0,48.0,587.0,0.081,0.099,0.25,0.458,0.646,0.771,0.854,0.875,0.896,0.896,0.979,1.0,1917.0,1917.0,1917.0,0.753,0.231,1.0,0.457,0.0,0.457,1.0,1.0
android,8,100.0,639.0,48.0,639.0,639.0,48.0,587.0,0.081,0.099,0.25,0.458,0.646,0.771,0.854,0.875,0.896,0.896,0.979,1.0,1917.0,1917.0,1917.0,0.753,0.231,1.0,0.457,0.0,0.457,1.0,1.0
android,9,100.0,639.0,48.0,639.0,639.0,48.0,587.0,0.081,0.099,0.25,0.458,0.646,0.771,0.854,0.875,0.896,0.896,0.979,1.0,1917.0,1917.0,1917.0,0.753,0.231,1.0,0.457,0.0,0.457,1.0,1.0
android,10,100.0,639.0,48.0,639.0,639.0,48.0,587.0,0.081,0.099,0.25,0.458,0.646,0.771,0.854,0.875,0.896,0.896,0.979,1.0,1917.0,1917.0,1917.0,0.753,0.231,1.0,0.457,0.0,0.457,1.0,1.0
neo4j,1,100.0,32156.0,151.0,111.0,111.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,62725.252,64423.0,0.027,0.01,0.026,0.0,0.948,0.948,0.026490066225165563,0.003451921880830949
neo4j,2,100.0,32156.0,151.0,111.0,111.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,62725.252,64423.0,0.027,0.01,0.026,0.0,0.948,0.948,0.026490066225165563,0.003451921880830949
neo4j,3,100.0,32156.0,151.0,111.0,111.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,62725.252,64423.0,0.027,0.01,0.026,0.0,0.948,0.948,0.026490066225165563,0.003451921880830949
neo4j,4,100.0,32156.0,151.0,111.0,111.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,62725.252,64423.0,0.027,0.01,0.026,0.0,0.948,0.948,0.026490066225165563,0.003451921880830949
