dta_train,dta_test,train_percentage,num_docs,num_rels,num_shown,num_feedback,rels_found,last_rel,wss_100,wss_95,NCG@10,NCG@20,NCG@30,NCG@40,NCG@50,NCG@60,NCG@70,NCG@80,NCG@90,NCG@100,total_cost,total_cost_uniform,total_cost_weighted,norm_area,ap,r,loss_e,loss_r,loss_er,recall,cost,rho,beta
android,anttlr4,0.1,2353.0,53.0,2316.0,2316.0,53.0,2283.0,0.03,0.233,0.189,0.415,0.774,0.868,0.906,0.906,0.925,0.981,0.981,0.981,6948.0,6948.0,6948.0,0.754,0.049,1.0,0.414,0.0,0.414,1.0,0.9842753931151721,6,1000.0
android,anttlr4,0.5,2353.0,53.0,2316.0,2316.0,53.0,2278.0,0.032,0.215,0.094,0.453,0.717,0.811,0.83,0.906,0.925,0.943,0.962,0.962,6948.0,6948.0,6948.0,0.722,0.041,1.0,0.414,0.0,0.414,1.0,0.9842753931151721,6,1000.0
android,anttlr4,1.0,2353.0,53.0,2316.0,2316.0,53.0,2273.0,0.034,0.24,0.208,0.358,0.679,0.83,0.849,0.925,0.925,0.943,0.962,0.962,6948.0,6948.0,6948.0,0.725,0.043,1.0,0.414,0.0,0.414,1.0,0.9842753931151721,6,1000.0
android,anttlr4,2.0,2353.0,53.0,2316.0,2316.0,53.0,2285.0,0.029,0.262,0.151,0.377,0.774,0.887,0.906,0.906,0.943,0.943,0.981,0.981,6948.0,6948.0,6948.0,0.741,0.056,1.0,0.414,0.0,0.414,1.0,0.9842753931151721,6,1000.0
android,anttlr4,5.0,2353.0,53.0,2316.0,2316.0,53.0,2283.0,0.03,0.231,0.264,0.528,0.849,0.868,0.906,0.906,0.925,0.962,0.981,0.981,6948.0,6948.0,6948.0,0.78,0.061,1.0,0.414,0.0,0.414,1.0,0.9842753931151721,6,1000.0
android,anttlr4,10.0,2353.0,53.0,2316.0,2316.0,53.0,2287.0,0.028,0.212,0.226,0.547,0.755,0.83,0.887,0.906,0.925,0.962,0.981,0.981,6948.0,6948.0,6948.0,0.763,0.052,1.0,0.414,0.0,0.414,1.0,0.9842753931151721,6,1000.0
android,junit,0.1,5432.0,87.0,5188.0,5188.0,87.0,4749.0,0.126,0.29,0.402,0.54,0.793,0.862,0.885,0.943,0.966,0.977,1.0,1.0,15564.0,15564.0,15564.0,0.803,0.175,1.0,0.261,0.0,0.261,1.0,0.9550810014727541,6,1000.0
android,junit,0.5,5432.0,87.0,4251.0,4251.0,87.0,4176.0,0.231,0.327,0.46,0.69,0.816,0.839,0.885,0.943,0.966,0.966,0.966,0.966,12753.0,12753.0,12753.0,0.824,0.076,1.0,0.175,0.0,0.175,1.0,0.7825846833578792,6,1000.0
android,junit,1.0,5432.0,87.0,4697.0,4697.0,87.0,4540.0,0.164,0.374,0.379,0.609,0.816,0.851,0.874,0.954,0.977,0.977,0.977,0.977,14091.0,14091.0,14091.0,0.811,0.071,1.0,0.214,0.0,0.214,1.0,0.8646907216494846,6,1000.0
android,junit,2.0,5432.0,87.0,5188.0,5188.0,87.0,4770.0,0.122,0.467,0.402,0.517,0.782,0.885,0.966,0.966,0.966,0.977,1.0,1.0,15564.0,15564.0,15564.0,0.818,0.192,1.0,0.261,0.0,0.261,1.0,0.9550810014727541,6,1000.0
android,junit,5.0,5432.0,87.0,5188.0,5188.0,87.0,4804.0,0.116,0.302,0.425,0.54,0.805,0.874,0.92,0.943,0.966,0.977,1.0,1.0,15564.0,15564.0,15564.0,0.816,0.16,1.0,0.261,0.0,0.261,1.0,0.9550810014727541,6,1000.0
android,junit,10.0,5432.0,87.0,5188.0,5188.0,87.0,4783.0,0.119,0.279,0.425,0.713,0.816,0.851,0.885,0.943,0.966,0.977,1.0,1.0,15564.0,15564.0,15564.0,0.822,0.142,1.0,0.261,0.0,0.261,1.0,0.9550810014727541,6,1000.0
android,mct,0.1,6091.0,23.0,5188.0,5188.0,23.0,5062.0,0.169,0.119,0.174,0.174,0.565,0.652,0.696,0.696,0.87,0.913,0.913,0.913,15564.0,15564.0,15564.0,0.635,0.022,1.0,0.48,0.0,0.48,1.0,0.8517484813659497,6,1000.0
android,mct,0.5,6091.0,23.0,5729.0,5729.0,23.0,5237.0,0.14,0.093,0.261,0.391,0.478,0.522,0.652,0.739,0.739,0.913,1.0,1.0,17187.0,17187.0,17187.0,0.623,0.01,1.0,0.585,0.0,0.585,1.0,0.940568051223116,6,1000.0
android,mct,1.0,6091.0,23.0,5188.0,5188.0,23.0,5153.0,0.154,0.179,0.261,0.304,0.391,0.522,0.565,0.826,0.87,0.957,0.957,0.957,15564.0,15564.0,15564.0,0.622,0.012,1.0,0.48,0.0,0.48,1.0,0.8517484813659497,6,1000.0
android,mct,2.0,6091.0,23.0,5729.0,5729.0,23.0,5453.0,0.105,0.055,0.087,0.522,0.565,0.696,0.696,0.696,0.696,0.739,1.0,1.0,17187.0,17187.0,17187.0,0.627,0.064,1.0,0.585,0.0,0.585,1.0,0.940568051223116,6,1000.0
android,mct,5.0,6091.0,23.0,5188.0,5188.0,23.0,5018.0,0.176,0.126,0.217,0.522,0.565,0.652,0.696,0.696,0.87,0.913,0.913,0.913,15564.0,15564.0,15564.0,0.669,0.009,1.0,0.48,0.0,0.48,1.0,0.8517484813659497,6,1000.0
android,mct,10.0,6091.0,23.0,5188.0,5188.0,23.0,5112.0,0.161,0.111,0.304,0.478,0.565,0.652,0.696,0.696,0.739,0.913,0.913,0.913,15564.0,15564.0,15564.0,0.663,0.009,1.0,0.48,0.0,0.48,1.0,0.8517484813659497,6,1000.0
elasticsearch,anttlr4,0.1,2353.0,53.0,2316.0,2316.0,53.0,2291.0,0.026,0.11,0.038,0.075,0.34,0.528,0.66,0.774,0.811,0.906,0.962,0.962,6948.0,6948.0,6948.0,0.564,0.024,1.0,0.414,0.0,0.414,1.0,0.9842753931151721,6,1000.0
elasticsearch,anttlr4,0.5,2353.0,53.0,2316.0,2316.0,53.0,2289.0,0.027,0.134,0.075,0.189,0.358,0.604,0.698,0.774,0.887,0.925,0.981,0.981,6948.0,6948.0,6948.0,0.6,0.026,1.0,0.414,0.0,0.414,1.0,0.9842753931151721,6,1000.0
elasticsearch,anttlr4,1.0,2353.0,53.0,2316.0,2316.0,53.0,2285.0,0.029,0.151,0.151,0.208,0.34,0.642,0.698,0.755,0.868,0.943,0.981,0.981,6948.0,6948.0,6948.0,0.617,0.03,1.0,0.414,0.0,0.414,1.0,0.9842753931151721,6,1000.0
elasticsearch,anttlr4,2.0,2353.0,53.0,2353.0,2353.0,53.0,2340.0,0.006,0.209,0.151,0.358,0.604,0.868,0.906,0.906,0.925,0.943,0.981,1.0,7059.0,7059.0,7059.0,0.727,0.052,1.0,0.427,0.0,0.427,1.0,1.0,6,1000.0
elasticsearch,anttlr4,5.0,2353.0,53.0,2316.0,2316.0,53.0,2285.0,0.029,0.226,0.075,0.434,0.623,0.849,0.906,0.906,0.925,0.943,0.981,0.981,6948.0,6948.0,6948.0,0.722,0.049,1.0,0.414,0.0,0.414,1.0,0.9842753931151721,6,1000.0
elasticsearch,anttlr4,10.0,2353.0,53.0,2353.0,2353.0,53.0,2344.0,0.004,0.225,0.132,0.528,0.66,0.849,0.906,0.906,0.925,0.962,0.981,1.0,7059.0,7059.0,7059.0,0.75,0.051,1.0,0.427,0.0,0.427,1.0,1.0,6,1000.0
