dta_train,dta_test,train_percentage,num_docs,num_rels,num_shown,num_feedback,rels_found,last_rel,wss_100,wss_95,NCG@10,NCG@20,NCG@30,NCG@40,NCG@50,NCG@60,NCG@70,NCG@80,NCG@90,NCG@100,total_cost,total_cost_uniform,total_cost_weighted,norm_area,ap,r,loss_e,loss_r,loss_er,recall,cost,rho,beta
MapDB,junit,0.1,5432.0,87.0,3144.0,3144.0,84.0,2876.0,0.0,0.421,0.425,0.609,0.828,0.931,0.943,0.943,0.943,0.943,0.943,0.943,9432.0,9589.793,12864.0,0.824,0.129,0.966,0.096,0.001,0.097,0.9655172413793104,0.5787923416789397,6,1000.0
MapDB,junit,0.2,5432.0,87.0,2316.0,2316.0,78.0,2310.0,0.0,0.0,0.402,0.713,0.828,0.862,0.862,0.862,0.862,0.862,0.862,0.862,6948.0,7592.69,13155.656,0.791,0.115,0.897,0.052,0.011,0.063,0.896551724137931,0.4263622974963181,6,1000.0
MapDB,junit,0.3,5432.0,87.0,2316.0,2316.0,77.0,2086.0,0.0,0.0,0.46,0.701,0.862,0.885,0.885,0.885,0.885,0.885,0.885,0.885,6948.0,7664.322,13167.828,0.792,0.077,0.885,0.052,0.013,0.065,0.8850574712643678,0.4263622974963181,6,1000.0
MapDB,junit,0.4,5432.0,87.0,3846.0,3846.0,85.0,3242.0,0.0,0.55,0.448,0.586,0.816,0.966,0.966,0.977,0.977,0.977,0.977,0.977,11538.0,11610.92,13124.0,0.839,0.091,0.977,0.143,0.001,0.144,0.9770114942528736,0.7080265095729014,6,1000.0
MapDB,junit,0.5,5432.0,87.0,4251.0,4251.0,85.0,3042.0,0.0,0.52,0.471,0.713,0.839,0.931,0.966,0.977,0.977,0.977,0.977,0.977,12753.0,12807.299,13934.0,0.843,0.117,0.977,0.175,0.001,0.176,0.9770114942528736,0.7825846833578792,6,1000.0
MapDB,junit,1.0,5432.0,87.0,4251.0,4251.0,85.0,3362.0,0.0,0.504,0.437,0.644,0.805,0.908,0.966,0.966,0.977,0.977,0.977,0.977,12753.0,12807.299,13934.0,0.833,0.087,0.977,0.175,0.001,0.176,0.9770114942528736,0.7825846833578792,6,1000.0
MapDB,mct,0.1,6091.0,23.0,3846.0,3846.0,16.0,2230.0,0.0,0.0,0.174,0.435,0.565,0.696,0.696,0.696,0.696,0.696,0.696,0.696,11538.0,12904.522,15957.844,0.574,0.007,0.696,0.264,0.093,0.356,0.6956521739130435,0.6314234115908718,6,1000.0
MapDB,mct,0.2,6091.0,23.0,6091.0,6091.0,23.0,5302.0,0.13,0.08,0.348,0.435,0.565,0.609,0.609,0.696,0.696,0.913,1.0,1.0,18273.0,18273.0,18273.0,0.649,0.066,1.0,0.661,0.0,0.661,1.0,1.0,6,1000.0
MapDB,mct,0.3,6091.0,23.0,1105.0,1105.0,10.0,1001.0,0.0,0.0,0.348,0.348,0.348,0.348,0.348,0.348,0.348,0.348,0.348,0.348,3315.0,8951.348,13284.565,0.419,0.066,0.435,0.022,0.319,0.341,0.43478260869565216,0.18141520275816778,6,1000.0
MapDB,mct,0.4,6091.0,23.0,1105.0,1105.0,11.0,971.0,0.0,0.0,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,3315.0,8517.783,13282.131,0.46,0.022,0.478,0.022,0.272,0.294,0.4782608695652174,0.18141520275816778,6,1000.0
MapDB,mct,0.5,6091.0,23.0,1105.0,1105.0,9.0,562.0,0.0,0.0,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,3315.0,9384.913,13285.783,0.379,0.012,0.391,0.022,0.371,0.392,0.391304347826087,0.18141520275816778,6,1000.0
MapDB,mct,1.0,6091.0,23.0,1105.0,1105.0,11.0,681.0,0.0,0.0,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,3315.0,8517.783,13282.131,0.461,0.027,0.478,0.022,0.272,0.294,0.4782608695652174,0.18141520275816778,6,1000.0
