dta,spt,bnd,ita,num_docs,num_rels,num_shown,num_feedback,rels_found,last_rel,wss_100,wss_95,NCG@10,NCG@20,NCG@30,NCG@40,NCG@50,NCG@60,NCG@70,NCG@80,NCG@90,NCG@100,total_cost,total_cost_uniform,total_cost_weighted,norm_area,ap,r,loss_e,loss_r,loss_er,recall,cost
android,0.8,30,1.0,639.0,48.0,567.0,426.0,48.0,457.0,0.285,0.405,0.625,0.792,0.833,0.917,0.917,0.958,0.979,1.0,1.0,1.0,1419.0,1419.0,1419.0,0.899,0.572,1.0,0.359,0.0,0.359,1.0,0.8873239436619719
android,0.8,30,1.05,639.0,48.0,567.0,426.0,48.0,457.0,0.285,0.405,0.625,0.792,0.833,0.917,0.917,0.958,0.979,1.0,1.0,1.0,1419.0,1419.0,1419.0,0.899,0.572,1.0,0.359,0.0,0.359,1.0,0.8873239436619719
android,0.8,50,1.0,639.0,48.0,590.0,503.0,47.0,398.0,0.0,0.391,0.604,0.792,0.917,0.917,0.938,0.958,0.979,0.979,0.979,0.979,1596.0,1598.042,1596.0,0.905,0.571,0.979,0.389,0.0,0.39,0.9791666666666666,0.9233176838810642
android,0.8,50,1.05,639.0,48.0,590.0,503.0,47.0,398.0,0.0,0.391,0.604,0.792,0.917,0.917,0.938,0.958,0.979,0.979,0.979,0.979,1596.0,1598.042,1596.0,0.905,0.571,0.979,0.389,0.0,0.39,0.9791666666666666,0.9233176838810642
android,0.8,70,1.0,639.0,48.0,596.0,511.0,47.0,393.0,0.0,0.385,0.604,0.792,0.917,0.917,0.938,0.958,0.979,0.979,0.979,0.979,1618.0,1619.792,1618.0,0.905,0.572,0.979,0.397,0.0,0.398,0.9791666666666666,0.9327073552425665
android,0.8,70,1.05,639.0,48.0,596.0,511.0,47.0,393.0,0.0,0.385,0.604,0.792,0.917,0.917,0.938,0.958,0.979,0.979,0.979,0.979,1618.0,1619.792,1618.0,0.905,0.572,0.979,0.397,0.0,0.398,0.9791666666666666,0.9327073552425665
android,0.8,90,1.0,639.0,48.0,596.0,511.0,47.0,393.0,0.0,0.385,0.604,0.792,0.917,0.917,0.938,0.958,0.979,0.979,0.979,0.979,1618.0,1619.792,1618.0,0.905,0.572,0.979,0.397,0.0,0.398,0.9791666666666666,0.9327073552425665
android,0.8,90,1.05,639.0,48.0,596.0,511.0,47.0,393.0,0.0,0.385,0.604,0.792,0.917,0.917,0.938,0.958,0.979,0.979,0.979,0.979,1618.0,1619.792,1618.0,0.905,0.572,0.979,0.397,0.0,0.398,0.9791666666666666,0.9327073552425665
android,0.8,110,1.0,639.0,48.0,596.0,511.0,47.0,393.0,0.0,0.385,0.604,0.792,0.917,0.917,0.938,0.958,0.979,0.979,0.979,0.979,1618.0,1619.792,1618.0,0.905,0.572,0.979,0.397,0.0,0.398,0.9791666666666666,0.9327073552425665
android,0.8,110,1.05,639.0,48.0,596.0,511.0,47.0,393.0,0.0,0.385,0.604,0.792,0.917,0.917,0.938,0.958,0.979,0.979,0.979,0.979,1618.0,1619.792,1618.0,0.905,0.572,0.979,0.397,0.0,0.398,0.9791666666666666,0.9327073552425665
