dta_train,dta_test,train_percentage,num_docs,num_rels,num_shown,num_feedback,rels_found,last_rel,wss_100,wss_95,NCG@10,NCG@20,NCG@30,NCG@40,NCG@50,NCG@60,NCG@70,NCG@80,NCG@90,NCG@100,total_cost,total_cost_uniform,total_cost_weighted,norm_area,ap,r,loss_e,loss_r,loss_er,recall,cost,spt,bnd,ita
MapDB,junit,0.1,5432.0,87.0,3924.0,2860.0,86.0,3488.0,0.0,0.497,0.724,0.839,0.931,0.931,0.977,0.977,0.989,0.989,0.989,0.989,9644.0,9678.667,9644.0,0.914,0.337,0.989,0.149,0.0,0.149,0.9885057471264368,0.7223858615611193,1.0,110,1.05
MapDB,mct,0.1,6091.0,23.0,6040.0,2970.0,23.0,4687.0,0.231,0.244,0.739,0.783,0.826,0.826,0.913,0.913,0.913,1.0,1.0,1.0,11980.0,11980.0,11980.0,0.865,0.286,1.0,0.65,0.0,0.65,1.0,0.9916269906419307,1.0,110,1.05
android,junit,0.1,5432.0,87.0,4202.0,2860.0,85.0,3706.0,0.0,0.575,0.782,0.874,0.931,0.966,0.966,0.966,0.977,0.977,0.977,0.977,9922.0,9978.552,11152.0,0.918,0.357,0.977,0.171,0.001,0.172,0.9770114942528736,0.7735640648011782,1.0,110,1.05
android,mct,0.1,6091.0,23.0,3017.0,2970.0,15.0,601.0,0.0,0.0,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,8957.0,11095.435,15056.969,0.638,0.29,0.652,0.162,0.121,0.283,0.6521739130434783,0.495320965358726,1.0,110,1.05
anttlr4,junit,0.1,5432.0,87.0,3862.0,2860.0,84.0,3236.0,0.0,0.383,0.805,0.885,0.885,0.908,0.908,0.966,0.966,0.966,0.966,0.966,9582.0,9690.276,11937.0,0.898,0.337,0.966,0.145,0.001,0.146,0.9655172413793104,0.7109720176730486,1.0,110,1.05
anttlr4,mct,0.1,6091.0,23.0,4005.0,2970.0,17.0,3706.0,0.0,0.0,0.565,0.609,0.609,0.696,0.696,0.696,0.696,0.696,0.696,0.696,9945.0,11033.348,13986.625,0.671,0.264,0.739,0.286,0.068,0.354,0.7391304347826086,0.6575274995895584,1.0,110,1.05
broadleaf,junit,0.1,5432.0,87.0,3566.0,2860.0,85.0,2477.0,0.0,0.551,0.77,0.851,0.897,0.954,0.977,0.977,0.977,0.977,0.977,0.977,9286.0,9371.793,11152.0,0.908,0.308,0.977,0.123,0.001,0.124,0.9770114942528736,0.656480117820324,1.0,110,1.05
broadleaf,mct,0.1,6091.0,23.0,6091.0,2970.0,23.0,5346.0,0.122,0.072,0.478,0.652,0.696,0.739,0.739,0.739,0.739,0.913,1.0,1.0,12031.0,12031.0,12031.0,0.735,0.073,1.0,0.661,0.0,0.661,1.0,1.0,1.0,110,1.05
ceylon,junit,0.1,5432.0,87.0,3358.0,2860.0,83.0,2815.0,0.0,0.432,0.747,0.862,0.908,0.92,0.943,0.954,0.954,0.954,0.954,0.954,9078.0,9268.713,12707.5,0.895,0.35,0.954,0.109,0.002,0.111,0.9540229885057471,0.6181885125184094,1.0,110,1.05
ceylon,mct,0.1,6091.0,23.0,3659.0,2970.0,18.0,2976.0,0.0,0.0,0.565,0.652,0.652,0.739,0.783,0.783,0.783,0.783,0.783,0.783,9599.0,10656.391,14159.0,0.707,0.164,0.783,0.239,0.047,0.286,0.782608695652174,0.6007223772779511,1.0,110,1.05
elasticsearch,junit,0.1,5432.0,87.0,4615.0,2860.0,85.0,4262.0,0.0,0.374,0.667,0.816,0.839,0.897,0.92,0.954,0.966,0.977,0.977,0.977,10335.0,10372.563,11152.0,0.874,0.294,0.977,0.206,0.001,0.207,0.9770114942528736,0.8495949926362297,1.0,110,1.05
elasticsearch,mct,0.1,6091.0,23.0,5664.0,2970.0,23.0,4218.0,0.308,0.269,0.565,0.652,0.652,0.652,0.826,0.913,1.0,1.0,1.0,1.0,11604.0,11604.0,11604.0,0.789,0.033,1.0,0.572,0.0,0.572,1.0,0.9298965687079297,1.0,110,1.05
hazelcast,junit,0.1,5432.0,87.0,4760.0,2860.0,87.0,2747.0,0.494,0.45,0.69,0.805,0.851,0.943,0.966,1.0,1.0,1.0,1.0,1.0,10480.0,10480.0,10480.0,0.893,0.28,1.0,0.22,0.0,0.22,1.0,0.8762886597938144,1.0,110,1.05
hazelcast,mct,0.1,6091.0,23.0,6091.0,2970.0,23.0,4965.0,0.185,0.135,0.391,0.609,0.87,0.87,0.913,0.913,0.913,0.913,1.0,1.0,12031.0,12031.0,12031.0,0.801,0.113,1.0,0.661,0.0,0.661,1.0,1.0,1.0,110,1.05
junit,mct,0.1,6091.0,23.0,4148.0,2970.0,18.0,1548.0,0.0,0.0,0.565,0.565,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,10088.0,10932.783,13731.125,0.72,0.224,0.783,0.307,0.047,0.354,0.782608695652174,0.6810047611229683,1.0,110,1.05
mcMMO,junit,0.1,5432.0,87.0,4793.0,2860.0,87.0,3013.0,0.445,0.57,0.759,0.851,0.908,0.954,0.966,1.0,1.0,1.0,1.0,1.0,10513.0,10513.0,10513.0,0.918,0.351,1.0,0.223,0.0,0.223,1.0,0.8823637702503682,1.0,110,1.05
mcMMO,mct,0.1,6091.0,23.0,4834.0,2970.0,22.0,4583.0,0.0,0.198,0.435,0.609,0.652,0.652,0.739,0.913,0.913,0.913,0.913,0.913,10774.0,10883.304,10774.0,0.752,0.103,0.957,0.416,0.002,0.418,0.9565217391304348,0.7936299458217042,1.0,110,1.05
mct,junit,0.1,5432.0,87.0,4246.0,2860.0,85.0,3861.0,0.0,0.309,0.816,0.862,0.885,0.943,0.943,0.943,0.966,0.966,0.966,0.966,9966.0,10020.529,11152.0,0.905,0.333,0.977,0.175,0.001,0.175,0.9770114942528736,0.7816642120765832,1.0,110,1.05
