dta_train,dta_test,train_percentage,num_docs,num_rels,num_shown,num_feedback,rels_found,last_rel,wss_100,wss_95,NCG@10,NCG@20,NCG@30,NCG@40,NCG@50,NCG@60,NCG@70,NCG@80,NCG@90,NCG@100,total_cost,total_cost_uniform,total_cost_weighted,norm_area,ap,r,loss_e,loss_r,loss_er,recall,cost,spt,bnd,ita
MapDB,junit,0.1,5432.0,87.0,3464.0,2860.0,85.0,2591.0,0.0,0.555,0.747,0.862,0.908,0.966,0.977,0.977,0.977,0.977,0.977,0.977,9184.0,9274.483,11152.0,0.909,0.326,0.977,0.116,0.001,0.117,0.9770114942528736,0.6377025036818851,1.0,110,1.05
MapDB,junit,0.2,5432.0,87.0,4436.0,2860.0,86.0,4057.0,0.0,0.383,0.77,0.874,0.874,0.897,0.943,0.954,0.977,0.989,0.989,0.989,10156.0,10178.897,10156.0,0.898,0.297,0.989,0.191,0.0,0.191,0.9885057471264368,0.8166421207658321,1.0,110,1.05
MapDB,junit,0.3,5432.0,87.0,4796.0,2860.0,87.0,4542.0,0.164,0.474,0.724,0.839,0.897,0.92,0.966,0.977,0.977,0.977,0.977,0.977,10516.0,10516.0,10516.0,0.906,0.283,1.0,0.223,0.0,0.223,1.0,0.8829160530191458,1.0,110,1.05
MapDB,junit,0.4,5432.0,87.0,3556.0,2860.0,82.0,2743.0,0.0,0.0,0.724,0.828,0.874,0.92,0.931,0.943,0.943,0.943,0.943,0.943,9276.0,9491.632,12793.5,0.877,0.299,0.943,0.123,0.003,0.126,0.9425287356321839,0.654639175257732,1.0,110,1.05
MapDB,junit,0.5,5432.0,87.0,3514.0,2860.0,87.0,2673.0,0.508,0.648,0.747,0.805,0.931,0.989,1.0,1.0,1.0,1.0,1.0,1.0,9234.0,9234.0,9234.0,0.921,0.282,1.0,0.12,0.0,0.12,1.0,0.6469072164948454,1.0,110,1.05
MapDB,junit,1.0,5432.0,87.0,4172.0,2860.0,87.0,3675.0,0.323,0.483,0.632,0.793,0.885,0.931,0.966,0.977,1.0,1.0,1.0,1.0,9892.0,9892.0,9892.0,0.892,0.231,1.0,0.169,0.0,0.169,1.0,0.7680412371134021,1.0,110,1.05
MapDB,mct,0.1,6091.0,23.0,2980.0,2970.0,14.0,366.0,0.0,0.0,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,8920.0,11354.696,15117.695,0.598,0.235,0.609,0.158,0.153,0.311,0.6086956521739131,0.4892464291577738,1.0,110,1.05
MapDB,mct,0.2,6091.0,23.0,3073.0,2970.0,17.0,1088.0,0.0,0.0,0.609,0.739,0.739,0.739,0.739,0.739,0.739,0.739,0.739,0.739,9013.0,10587.609,14860.375,0.702,0.219,0.739,0.168,0.068,0.236,0.7391304347826086,0.5045148579871942,1.0,110,1.05
MapDB,mct,0.3,6091.0,23.0,3538.0,2970.0,17.0,2502.0,0.0,0.0,0.435,0.565,0.652,0.696,0.739,0.739,0.739,0.739,0.739,0.739,9478.0,10810.0,14424.438,0.654,0.22,0.739,0.223,0.068,0.291,0.7391304347826086,0.5808570021342965,1.0,110,1.05
MapDB,mct,0.4,6091.0,23.0,4121.0,2970.0,20.0,3446.0,0.0,0.0,0.435,0.478,0.478,0.739,0.783,0.87,0.87,0.87,0.87,0.87,10061.0,10574.913,13016.0,0.693,0.206,0.87,0.303,0.017,0.32,0.8695652173913043,0.676571991462814,1.0,110,1.05
MapDB,mct,0.5,6091.0,23.0,5148.0,2970.0,22.0,4859.0,0.0,0.152,0.478,0.565,0.609,0.609,0.652,0.652,0.739,0.957,0.957,0.957,11088.0,11170.0,11088.0,0.684,0.208,0.957,0.472,0.002,0.474,0.9565217391304348,0.8451814152027581,1.0,110,1.05
MapDB,mct,1.0,6091.0,23.0,4650.0,2970.0,16.0,4186.0,0.0,0.0,0.478,0.522,0.609,0.609,0.609,0.609,0.696,0.696,0.696,0.696,10590.0,11467.13,13426.969,0.605,0.12,0.696,0.385,0.093,0.478,0.6956521739130435,0.7634214414710229,1.0,110,1.05
android,junit,0.1,5432.0,87.0,3581.0,2860.0,85.0,2783.0,0.0,0.515,0.77,0.805,0.874,0.908,0.966,0.977,0.977,0.977,0.977,0.977,9301.0,9386.103,11152.0,0.905,0.384,0.977,0.124,0.001,0.125,0.9770114942528736,0.6592415316642121,1.0,110,1.05
android,junit,0.2,5432.0,87.0,4003.0,2860.0,86.0,3427.0,0.0,0.511,0.736,0.897,0.92,0.943,0.954,0.954,0.989,0.989,0.989,0.989,9723.0,9755.851,9723.0,0.917,0.355,0.989,0.155,0.0,0.155,0.9885057471264368,0.7369293078055965,1.0,110,1.05
android,junit,0.3,5432.0,87.0,3144.0,2860.0,82.0,1880.0,0.0,0.0,0.747,0.839,0.862,0.943,0.943,0.943,0.943,0.943,0.943,0.943,8864.0,9126.989,13154.0,0.888,0.381,0.943,0.096,0.003,0.099,0.9425287356321839,0.5787923416789397,1.0,110,1.05
android,junit,0.4,5432.0,87.0,3433.0,2860.0,85.0,2504.0,0.0,0.549,0.736,0.862,0.885,0.943,0.977,0.977,0.977,0.977,0.977,0.977,9153.0,9244.908,11152.0,0.907,0.362,0.977,0.114,0.001,0.115,0.9770114942528736,0.6319955817378498,1.0,110,1.05
android,junit,0.5,5432.0,87.0,4200.0,2860.0,86.0,3701.0,0.0,0.626,0.747,0.828,0.908,0.966,0.966,0.966,0.989,0.989,0.989,0.989,9920.0,9948.322,9920.0,0.91,0.367,0.989,0.171,0.0,0.171,0.9885057471264368,0.7731958762886598,1.0,110,1.05
android,junit,1.0,5432.0,87.0,3419.0,2860.0,82.0,2514.0,0.0,0.0,0.793,0.816,0.851,0.897,0.943,0.943,0.943,0.943,0.943,0.943,9139.0,9370.379,12913.375,0.88,0.359,0.943,0.113,0.003,0.117,0.9425287356321839,0.6294182621502209,1.0,110,1.05
android,mct,0.1,6091.0,23.0,3986.0,2970.0,21.0,2956.0,0.0,0.0,0.826,0.826,0.826,0.87,0.913,0.913,0.913,0.913,0.913,0.913,9926.0,10292.087,12031.0,0.856,0.27,0.913,0.283,0.008,0.291,0.9130434782608695,0.6544081431620423,1.0,110,1.05
android,mct,0.2,6091.0,23.0,2974.0,2970.0,12.0,659.0,0.0,0.0,0.478,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.522,8914.0,11895.478,15141.912,0.514,0.226,0.522,0.158,0.229,0.386,0.5217391304347826,0.48826136923329505,1.0,110,1.05
android,mct,0.3,6091.0,23.0,6071.0,2970.0,23.0,4832.0,0.207,0.157,0.522,0.522,0.739,0.826,0.826,0.826,0.826,1.0,1.0,1.0,12011.0,12011.0,12011.0,0.786,0.257,1.0,0.657,0.0,0.657,1.0,0.9967164669184042,1.0,110,1.05
android,mct,0.4,6091.0,23.0,3314.0,2970.0,15.0,1962.0,0.0,0.0,0.565,0.565,0.609,0.652,0.652,0.652,0.652,0.652,0.652,0.652,9254.0,11185.826,14764.609,0.62,0.171,0.652,0.196,0.121,0.317,0.6521739130434783,0.5440814316204236,1.0,110,1.05
android,mct,0.5,6091.0,23.0,3727.0,2970.0,16.0,2786.0,0.0,0.0,0.435,0.522,0.609,0.652,0.696,0.696,0.696,0.696,0.696,0.696,9667.0,11105.957,14321.125,0.618,0.21,0.696,0.247,0.093,0.34,0.6956521739130435,0.6118863897553768,1.0,110,1.05
android,mct,1.0,6091.0,23.0,4219.0,2970.0,21.0,3543.0,0.0,0.0,0.478,0.478,0.522,0.826,0.87,0.913,0.913,0.913,0.913,0.913,10159.0,10484.565,12031.0,0.733,0.135,0.913,0.317,0.008,0.325,0.9130434782608695,0.6926613035626334,1.0,110,1.05
anttlr4,junit,0.1,5432.0,87.0,3143.0,2860.0,79.0,1770.0,0.0,0.0,0.805,0.862,0.885,0.908,0.908,0.908,0.908,0.908,0.908,0.908,8863.0,9283.966,13405.234,0.873,0.339,0.908,0.096,0.008,0.104,0.9080459770114943,0.5786082474226805,1.0,110,1.05
anttlr4,junit,0.2,5432.0,87.0,3844.0,2860.0,85.0,3166.0,0.0,0.573,0.747,0.885,0.908,0.966,0.966,0.977,0.977,0.977,0.977,0.977,9564.0,9637.011,11152.0,0.913,0.335,0.977,0.143,0.001,0.144,0.9770114942528736,0.707658321060383,1.0,110,1.05
anttlr4,junit,0.3,5432.0,87.0,4356.0,2860.0,86.0,3950.0,0.0,0.564,0.805,0.862,0.931,0.966,0.966,0.966,0.966,0.989,0.989,0.989,10076.0,10100.736,10076.0,0.919,0.327,0.989,0.184,0.0,0.184,0.9885057471264368,0.8019145802650958,1.0,110,1.05
anttlr4,junit,0.4,5432.0,87.0,4281.0,2860.0,87.0,3841.0,0.293,0.339,0.805,0.908,0.92,0.943,0.943,0.943,0.977,0.977,0.977,0.977,10001.0,10001.0,10001.0,0.914,0.315,1.0,0.178,0.0,0.178,1.0,0.7881075110456554,1.0,110,1.05
anttlr4,junit,0.5,5432.0,87.0,3761.0,2860.0,84.0,3045.0,0.0,0.39,0.747,0.828,0.931,0.943,0.943,0.966,0.966,0.966,0.966,0.966,9481.0,9596.241,11987.5,0.904,0.326,0.966,0.137,0.001,0.138,0.9655172413793104,0.6923784977908689,1.0,110,1.05
anttlr4,junit,1.0,5432.0,87.0,2908.0,2860.0,77.0,1086.0,0.0,0.0,0.713,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,8628.0,9208.23,13666.141,0.85,0.308,0.885,0.082,0.013,0.095,0.8850574712643678,0.5353460972017673,1.0,110,1.05
anttlr4,mct,0.1,6091.0,23.0,3049.0,2970.0,16.0,1271.0,0.0,0.0,0.609,0.652,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.696,8989.0,10840.652,14977.938,0.671,0.263,0.696,0.166,0.093,0.258,0.6956521739130435,0.5005746182892793,1.0,110,1.05
anttlr4,mct,0.2,6091.0,23.0,6078.0,2970.0,23.0,4361.0,0.284,0.423,0.739,0.783,0.87,0.87,0.87,0.957,0.957,1.0,1.0,1.0,12018.0,12018.0,12018.0,0.877,0.252,1.0,0.658,0.0,0.658,1.0,0.9978657034969627,1.0,110,1.05
anttlr4,mct,0.3,6091.0,23.0,4013.0,2970.0,20.0,3264.0,0.0,0.0,0.652,0.696,0.696,0.696,0.696,0.87,0.87,0.87,0.87,0.87,9953.0,10495.087,13070.0,0.757,0.24,0.87,0.287,0.017,0.304,0.8695652173913043,0.6588409128221967,1.0,110,1.05
anttlr4,mct,0.4,6091.0,23.0,2971.0,2970.0,14.0,585.0,0.0,0.0,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,8911.0,11352.739,15126.625,0.599,0.241,0.609,0.157,0.153,0.31,0.6086956521739131,0.48776883927105563,1.0,110,1.05
