dta_train,dta_test,train_percentage,num_docs,num_rels,num_shown,num_feedback,rels_found,last_rel,wss_100,wss_95,NCG@10,NCG@20,NCG@30,NCG@40,NCG@50,NCG@60,NCG@70,NCG@80,NCG@90,NCG@100,total_cost,total_cost_uniform,total_cost_weighted,norm_area,ap,r,loss_e,loss_r,loss_er,recall,cost,spt,bnd,ita
MapDB,android,0.1,639.0,48.0,639.0,630.0,48.0,535.0,0.163,0.304,0.583,0.771,0.833,0.854,0.917,0.938,0.958,0.958,1.0,1.0,1899.0,1899.0,1899.0,0.879,0.554,1.0,0.457,0.0,0.457,1.0,1.0,1.0,110,1.05
MapDB,android,0.2,639.0,48.0,635.0,630.0,48.0,474.0,0.258,0.396,0.625,0.771,0.812,0.854,0.875,0.958,0.979,1.0,1.0,1.0,1895.0,1895.0,1895.0,0.881,0.53,1.0,0.451,0.0,0.451,1.0,0.9937402190923318,1.0,110,1.05
MapDB,android,0.3,639.0,48.0,634.0,630.0,48.0,524.0,0.18,0.335,0.542,0.729,0.771,0.833,0.875,0.896,0.979,0.979,1.0,1.0,1894.0,1894.0,1894.0,0.857,0.465,1.0,0.449,0.0,0.449,1.0,0.9921752738654147,1.0,110,1.05
MapDB,android,0.4,639.0,48.0,630.0,630.0,48.0,530.0,0.171,0.365,0.562,0.729,0.792,0.812,0.833,0.958,0.958,0.979,1.0,1.0,1890.0,1890.0,1890.0,0.859,0.477,1.0,0.444,0.0,0.444,1.0,0.9859154929577465,1.0,110,1.05
MapDB,android,0.5,639.0,48.0,639.0,630.0,48.0,500.0,0.218,0.261,0.562,0.75,0.771,0.812,0.854,0.875,0.958,1.0,1.0,1.0,1899.0,1899.0,1899.0,0.843,0.487,1.0,0.457,0.0,0.457,1.0,1.0,1.0,110,1.05
MapDB,android,1.0,639.0,48.0,637.0,630.0,48.0,595.0,0.069,0.177,0.438,0.646,0.729,0.812,0.833,0.875,0.896,0.979,0.979,1.0,1897.0,1897.0,1897.0,0.811,0.414,1.0,0.454,0.0,0.454,1.0,0.9968701095461658,1.0,110,1.05
MapDB,anttlr4,0.1,2353.0,53.0,2169.0,1907.0,53.0,1939.0,0.176,0.277,0.698,0.83,0.906,0.925,0.925,0.925,0.943,0.981,1.0,1.0,5983.0,5983.0,5983.0,0.882,0.204,1.0,0.363,0.0,0.363,1.0,0.9218019549511263,1.0,110,1.05
MapDB,anttlr4,0.2,2353.0,53.0,2353.0,1907.0,53.0,2057.0,0.126,0.4,0.66,0.83,0.887,0.887,0.906,0.943,0.962,0.981,1.0,1.0,6167.0,6167.0,6167.0,0.877,0.221,1.0,0.427,0.0,0.427,1.0,1.0,1.0,110,1.05
MapDB,anttlr4,0.3,2353.0,53.0,2353.0,1907.0,53.0,2177.0,0.075,0.6,0.604,0.792,0.868,0.962,0.962,0.962,0.981,0.981,0.981,1.0,6167.0,6167.0,6167.0,0.885,0.198,1.0,0.427,0.0,0.427,1.0,1.0,1.0,110,1.05
MapDB,anttlr4,0.4,2353.0,53.0,1912.0,1907.0,49.0,1028.0,0.0,0.0,0.698,0.811,0.887,0.887,0.925,0.925,0.925,0.925,0.925,0.925,5726.0,5792.566,6497.75,0.852,0.172,0.925,0.282,0.006,0.288,0.9245283018867925,0.8125796855078623,1.0,110,1.05
MapDB,anttlr4,0.5,2353.0,53.0,2143.0,1907.0,50.0,1881.0,0.0,0.151,0.66,0.792,0.887,0.887,0.887,0.925,0.925,0.925,0.943,0.943,5957.0,5980.774,6272.0,0.851,0.182,0.943,0.354,0.003,0.358,0.9433962264150944,0.9107522311942201,1.0,110,1.05
MapDB,anttlr4,1.0,2353.0,53.0,2353.0,1907.0,53.0,2306.0,0.02,0.395,0.585,0.792,0.868,0.887,0.906,0.962,0.962,0.981,0.981,1.0,6167.0,6167.0,6167.0,0.862,0.152,1.0,0.427,0.0,0.427,1.0,1.0,1.0,110,1.05
MapDB,broadleaf,0.1,17433.0,686.0,15254.0,4180.0,671.0,15027.0,0.0,0.217,0.474,0.643,0.739,0.829,0.878,0.91,0.94,0.965,0.965,0.965,23614.0,23709.292,27971.734,0.808,0.22,0.978,0.012,0.0,0.013,0.978134110787172,0.8750071703091837,1.0,110,1.05
MapDB,broadleaf,0.2,17433.0,686.0,17433.0,4180.0,686.0,16868.0,0.032,0.186,0.461,0.653,0.749,0.828,0.87,0.897,0.923,0.961,0.987,1.0,25793.0,25793.0,25793.0,0.805,0.215,1.0,0.016,0.0,0.016,1.0,1.0,1.0,110,1.05
MapDB,broadleaf,0.3,17433.0,686.0,12023.0,4180.0,639.0,11398.0,0.0,0.0,0.453,0.615,0.736,0.829,0.885,0.921,0.921,0.921,0.921,0.921,20383.0,21124.312,31203.0,0.794,0.208,0.931,0.008,0.005,0.012,0.9314868804664723,0.6896690185280789,1.0,110,1.05
MapDB,broadleaf,0.4,17433.0,686.0,17401.0,4180.0,686.0,16988.0,0.026,0.223,0.496,0.655,0.759,0.834,0.895,0.921,0.937,0.969,0.981,0.981,25761.0,25761.0,25761.0,0.817,0.21,1.0,0.016,0.0,0.016,1.0,0.9981644008489646,1.0,110,1.05
MapDB,broadleaf,0.5,17433.0,686.0,17221.0,4180.0,686.0,17105.0,0.019,0.218,0.464,0.646,0.749,0.816,0.879,0.914,0.94,0.969,0.984,0.984,25581.0,25581.0,25581.0,0.809,0.22,1.0,0.016,0.0,0.016,1.0,0.9878391556243905,1.0,110,1.05
