ID,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,Vulnerability Rules,Number of bugs
L1717,29,1,68,2,0,0,0,0,0,0,0,0,5,2,1,8,15,8,8,9,14,1,0.25,10,10,6,0,0.25,10,0,0,0,0,0,30,40,0,0,0,0,5,0,5,0,5,15,0,5,0,30,40,0,0,0,0,5,0,5,0,5,15,0,5,0,0,0,6,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
L1888,17,1,59,2,0,0,0,0,0,0,0,0,1,2,2,7,6,1,1,8,12,0.333333,0.186047,8,8,1,2,0.186047,8,0,0,0,0,0,35,43,8,0,8,0,4,0,2,1,4,17,0,2,1,35,43,8,0,8,0,4,0,2,1,4,17,0,2,1,0,0,12,0,5,0,0,4,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
L1942,34,1,229,2,0,0,0,0,0,0,0,0,2,0,0,14,3,13,10,1,15,1,0.383838,38,38,2,0,0.365979,71,0,0,0,0,0,61,95,9,6,9,6,14,0,1,0,14,22,0,1,0,123,196,18,6,18,6,25,0,12,0,25,51,0,12,0,0,0,45,0,25,0,0,0,0,0,0,2,0,0,12,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,5,0,0,0,0,0,1
L2128,27,1,195,2,0.189591,1,6,2,0.12426,0.185841,21,21,1,3,3,33,6,1,3,5,12,1,0.306748,50,43,3,0,0.306748,50,0,0,0,0,0,113,169,6,1,6,1,7,0,2,1,7,71,0,2,1,113,169,6,1,6,1,7,0,2,1,7,71,0,2,1,0,0,22,0,6,0,0,4,0,11,0,0,0,2,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
L2207,42,1,484,2,0,0,0,0,0,0,0,0,2,3,3,65,15,11,15,25,51,1,0.463415,190,186,20,0,0.463415,190,0,0,0,0,0,220,443,14,8,14,8,26,1,19,0,26,121,1,19,0,220,443,14,8,14,8,26,1,19,0,26,121,1,19,0,0,1,31,2,23,0,0,14,0,0,0,1,0,1,1,2,0,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,4
L2219,30,1,397,2,0,0,0,0,0,0,0,0,1,0,0,2,6,5,1,2,4,1,0.457143,32,32,2,0,0.442815,151,0,0,0,0,0,38,70,15,0,15,0,2,0,1,0,2,16,0,1,0,190,368,45,0,45,0,22,3,20,0,22,99,3,20,0,0,0,31,0,68,0,0,26,0,0,0,1,0,0,15,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,0,14,0,0,0,0,0,1
L1904,20,1,39,2,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1,1,2,0.5,0.307692,8,8,1,1,0.307692,8,0,0,0,0,0,18,20,7,0,7,0,1,0,1,0,1,7,0,1,0,18,20,7,0,7,0,1,0,1,0,1,7,0,1,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
L2327,37,1,319,2,0,0,0,0,0,0,0,0,1,4,4,56,16,3,1,26,35,0.333333,0.0923695,23,14,1,2,0.0894942,23,0,0,0,0,0,226,275,25,0,25,0,9,0,2,0,9,155,0,2,0,234,283,25,0,25,0,11,0,4,0,11,157,0,4,0,0,0,39,5,34,0,1,32,0,0,0,0,0,4,2,2,0,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,7
L2831,12,1,29,2,0,0,0,0,0,0,0,0,1,2,2,4,0,1,1,0,2,0.5,0.285714,6,5,1,1,0.285714,6,0,0,0,0,0,15,18,1,0,1,0,2,0,1,0,2,6,0,1,0,15,18,1,0,1,0,2,0,1,0,2,6,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L2842,12,1,58,2,0,0,0,0,0,0,0,0,1,1,1,11,1,10,21,0,8,0.142857,0.119048,5,5,1,6,0.119048,5,0,0,0,0,0,37,47,1,0,1,0,8,0,6,0,8,15,0,6,0,37,47,1,0,1,0,8,0,6,0,8,15,0,6,0,0,0,19,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
