ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,Vulnerability Rules,Number of bugs
L8664,CeylonLaunchDelegate,com.redhat.ceylon.eclipse.launching.CeylonLaunchDelegate,L8660,L103,plugins\com.redhat.ceylon.eclipse.ui\src\com\redhat\ceylon\eclipse\launching\CeylonLaunchDelegate.java,27,1,116,2,0,0,0,0,0,0,0,0,1,4,4,14,2,0,0,2,4,0,0.038961,3,0,0,2,0.038961,3,0,0,0,0,0,74,90,0,1,0,1,2,0,1,0,2,47,0,1,0,74,90,0,1,0,1,2,0,1,0,2,47,0,1,0,0,0,9,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L8682,CeylonPerspectiveFactory,com.redhat.ceylon.eclipse.ui.CeylonPerspectiveFactory,L8676,L103,plugins\com.redhat.ceylon.eclipse.ui\src\com\redhat\ceylon\eclipse\ui\CeylonPerspectiveFactory.java,6,1,10,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,4,5,0,0,0,0,1,0,1,0,1,0,0,1,0,4,5,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L8686,CeylonPlugin,com.redhat.ceylon.eclipse.ui.CeylonPlugin,L8676,L103,plugins\com.redhat.ceylon.eclipse.ui\src\com\redhat\ceylon\eclipse\ui\CeylonPlugin.java,45,1,325,2,0,0,0,0,0,0,0,0,3,2,2,29,6,27,34,4,24,0.25,0.176471,33,31,4,12,148,37,1,1,0,0,1,154,217,42,7,9,7,20,3,15,0,20,84,36,15,0,213,281,42,7,9,7,23,3,17,0,23,115,36,17,0,0,1,64,5,15,0,0,2,0,0,0,1,0,4,1,0,0,11,50,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,9,1,0,2,0,0,0
L8762,WelcomeAction,com.redhat.ceylon.eclipse.ui.WelcomeAction,L8676,L103,plugins\com.redhat.ceylon.eclipse.ui\src\com\redhat\ceylon\eclipse\ui\WelcomeAction.java,14,1,32,2,0,0,0,0,0,0,0,0,1,1,1,3,1,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,17,19,0,0,0,0,1,0,1,0,1,8,0,1,0,17,19,0,0,0,0,1,0,1,0,1,8,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L2051,EclipseLogger,com.redhat.ceylon.eclipse.util.EclipseLogger,L8766,L103,plugins\com.redhat.ceylon.eclipse.ui\src\com\redhat\ceylon\eclipse\util\EclipseLogger.java,5,1,34,2,0,0,0,0,0,0,0,0,4,0,0,5,0,3,0,0,5,0,0.0434783,1,0,0,6,0.0434783,1,0,0,0,0,0,22,30,1,1,1,1,5,0,5,0,5,5,0,5,0,22,30,1,1,1,1,5,0,5,0,5,5,0,5,0,0,0,12,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L4092,ErrorCollectionVisitor,com.redhat.ceylon.eclipse.util.ErrorCollectionVisitor,L8766,L103,plugins\com.redhat.ceylon.eclipse.ui\src\com\redhat\ceylon\eclipse\util\ErrorCollectionVisitor.java,12,1,56,2,0,0,0,0,0,0,0,0,1,2,1,7,0,1,1,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,38,45,4,1,4,1,4,0,4,0,4,16,0,4,0,38,45,4,1,4,1,4,0,4,0,4,16,0,4,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L2069,ErrorVisitor,com.redhat.ceylon.eclipse.util.ErrorVisitor,L8766,L103,plugins\com.redhat.ceylon.eclipse.ui\src\com\redhat\ceylon\eclipse\util\ErrorVisitor.java,24,1,104,2,0,0,0,0,0,0,0,0,1,4,4,16,1,4,0,1,6,0,0,0,0,0,5,0,0,0,0,2,2,0,74,81,2,1,2,1,5,0,4,0,5,45,0,4,0,74,81,2,1,2,1,5,0,4,0,5,45,0,4,0,0,0,15,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L7855,FindAssignmentsVisitor,com.redhat.ceylon.eclipse.util.FindAssignmentsVisitor,L8766,L103,plugins\com.redhat.ceylon.eclipse.ui\src\com\redhat\ceylon\eclipse\util\FindAssignmentsVisitor.java,23,1,149,2,0.142857,1,4,1,0.110236,0.126126,14,14,2,2,2,35,0,1,1,0,14,0.0769231,0.00892857,1,1,1,12,0.00892857,1,0,0,0,0,0,111,127,2,2,2,2,14,0,12,0,14,48,0,12,0,111,127,2,2,2,2,14,0,12,0,14,48,0,12,0,0,0,40,0,4,0,1,0,0,8,0,1,0,0,0,0,0,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L5427,FindContainerVisitor,com.redhat.ceylon.eclipse.util.FindContainerVisitor,L8766,L103,plugins\com.redhat.ceylon.eclipse.ui\src\com\redhat\ceylon\eclipse\util\FindContainerVisitor.java,7,1,60,2,0,0,0,0,0,0,0,0,1,1,1,10,0,3,5,0,8,0,0,0,0,0,9,0,0,0,0,0,0,0,54,54,3,1,3,1,8,0,8,0,8,26,0,8,0,54,54,3,1,3,1,8,0,8,0,8,26,0,8,0,0,0,19,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L2422,FindDeclarationVisitor,com.redhat.ceylon.eclipse.util.FindDeclarationVisitor,L8766,L103,plugins\com.redhat.ceylon.eclipse.ui\src\com\redhat\ceylon\eclipse\util\FindDeclarationVisitor.java,8,1,47,2,0,0,0,0,0,0,0,0,1,1,1,10,0,4,10,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,32,40,2,1,2,1,6,0,5,0,6,11,0,5,0,32,40,2,1,2,1,6,0,5,0,6,11,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
