ID,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,Vulnerability Rules,Number of bugs
L49123,33,1,183,2,0,0,0,0,0,0,0,0,2,1,1,16,0,65,111,0,13,1,0.515873,65,65,14,0,0.515873,65,0,0,5,8,0,61,151,7,5,7,5,13,0,13,6,13,23,0,13,6,61,151,7,5,7,5,13,0,13,6,13,23,0,13,6,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
L49203,30,1,55,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,2,1,0.56,14,14,3,0,0.56,14,0,0,0,0,0,11,26,2,1,2,1,2,0,2,0,2,3,0,2,0,11,26,2,1,2,1,2,0,2,0,2,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L24892,34,1,76,2,0,0,0,0,0,0,0,0,1,0,0,5,0,6,7,0,5,0.5,0.333333,12,12,3,3,0.333333,12,0,0,0,0,0,24,43,2,1,2,1,5,0,5,0,5,7,0,5,0,24,43,2,1,2,1,5,0,5,0,5,7,0,5,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
L22934,28,1,522,2,0.0727884,1,8,2,0.0424242,0.0643087,21,20,1,3,3,98,0,23,119,0,22,0.956522,0.308889,139,127,22,1,0.308889,139,0,0,0,0,0,311,495,4,2,4,2,22,0,22,1,22,190,0,22,1,311,495,4,2,4,2,22,0,22,1,22,190,0,22,1,0,0,25,6,2,0,0,0,1,14,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0
L48935,34,1,75,2,0,0,0,0,0,0,0,0,1,0,0,5,0,2,3,0,5,0.5,0.405405,15,15,3,3,0.405405,15,0,0,0,0,0,22,42,2,1,2,1,5,0,5,0,5,5,0,5,0,22,42,2,1,2,1,5,0,5,0,5,5,0,5,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L48900,29,1,60,2,0,0,0,0,0,0,0,0,1,2,2,4,2,3,1,2,3,0.5,0.117647,4,4,1,1,0.117647,4,1,1,0,0,1,30,32,1,0,1,0,1,0,1,0,1,21,0,1,0,30,32,1,0,1,0,1,0,1,0,1,21,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L49463,32,1,164,2,0.912127,6,37,9,0.87218,0.863248,116,101,1,3,2,18,2,1,1,2,3,0.5,0.0859375,11,4,1,1,0.0859375,11,1,1,0,0,1,117,133,0,0,0,0,1,0,1,0,1,103,0,1,0,117,133,0,0,0,0,1,0,1,0,1,103,0,1,0,0,0,23,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
L48930,33,1,84,2,0.235772,2,4,2,0.25,0.255814,13,11,1,3,3,8,2,2,1,2,3,1,0.14,7,5,2,0,0.14,7,1,1,0,0,1,43,52,0,0,0,0,1,0,1,0,1,38,0,1,0,43,52,0,0,0,0,1,0,1,0,1,38,0,1,0,0,0,15,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L49477,53,1,465,2,0,0,0,0,0,0,0,0,1,4,4,77,1,1,0,1,14,0.333333,0.174927,60,23,3,6,0.174927,60,0,0,0,0,0,283,413,8,4,8,4,13,2,8,0,13,195,2,8,0,283,413,8,4,8,4,13,2,8,0,13,195,2,8,0,0,2,40,5,65,0,1,10,0,0,0,0,0,5,3,0,0,51,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,10,0,0,0,0,0,0
L49646,32,1,52,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,1,0.761905,16,16,3,0,0.761905,16,0,0,1,1,0,5,21,1,0,1,0,2,0,2,0,2,0,0,2,0,5,21,1,0,1,0,2,0,2,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
L49676,14,1,168,2,0,0,0,0,0,0,0,0,8,1,1,11,0,1,1,0,8,1,0.35461,50,45,9,0,0.35461,50,0,0,0,0,0,91,155,0,0,0,0,8,0,8,0,8,76,0,8,0,91,155,0,0,0,0,8,0,8,0,8,76,0,8,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
L25017,32,1,241,2,0.543974,5,35,8,0.538095,0.531915,113,100,1,8,2,34,2,6,1,2,3,0.5,0.0646766,13,4,1,1,0.0646766,13,1,1,0,0,1,188,210,3,0,3,0,1,0,1,0,1,161,0,1,0,188,210,3,0,3,0,1,0,1,0,1,161,0,1,0,0,0,27,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
