ID,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,Vulnerability Rules,Number of bugs
L58253,42,1,102,2,0.173653,1,4,1,0.163934,0.222222,10,10,1,3,3,12,2,0,0,4,6,1,0.262295,16,16,2,0,0.262295,16,0,0,0,0,0,45,61,0,0,0,0,2,0,1,0,2,25,0,1,0,45,61,0,0,0,0,2,0,1,0,2,25,0,1,0,0,1,13,0,2,0,0,2,0,11,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L18420,18,1,44,2,0,0,0,0,0,0,0,0,0,1,1,4,0,10,6,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,21,27,2,2,2,2,2,2,2,0,2,12,2,2,0,21,27,2,2,2,2,2,2,2,0,2,12,2,2,0,0,0,11,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
L18429,52,1,450,2,0,0,0,0,0,0,0,0,4,4,4,71,22,105,185,26,58,0.0322581,0.0685358,22,7,1,30,0.0685358,22,1,1,0,0,1,299,399,21,16,20,16,32,3,30,2,36,174,3,30,2,299,399,21,16,20,16,32,3,30,2,36,174,3,30,2,0,3,86,2,57,0,2,49,0,0,0,1,0,5,0,2,0,3,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,13,1,0,1,0,0,0
L18479,18,1,37,2,0,0,0,0,0,0,0,0,2,1,1,4,1,1,1,2,5,0.333333,0.166667,3,3,1,2,0.166667,3,0,0,0,0,0,15,20,0,0,0,0,3,0,2,0,3,4,0,2,0,15,20,0,0,0,0,3,0,2,0,3,4,0,2,0,0,1,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L37413,28,1,92,2,0,0,0,0,0,0,0,0,2,1,1,15,8,11,7,2,10,0.111111,0.0535714,3,3,1,8,0.0535714,3,0,0,0,0,0,53,65,7,3,7,3,8,7,8,0,8,22,7,8,0,53,65,7,3,7,3,8,7,8,0,8,22,7,8,0,0,0,23,0,11,0,0,8,0,0,0,1,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
L40175,42,1,300,2,0,0,0,0,0,0,0,0,2,5,5,25,19,7,11,30,40,0.454545,0.208333,40,32,5,6,0.185185,40,1,1,0,0,1,152,234,5,3,4,3,10,0,10,0,14,90,0,10,0,176,259,5,4,4,4,12,0,12,0,16,102,0,12,0,0,1,34,2,21,0,1,12,0,0,0,1,0,5,0,3,0,5,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,0,0,0
L34785,73,1,662,2,0,0,0,0,0,0,0,0,2,6,6,128,44,34,46,71,112,0.0294118,0.0907127,42,12,1,33,0.0887949,42,0,0,0,0,0,421,580,17,16,17,16,41,0,33,1,41,247,0,33,1,431,590,17,17,17,17,42,0,34,1,42,253,0,34,1,0,11,115,10,154,0,5,78,0,0,0,1,0,10,0,6,0,84,88,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,5,1,0,0,0,0
L40449,18,1,34,2,0,0,0,0,0,0,0,0,1,0,0,3,1,19,34,3,6,0,0,0,0,0,4,0,0,0,0,0,0,0,14,17,1,0,1,0,3,0,3,0,3,5,0,3,0,14,17,1,0,1,0,3,0,3,0,3,5,0,3,0,0,0,9,2,5,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
L40245,20,1,41,2,0,0,0,0,0,0,0,0,2,1,1,5,3,1,2,4,7,0.333333,0.15,3,3,1,2,0.15,3,0,0,0,0,0,17,22,0,0,0,0,3,0,2,0,3,6,0,2,0,17,22,0,0,0,0,3,0,2,0,3,6,0,2,0,0,1,8,0,2,0,1,2,0,0,0,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L40463,41,1,141,2,0,0,0,0,0,0,0,0,1,5,5,23,15,0,0,16,20,0.25,0.11828,11,6,1,3,0.11828,11,0,0,0,0,0,82,101,7,0,7,0,4,3,3,0,4,49,3,3,0,82,101,7,0,7,0,4,3,3,0,4,49,3,3,0,0,4,20,2,23,0,1,6,0,0,0,0,0,3,0,1,0,16,11,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0
L41364,94,1,2015,2,0.0611055,4,16,8,0.0655567,0.063249,126,95,4,6,6,326,80,3,6,182,299,125,0.0265716,41,19,13,91,0.0263496,41,2,4,1,1,3,1502,1909,21,10,8,6,117,0,103,1,141,907,0,110,2,1515,1922,21,10,8,6,120,0,106,1,144,911,0,113,2,0,20,328,43,143,0,8,111,0,53,0,1,0,12,0,6,0,45,238,8,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,17,16,23,0,0,0,0
L51787,6,1,45,2,0,0,0,0,0,0,0,0,10,0,0,13,3,1,1,1,12,0,0,0,0,0,12,0,0,1,1,0,0,1,29,40,1,0,1,0,11,0,11,0,11,3,0,11,0,29,40,1,0,1,0,11,0,11,0,11,3,0,11,0,0,2,26,0,10,0,0,0,0,0,0,1,0,0,1,0,0,11,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L51752,20,1,61,2,0,0,0,0,0,0,0,0,5,1,1,10,1,1,6,2,9,0,0,0,0,0,3,0,0,1,1,1,2,1,34,42,13,4,0,0,7,0,2,0,24,13,0,7,1,34,42,13,4,0,0,7,0,2,0,24,13,0,7,1,0,0,18,1,8,0,1,4,0,0,0,1,0,0,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
L52204,24,1,139,2,0,0,0,0,0,0,0,0,1,2,2,32,3,6,13,10,20,0.2,0.1,10,3,1,4,0.1,10,1,1,6,6,1,90,116,5,0,5,0,10,0,4,0,10,56,0,4,0,90,116,5,0,5,0,10,0,4,0,10,56,0,4,0,0,0,23,0,30,0,0,20,0,0,0,0,0,0,10,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L52256,25,1,29,2,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0.5,0.583333,7,7,1,1,0.583333,7,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L52264,25,1,29,2,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0.5,0.583333,7,7,1,1,0.583333,7,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L3087,36,1,164,2,0.135593,1,3,1,0.0852713,0.126761,11,9,1,2,2,23,3,20,68,0,10,0.727273,0.403361,48,48,8,3,0.403361,48,0,0,0,0,0,71,129,3,1,3,1,10,0,10,0,10,39,0,10,0,71,129,3,1,3,1,10,0,10,0,10,39,0,10,0,0,0,14,0,16,0,0,14,0,7,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L52303,8,1,75,2,0,0,0,0,0,0,0,0,1,1,1,12,0,0,0,0,10,0,0,0,0,0,9,0,0,0,0,0,0,0,50,68,3,0,3,0,10,0,8,0,10,19,0,8,0,50,68,3,0,3,0,10,0,8,0,10,19,0,8,0,0,0,23,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
L52341,28,1,91,2,0,0,0,0,0,0,0,0,1,0,0,2,1,2,2,0,2,0.666667,0.47619,10,10,2,1,0.548387,34,0,0,0,0,0,11,20,2,0,2,0,2,0,2,0,2,3,0,2,0,28,64,3,0,3,0,5,0,5,0,5,8,0,5,0,0,0,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L8899,26,1,49,2,0,0,0,0,0,0,0,0,1,0,0,5,1,1,1,0,5,0.166667,0.24,6,6,1,5,0.24,6,1,1,0,0,1,19,24,1,0,1,0,5,0,5,0,5,6,0,5,0,19,24,1,0,1,0,5,0,5,0,5,6,0,5,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L52392,35,1,300,2,0,0,0,0,0,0,0,0,3,6,4,71,2,23,34,4,14,0.909091,0.306723,73,68,10,1,0.306723,73,0,0,0,0,0,165,266,0,6,0,6,10,0,10,0,10,128,0,10,0,165,266,0,6,0,6,10,0,10,0,10,128,0,10,0,0,0,18,3,71,0,0,62,0,0,0,1,0,7,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
L14478,49,1,2939,2,0.0727826,4,30,8,0.0435835,0.063571,126,115,8,6,5,340,19,32,197,41,156,0.738462,0.344132,563,505,48,17,0.252859,619,1,1,2,6,1,1073,1936,21,14,21,14,115,2,64,9,115,684,2,64,9,1829,2891,49,14,44,14,267,5,160,9,447,1006,5,256,9,0,8,586,10,362,0,11,212,1,52,0,12,0,13,67,9,0,49,459,8,0,11,0,0,0,0,2,0,0,0,0,0,0,9,13,0,41,1,2,0,2,0,0
L14385,21,1,334,2,0,0,0,0,0,0,0,0,1,3,2,69,1,25,106,0,38,0.26087,0.233202,59,52,6,17,0.233202,59,0,0,2,2,0,194,314,3,24,3,24,38,1,22,4,38,115,1,22,4,194,314,3,24,3,24,38,1,22,4,38,115,1,22,4,0,0,73,0,35,0,0,29,0,0,0,0,0,0,0,0,0,5,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0
L53615,20,1,256,2,0.0933014,1,4,1,0.0801688,0.1,19,17,1,2,2,42,2,1,2,8,32,0.153846,0.128205,25,21,2,11,0.128205,25,1,1,0,0,1,170,237,11,24,8,12,24,0,12,5,43,96,1,24,5,170,237,11,24,8,12,24,0,12,5,43,96,1,24,5,0,0,61,1,15,0,1,9,0,9,0,0,0,0,0,0,0,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,7,0,2,0,0,0,0
L52958,23,1,57,2,0,0,0,0,0,0,0,0,1,0,0,10,2,10,16,4,11,125,0.151515,5,5,1,7,0.151515,5,0,0,0,0,0,28,35,2,2,2,2,7,2,7,0,7,10,2,7,0,28,35,2,2,2,2,7,2,7,0,7,10,2,7,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
